x,y,z,vx,vy,vz,ax,ay,az,DTMode
0.047737606,0.023396976,0.008180347,0.00078518904,0.0016544901,0.0012181916,-0.016624065,0.007123803,0.005033798,2_3
0.047379047,0.023503117,0.008564256,0.00061753136,0.002031868,0.0022019472,0.0045979316,0.013104094,0.058197413,2_3
0.046325736,0.023723911,0.008988854,2.7080503e-05,0.003432271,0.00086906075,-0.015115167,0.020387221,-0.0506388,2_3
0.0460379,0.02472881,0.008984787,-0.0005955256,0.004280653,0.0005509823,0.03268559,0.017645229,0.16258563,2_3
0.04600542,0.025759492,0.008680412,-0.0008027422,0.0049193865,0.00063682353,0.0005287882,0.0012748962,-0.04985258,2_3
0.04617858,0.027216412,0.008376365,-0.00031540013,0.00544015,0.0016796975,-0.00050445297,-0.005803704,0.025249084,2_3
0.04747386,0.029472228,0.008065973,0.00016821496,0.0062810318,0.0018094196,0.005971417,0.006166341,0.0037550926,2_3
0.048729323,0.030986194,0.007875872,0.0009122185,0.0068800496,0.0019084412,-0.0022125915,0.019084938,-0.04834309,2_3
0.05026787,0.03193734,0.0076433346,0.0023226307,0.006690383,0.0029467368,-0.0046561197,0.017806575,0.028072547,2_3
0.051660217,0.03326352,0.007532591,0.0033952543,0.0074897488,0.0033580225,0.020594766,0.015056742,-0.024212522,2_3
0.052425176,0.034134626,0.007484444,0.0040800143,0.007889661,0.0051977336,-0.008371933,0.023979241,0.027340835,2_3
0.052323535,0.034502022,0.0074695605,0.0030987957,0.009035601,0.0073828422,0.00060390815,-0.009538956,0.037986167,2_3
0.052415334,0.035263456,0.007423721,0.0026533,0.0089487415,0.008732311,0.0058148107,-0.010451317,0.034265965,2_3
0.051204126,0.034902625,0.0074616126,0.0012798072,0.006924674,0.009808607,0.033864927,-0.008818,0.057102177,2_3
0.04947669,0.033387303,0.007434386,0.0009229577,0.004901238,0.0070997206,0.01701635,-0.005153684,-0.00809878,2_3
0.047904693,0.03173468,0.006968142,0.00020157895,0.0018939312,0.0074023264,0.00036252095,-0.013428954,0.025508553,2_3
0.04752754,0.030368363,0.006141917,0.0010169147,0.0013777975,0.0027758246,-0.00065807893,0.0025228835,-0.048264857,2_3
0.04777357,0.028428758,0.005321882,0.0017867221,-0.00028066884,0.0014602384,-0.0115376925,-0.013335383,0.035099067,2_3
0.046900738,0.026395293,0.004675034,0.00045672338,-0.0034335903,-0.009123658,-0.0160645,-0.018381985,-0.49250203,2_3
0.04547534,0.024304457,-0.0058701923,-0.00032617355,-0.007271557,-0.17001328,-0.001176334,-0.011810125,-2.1238577,2_3
0.044011183,0.021858059,-0.039909616,-0.0016727488,-0.009946643,-0.330239,-0.013886055,-0.01766682,-0.9200424,2_3
0.04211772,0.019581268,-0.08524513,-0.0031579514,-0.0102846185,-0.36091962,-0.0061276685,0.0060134833,0.22494979,2_3
0.039700303,0.01788327,-0.13004704,-0.004274155,-0.009591928,-0.31804478,0.021639453,0.0068810917,0.5686526,2_3
0.038197186,0.017936507,-0.16613674,-0.0027382444,-0.006757795,-0.27825484,-0.003179397,0.027873961,0.29353946,2_3
0.038491808,0.018233506,-0.19168428,-0.0005983618,-0.005179946,-0.2642525,0.023885172,-0.0033223398,0.08851588,2_3
0.03895303,0.017625071,-0.21985832,0.0022939423,-0.0043396275,-0.26293048,0.025113523,0.007459789,-0.024812669,2_3
0.040283974,0.016417297,-0.24552006,0.004110845,-0.003954602,-0.27158833,0.0030874535,0.019117035,-0.052598972,2_3
0.042266056,0.014911921,-0.2713394,0.005763053,-0.0033023919,-0.27327165,0.015585468,0.010282201,-0.014584511,2_3
0.043214716,0.013910782,-0.29574028,0.0057696095,-0.0027774386,-0.2696036,0.010600459,0.009228828,0.055639446,2_3
0.042599447,0.013747487,-0.3191363,0.005028302,-0.0011677707,-0.26407844,0.014294394,0.023007639,0.07857475,2_3
0.04182247,0.013253643,-0.34136716,0.003919252,0.0010295212,-0.2616265,-0.00790845,0.032324053,0.019319355,2_3
0.041343607,0.012852281,-0.36742216,0.0027769892,0.0024433378,-0.2607983,-0.004235026,-0.012834369,0.008585553,2_3
0.04034784,0.012789591,-0.38764626,0.0025482955,0.0030461915,-0.25769803,0.018698514,0.027849002,0.025372952,2_3
0.039425563,0.012861012,-0.41005465,0.002057123,0.004185195,-0.2512871,-0.010741577,0.00640875,0.05837828,2_3
0.03901623,0.0135182785,-0.4315481,0.0014005731,0.0046860008,-0.2452221,-0.024623899,0.016846318,0.022704154,2_3
0.038560905,0.014655216,-0.45551676,0.0013507977,0.006501957,-0.23868869,0.014444559,0.0022882805,0.08685142,2_3
0.038714007,0.016005505,-0.47389293,0.0027391992,0.006944826,-0.23389272,0.004667461,0.006537511,0.027060507,2_3
0.039923996,0.017256673,-0.4945664,0.004571147,0.0072076195,-0.22868498,0.011209487,0.010751706,0.00041648746,2_3
0.04177592,0.018766627,-0.51474303,0.006245439,0.0071519027,-0.22152652,0.0030801478,0.016250182,0.06503984,2_3
0.042592056,0.020123824,-0.5328426,0.006556354,0.007222128,-0.21672492,-0.0039684116,-0.009417908,0.06251534,2_3
0.04336271,0.020963797,-0.5526092,0.00584575,0.006254976,-0.21147801,-0.005434757,-0.0049766977,0.04248073,2_3
0.04370158,0.021495793,-0.57027996,0.0056174053,0.005550983,-0.20557037,0.013754685,0.022049285,-0.035200268,2_3
0.04367149,0.021699917,-0.58751196,0.0050451634,0.005182478,-0.20066717,0.0040772725,-0.003338675,0.099135555,2_3
0.0437721,0.021334475,-0.6068595,0.0054908115,0.0033808972,-0.1915001,-0.001861709,0.0052800416,0.17272493,2_3
