timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
21951000,1310996,1310996,0,0,0,0,0,226.21558,226.20978,226.21558,226.20978,0.013616779,1.4853171e-05,2.0709828e-10,0.001864768,0.002243195,-9.4933195,0.0013886574,0.0052146483,0.0039047617,14.674771,14.674771
22972000,1310996,1310996,0,0,0,0,0,226.21558,226.20978,226.21558,226.20978,0.011065811,1.2523513e-05,1.8144984e-10,-0.010841648,0.0035740123,-9.740194,-0.004437767,0.007635863,-0.00049652293,14.673095,14.673095
23908000,1310996,1310996,0,0,0,0,0,226.44427,226.43874,226.44427,226.43874,0.010631292,1.025298e-05,1.5334987e-10,-0.004664635,-0.0023337635,-9.757511,0.0060034525,-0.00914888,-0.00012318867,14.671542,14.671542
24936000,1310996,1310996,0,0,0,0,0,226.44427,226.43874,226.44427,226.43874,0.01073803,1.0571498e-05,1.4122359e-10,-0.005525591,-0.0032456266,-9.818797,0.0002535934,-9.53404e-05,1.02617405e-05,14.670878,14.670878
25972000,1310996,1310996,0,0,0,0,0,226.67297,226.66788,226.67297,226.66788,0.010594472,7.5037537e-06,7.4862824e-11,-0.0027106549,-0.003051268,-9.834863,0.0023521886,0.0012866813,0.00039519838,14.671162,14.671162
26988000,1310996,1310996,0,0,0,0,0,226.90047,226.89542,226.90047,226.89542,0.011304396,7.916341e-06,7.042669e-11,-0.007904951,-0.006854347,-9.83809,0.0018511055,-0.00073270657,0.00013078787,14.671,14.671
27999000,1310996,1310996,0,0,0,0,0,226.90047,226.89542,226.90047,226.89542,0.012912507,8.306828e-06,8.206862e-11,0.004035809,-0.009449736,-9.796183,-0.00055836985,0.00038204124,-0.00011974908,14.670972,14.670972
28912000,1310996,1310996,0,0,0,0,0,226.90047,226.89542,226.90047,226.89542,0.013609482,8.313268e-06,8.052177e-11,0.0015634245,0.0013707939,-9.79219,0.0028330076,0.0018555088,0.00015073796,14.670828,14.670828
29924000,1310996,1310996,0,0,0,0,0,226.90047,226.89542,226.90047,226.89542,0.011413796,7.665948e-06,7.3489964e-11,0.0010058034,-0.008218156,-9.804068,0.002576059,0.00042571677,-0.00018514352,14.670594,14.670594
30907000,1310996,1310996,0,0,0,0,0,227.13576,227.1314,227.13576,227.1314,0.012155881,8.23209e-06,8.243406e-11,0.004038013,-0.0014624072,-9.808745,-0.00013310317,-0.00020040176,-0.00012642257,14.670616,14.670616
31916000,1310996,1310996,0,0,0,0,0,227.13576,227.1314,227.13576,227.1314,0.013013356,9.40877e-06,1.0035073e-10,0.006054917,0.009388082,-9.807045,0.00787068,-0.0017984234,-0.0002676036,14.670801,14.670801
32928000,1310996,1310996,0,0,0,0,0,227.13576,227.1314,227.13576,227.1314,0.012932004,9.9041645e-06,1.0291223e-10,0.012974995,-0.004330616,-9.782537,0.0022335018,0.005504187,0.00040173726,14.670682,14.670682
33931000,1310996,1310996,0,0,0,0,0,227.36487,227.36101,227.36487,227.36101,0.011110917,1.05131285e-05,1.3070478e-10,-0.0051148213,-0.003589164,-9.799522,-0.0070850695,0.0034583532,0.00042533784,14.670736,14.670736
34935000,1310996,1310996,0,0,0,0,0,227.36487,227.36101,227.36487,227.36101,0.010456153,8.63951e-06,9.2125196e-11,-0.009502327,0.0014869616,-9.828312,-0.0026214432,-0.0019181484,0.0006329507,14.670885,14.670885
35975000,1310996,1310996,0,0,0,0,0,227.59372,227.59,227.59372,227.59,0.010482107,8.889965e-06,1.02260075e-10,0.007772798,0.0052070534,-9.806691,0.0013595873,-0.0016006401,-0.00014938053,14.670776,14.670776
36991000,1310996,1310996,0,0,0,0,0,227.59372,227.59,227.59372,227.59,0.0114741735,9.176793e-06,9.853236e-11,0.007947255,-0.007896045,-9.782864,-0.0004623235,-0.0021524387,-0.00047347185,14.6707325,14.6707325
37907000,1310996,1310996,0,0,0,0,0,227.59372,227.59,227.59372,227.59,0.011963214,9.115499e-06,9.509163e-11,-0.0008342856,0.00019515783,-9.81593,0.0026953665,0.00034926995,0.0002183093,14.670885,14.670885
38916000,1310996,1310996,0,0,0,0,0,227.59372,227.59,227.59372,227.59,0.011018134,9.608829e-06,1.1527751e-10,0.0010626423,0.0009634144,-9.807164,-0.0033348396,-0.0067910566,0.0002806781,14.670838,14.670838
39903000,1310996,1310996,0,0,0,0,0,227.82205,227.81866,227.82205,227.81866,0.0109518925,8.037363e-06,8.853268e-11,-0.010603833,0.0010026407,-9.806971,-0.0034526184,-0.00091911544,-0.00028466154,14.670871,14.670871
40919000,1310996,1310996,0,0,0,0,0,227.82205,227.81866,227.82205,227.81866,0.011423844,1.077466e-05,1.460121e-10,0.0066429973,-0.0035432756,-9.810108,-0.004454777,0.00424395,0.00047402718,14.670672,14.670672
41936000,1310996,1310996,0,0,0,0,0,227.82205,227.81866,227.82205,227.81866,0.0106874695,7.5676276e-06,7.7846986e-11,9.681001e-05,0.002017818,-9.803808,0.0010125772,-0.0016138043,-5.251207e-05,14.670888,14.670888
42944000,1310996,1310996,0,0,0,0,0,227.82205,227.81866,227.82205,227.81866,0.010990179,7.657561e-06,7.265016e-11,-0.0013769369,0.010234998,-9.830701,-0.004114255,-0.002080005,0.00029282412,14.670841,14.670841
43984000,1310996,1310996,0,0,0,0,0,228.0506,228.04674,228.0506,228.04674,0.010135896,7.428016e-06,7.634938e-11,0.00044353254,-0.0029681292,-9.817444,0.004709387,0.0009173179,-0.000192405,14.670834,14.670834
44959000,1310996,1310996,0,0,0,0,0,236.59892,237.13245,236.59892,237.13245,0.0117421355,0.0001836907,3.71607e-08,0.006411718,-0.0046946243,-8.067321,-0.14466126,0.021569017,0.2917178,14.670783,14.670783
45967000,1310996,1310996,0,0,0,0,0,236.59892,237.13245,236.59892,237.13245,0.011059946,0.00013928505,8.8695e-09,0.006207518,-0.007102608,-9.4623375,-0.020283025,-0.0019202332,-0.037300102,14.674428,14.674428
46991000,1310996,1310996,0,0,0,0,0,236.59892,237.13245,236.59892,237.13245,0.012390768,2.0240881e-05,8.925987e-10,0.032633044,-0.0146969035,-9.79108,1.0278425e-05,-0.0006001452,0.0013357606,14.675492,14.675492
47996000,1310996,1310996,0,0,0,0,0,236.59892,237.13245,236.59892,237.13245,0.011092034,7.953906e-06,1.3109998e-10,0.0076650595,-0.0077628912,-9.814374,-0.0013917354,-0.0018482562,0.00016571551,14.675423,14.675423
48908000,1310996,1310996,0,0,0,0,0,230.15395,230.21591,230.15395,230.21591,0.012121612,6.67898e-06,4.210439e-11,0.0035752326,-0.0055883294,-9.803808,0.00093268615,2.0318836e-05,-0.00014382758,14.675312,14.675312
49936000,1310996,1310996,0,0,0,0,0,231.04974,231.10072,231.04974,231.10072,0.010374277,5.967051e-06,2.3956045e-11,0.007063494,0.0021966598,-9.796697,0.0003280304,0.00041866177,3.961893e-05,14.675351,14.675351
50908000,1310996,1310996,0,0,0,0,0,230.3899,230.43466,230.3899,230.43466,0.012776143,6.266358e-06,2.3961921e-11,0.0025509812,0.0070834653,-9.798334,-0.00026307948,-8.832862e-05,-0.00020633625,14.675477,14.675477
