timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
7719000,-0.0006555576,-0.00035791786,2.5180634e-05,0.0,0.0,-0.0
7727000,-0.0006140362,-0.00034676876,4.5063556e-05,0.0,0.0,-0.0
7747000,-0.00054302695,-0.00037893208,3.9609382e-05,0.0,0.0,-0.0
7765000,-0.0005554168,-0.00036483898,9.819632e-06,0.0,0.0,-0.0
7779000,-0.000526941,-0.000451121,4.0790183e-05,0.0,0.0,-0.0
7800000,-0.00053216325,-0.0005721817,1.897919e-05,0.0,0.0,-0.0
7823000,-0.0004478649,-0.0007345937,6.0575316e-05,0.0,0.0,-0.0
7840000,-0.00044151396,-0.00069068716,4.9357302e-05,0.0,0.0,-0.0
7864000,-0.0004703864,-0.00074928254,2.5267014e-05,0.0,0.0,-0.0
7883000,-0.0005310589,-0.0007112173,3.688759e-05,0.0,0.0,-0.0
7900000,-0.0005248891,-0.0007172214,1.9759871e-05,0.0,0.0,-0.0
7927000,-0.00049755786,-0.0005957873,3.3143908e-05,0.0,0.0,-0.0
7939000,-0.00048285918,-0.0005890183,4.480034e-05,0.0,0.0,-0.0
7960000,-0.0005876359,-0.00053101056,2.7732924e-05,0.0,0.0,-0.0
7988000,-0.00041019224,-0.00047870097,2.5099143e-05,0.0,0.0,-0.0
8000000,-0.00034926637,-0.00061266974,2.1216925e-05,0.0,0.0,-0.0
8020000,-0.00031635302,-0.000569388,1.3636658e-05,0.0,0.0,-0.0
8041000,-0.00032232414,-0.0005099928,-2.1200627e-05,0.0,0.0,-0.0
8063000,-0.00021931935,-0.00044111896,1.036562e-06,0.0,0.0,-0.0
8085000,-0.0001594725,-0.00046971734,8.682022e-06,0.0,0.0,-0.0
8107000,-0.00026040524,-0.00047144888,6.985385e-06,0.0,0.0,-0.0
8120000,-0.00019514194,-0.00051158166,-1.1442928e-05,0.0,0.0,-0.0
8144000,-0.00031250005,-0.0005537639,8.365838e-06,0.0,0.0,-0.0
8163000,-0.00020170005,-0.00048410174,-1.2790784e-05,0.0,0.0,-0.0
8180000,-0.00015160852,-0.00050068856,-1.4106045e-05,0.0,0.0,-0.0
8203000,-7.6180775e-05,-0.00051981246,5.1599927e-06,0.0,0.0,-0.0
8217000,-7.172846e-05,-0.00052227906,1.9297004e-06,0.0,0.0,-0.0
8243000,1.8346635e-05,-0.0005432865,-2.1642307e-05,0.0,0.0,-0.0
8259000,0.00012336028,-0.0006211122,1.0264572e-05,0.0,0.0,-0.0
8283000,0.00016800332,-0.0005908044,-7.2282273e-06,0.0,0.0,-0.0
8300000,0.00016022297,-0.0006667064,-2.108165e-05,0.0,0.0,-0.0
8328000,0.00020530818,-0.00054487895,-1.466833e-06,0.0,0.0,-0.0
8340000,0.00024235809,-0.00058314466,-4.4086482e-06,0.0,0.0,-0.0
8360000,0.00041564932,-0.000600611,-3.8724393e-06,0.0,0.0,-0.0
8380000,0.00035503707,-0.00068059465,-3.145542e-06,0.0,0.0,-0.0
8397000,0.00033081847,-0.0006764871,1.4863908e-06,0.0,0.0,-0.0
8424000,0.00021961817,-0.0005917117,-4.4608023e-06,0.0,0.0,-0.0
8443000,0.00026082498,-0.0005662867,-1.4374964e-05,0.0,0.0,-0.0
8463000,0.000100766185,-0.0004769496,4.1397288e-07,0.0,0.0,-0.0
8483000,5.0189625e-05,-0.00042253538,-3.4503173e-06,0.0,0.0,-0.0
8504000,5.5442204e-05,-0.00040212006,9.707175e-06,0.0,0.0,-0.0
8528000,6.810705e-05,-0.00043543582,4.7248323e-06,0.0,0.0,-0.0
8540000,7.921422e-05,-0.00048279008,-1.4542835e-05,0.0,0.0,-0.0
8559000,5.9182887e-05,-0.00034038583,-8.884119e-06,0.0,0.0,-0.0
8584000,9.6278825e-05,-0.00034744057,1.6624108e-06,0.0,0.0,-0.0
8601000,0.00014107948,-0.0003361086,7.03102e-06,0.0,0.0,-0.0
8620000,7.3174456e-06,-0.00042786263,5.280599e-07,0.0,0.0,-0.0
8641000,-6.237687e-05,-0.0004270195,2.1114247e-05,0.0,0.0,-0.0
8657000,-4.366057e-06,-0.00048667923,6.8582594e-06,0.0,0.0,-0.0
8680000,-0.0001171198,-0.00065954984,1.5126308e-05,0.0,0.0,-0.0
8703000,-0.00012208345,-0.0007590776,1.186342e-05,0.0,0.0,-0.0
8719000,-0.00018567004,-0.00070606795,1.9611558e-05,0.0,0.0,-0.0
8744000,-0.00033623457,-0.0007036178,2.9209536e-05,0.0,0.0,-0.0
8760000,-0.00027637815,-0.00068907393,2.301787e-05,0.0,0.0,-0.0
8784000,-0.00019797983,-0.00068826985,-1.44841615e-05,0.0,0.0,-0.0
8800000,-0.000103231665,-0.00070984673,6.825663e-06,0.0,0.0,-0.0
8823000,-0.00016401694,-0.0006322309,-3.8545113e-06,0.0,0.0,-0.0
8843000,-0.00023576409,-0.0006585454,1.2044329e-06,0.0,0.0,-0.0
8863000,-0.0002422477,-0.00055465056,5.6114513e-06,0.0,0.0,-0.0
8880000,-0.00019259294,-0.0005855659,2.7019065e-05,0.0,0.0,-0.0
8900000,-0.00025789643,-0.00068632385,8.745585e-06,0.0,0.0,-0.0
8923000,-0.00036454527,-0.00061045337,2.8798822e-06,0.0,0.0,-0.0
8947000,-0.00038460357,-0.0004767783,2.1383166e-06,0.0,0.0,-0.0
