timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
8804000,8804000,0.9999992,7.2549446e-06,5.1322764e-05,-0.0012606136,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
8847000,8847000,0.9999992,2.1543447e-05,4.9052003e-05,-0.0012660956,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
8900000,8900000,0.9999992,1.9906e-05,5.2768617e-05,-0.0012853865,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
8951000,8951000,0.9999992,2.9600213e-05,3.4919864e-05,-0.0012906307,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9003000,9003000,0.9999992,3.7133912e-05,3.6165144e-05,-0.0013086514,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9053000,9053000,0.9999992,3.541894e-05,4.2870146e-05,-0.0013136317,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9100000,9100000,0.9999992,4.8486978e-05,4.325717e-05,-0.0012959113,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9151000,9151000,0.9999992,3.5407033e-05,3.3097494e-05,-0.0012862628,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9197000,9197000,0.9999992,1.9627749e-05,3.6912275e-05,-0.0012787154,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9252000,9252000,0.9999992,3.41967e-05,2.4792238e-05,-0.0012893421,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9303000,9303000,0.9999992,3.584139e-05,2.892395e-05,-0.0013096426,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9347000,9347000,0.9999992,3.4629014e-05,2.765868e-05,-0.0013141155,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9400000,9400000,0.9999992,3.635278e-05,2.3915369e-05,-0.0013247775,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9451000,9451000,0.9999992,4.5159388e-05,3.8208007e-05,-0.0013254257,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9497000,9497000,0.9999991,5.2048254e-05,3.3284152e-05,-0.0013306626,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9547000,9547000,0.9999991,4.2953274e-05,2.3158957e-05,-0.0013361024,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9600000,9600000,0.9999991,4.9700357e-05,2.388939e-05,-0.0013491726,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9653000,9653000,0.9999991,6.008263e-05,1.73164e-05,-0.0013536133,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9701000,9701000,0.9999991,5.0749368e-05,1.2557845e-05,-0.0013483885,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9747000,9747000,0.9999991,4.8667393e-05,2.3739356e-05,-0.0013547612,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9803000,9803000,0.9999991,5.1852436e-05,3.3920904e-05,-0.0013505404,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9845000,9845000,0.9999991,4.3217315e-05,4.452316e-05,-0.0013416668,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
9904000,9904000,0.9999991,3.4932953e-05,4.0950603e-05,-0.0013298447,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
