timestamp,position,velocity,acceleration,attitude,body_rate
17879000,0,1,0,0,0
17896000,0,1,0,0,0
17988000,0,1,0,0,0
18093000,0,1,0,0,0
18188000,0,1,0,0,0
18279000,0,1,0,0,0
18387000,0,1,0,0,0
18481000,0,1,0,0,0
18592000,0,1,0,0,0
18683000,0,1,0,0,0
18792000,0,1,0,0,0
18884000,0,1,0,0,0
18991000,0,1,0,0,0
19087000,0,1,0,0,0
19180000,0,1,0,0,0
19288000,0,1,0,0,0
19393000,0,1,0,0,0
19485000,0,1,0,0,0
19580000,1,0,0,0,0
19688000,1,0,0,0,0
19795000,1,0,0,0,0
19891000,1,0,0,0,0
19983000,1,0,0,0,0
20093000,1,0,0,0,0
20184000,1,0,0,0,0
20295000,1,0,0,0,0
20385000,1,0,0,0,0
20493000,1,0,0,0,0
20588000,1,0,0,0,0
20679000,1,0,0,0,0
20788000,1,0,0,0,0
20893000,1,0,0,0,0
20989000,1,0,0,0,0
21084000,1,0,0,0,0
21187000,1,0,0,0,0
21279000,1,0,0,0,0
21396000,1,0,0,0,0
21488000,1,0,0,0,0
21579000,1,0,0,0,0
21687000,1,0,0,0,0
21781000,1,0,0,0,0
21891000,1,0,0,0,0
21981000,1,0,0,0,0
22092000,1,0,0,0,0
22184000,1,0,0,0,0
22280000,1,0,0,0,0
22384000,1,0,0,0,0
22493000,1,0,0,0,0
22584000,1,0,0,0,0
22692000,1,0,0,0,0
22783000,1,0,0,0,0
22891000,1,0,0,0,0
22987000,1,0,0,0,0
23091000,1,0,0,0,0
23184000,1,0,0,0,0
23292000,1,0,0,0,0
23385000,1,0,0,0,0
23492000,1,0,0,0,0
23584000,1,0,0,0,0
23680000,1,0,0,0,0
23783000,1,0,0,0,0
23879000,1,0,0,0,0
23984000,1,0,0,0,0
24092000,1,0,0,0,0
24184000,1,0,0,0,0
24291000,1,0,0,0,0
24387000,1,0,0,0,0
24492000,1,0,0,0,0
24583000,1,0,0,0,0
24691000,1,0,0,0,0
24783000,1,0,0,0,0
24892000,1,0,0,0,0
