timestamp,load,ram_usage
5011000,0.0,0.84529525
5511000,0.0,0.8452818
6008000,0.0,0.84526736
6508000,0.0,0.8458708
7012000,0.0,0.8461544
7508000,0.0,0.8462078
8013000,0.0,0.84403694
8511000,0.0,0.84395707
9009000,0.04,0.8439215
9516000,0.0,0.84387255
10008000,0.0,0.84380794
10511000,0.0,0.8434649
11011000,0.0,0.8434933
11512000,0.0,0.84347296
12012000,0.0,0.8434751
12509000,0.0,0.84345543
13012000,0.0,0.8422613
13509000,0.0,0.8421071
14008000,0.0,0.84213996
14512000,0.0,0.8420251
15011000,0.0,0.8420043
15513000,0.0,0.84196603
16012000,0.0,0.8418747
16511000,0.0,0.8423846
17008000,0.0,0.8423639
17513000,0.0,0.8423509
18009000,0.0,0.84244174
18508000,0.0,0.8426314
19012000,0.0,0.8426078
19512000,0.0,0.8425697
20009000,0.0,0.84260905
20511000,0.0,0.8425065
21008000,0.0,0.842509
21508000,0.0,0.8424777
22012000,0.0,0.84221816
22512000,0.0,0.84222007
23013000,0.0,0.8421442
23511000,0.0,0.84217083
24012000,0.0,0.8420596
24508000,0.0,0.8415352
25008000,0.0,0.8413531
25512000,0.0,0.8412865
26012000,0.0,0.8413627
26512000,0.0,0.8413425
27008000,0.0,0.84127915
27511000,0.0,0.84115803
28008000,0.0,0.84104794
28512000,0.0,0.840986
29009000,0.0,0.840975
29508000,0.0,0.8394558
30012000,0.0,0.8394507
30508000,0.0,0.839435
31008000,0.0,0.8391297
31512000,0.0,0.83910745
32009000,0.0,0.8390803
32513000,0.0,0.8390537
33011000,0.0,0.8390539
33512000,0.02,0.83905053
34011000,0.0,0.83900976
34512000,0.0,0.83902335
35008000,0.0,0.8390253
35511000,0.0,0.83896095
36008000,0.0,0.83897996
36512000,0.0,0.8389374
37009000,0.0,0.83894855
37508000,0.0,0.8390628
38012000,0.0,0.839057
38508000,0.0,0.8390253
39012000,0.0,0.83901113
39508000,0.0,0.83900535
40008000,0.0,0.8390243
40512000,0.0,0.83904696
41011000,0.0,0.83895
41508000,0.0,0.8390289
42011000,0.0,0.83902085
42508000,0.0,0.83893067
43011000,0.0,0.83865833
43508000,0.0,0.8386601
44008000,0.0,0.83865386
44512000,0.0,0.83865774
45008000,0.04,0.838714
45508000,0.0,0.83874613
46008000,0.0,0.838781
46508000,0.0,0.83877283
47012000,0.0,0.838696
47508000,0.0,0.8387582
48008000,0.0,0.8387185
48511000,0.0,0.83874553
49008000,0.0,0.83866256
49513000,0.0,0.8386557
50012000,0.0,0.83937263
50508000,0.0,0.8394798
51008000,0.0,0.8395308
