timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
20000000,20000000,1311004,1311004,-2.2382055e-06,3.3139102e-06,-2.8101979e-06,7.0721675e-05,7.3333824e-05,-0.039370812,4000,4000,0,0
20500000,20500000,1311004,1311004,-5.894736e-07,-6.098849e-06,-1.1525497e-05,0.00030977165,-0.00015351217,-0.067765884,7000,7000,0,0
21003000,21003000,1311004,1311004,-1.0866618e-05,-4.994014e-06,4.629727e-06,-4.7477155e-05,-1.7387654e-05,-0.038924586,4000,4000,0,0
21493000,21493000,1311004,1311004,6.061942e-06,-4.822078e-05,3.074715e-05,-4.8781632e-05,-8.506924e-05,-0.056223333,5000,5000,0,0
22004000,22004000,1311004,1311004,3.284857e-05,3.733678e-05,3.5546932e-06,9.7228425e-05,6.78884e-05,-0.048431452,5000,5000,0,0
22504000,22504000,1311004,1311004,2.8711382e-05,2.3400164e-05,-7.2764947e-06,-7.374394e-05,2.8916947e-05,-0.06861543,7000,7000,0,0
23000000,23000000,1311004,1311004,-4.225545e-06,-7.349966e-06,-1.7131865e-06,6.800374e-06,-1.0828347e-05,-0.039151046,4000,4000,0,0
23496000,23496000,1311004,1311004,-5.7788425e-06,-1.7662238e-05,1.4805947e-06,4.164116e-05,4.7682042e-05,-0.038860936,4000,4000,0,0
24003000,24003000,1311004,1311004,4.4718367e-06,-6.263126e-05,-9.127027e-06,-0.00010364498,-6.7755325e-05,-0.058005225,6000,6000,0,0
24503000,24503000,1311004,1311004,-1.2719762e-05,6.2410554e-06,6.2734293e-06,2.358824e-05,-0.00012340039,-0.058554433,6000,6000,0,0
25003000,25003000,1311004,1311004,1.7422042e-05,-1.4399645e-05,2.1957724e-06,2.4979023e-05,-3.9421586e-05,-0.041996054,4000,4000,0,0
25500000,25500000,1311004,1311004,6.704613e-07,1.9699743e-05,-1.2204767e-06,7.1185874e-05,6.1640334e-05,-0.03939839,4000,4000,0,0
26001000,26001000,1311004,1311004,5.9172316e-06,3.7497416e-06,9.183152e-06,-3.8152735e-05,5.6696223e-05,-0.048904527,5000,5000,0,0
26497000,26497000,1311004,1311004,1.17045665e-05,-5.4991365e-06,-6.386257e-10,-3.2661676e-05,0.000108051194,-0.078388214,8000,8000,0,0
27004000,27004000,1311004,1311004,1.3237239e-05,1.0740246e-05,6.237586e-07,-5.6252888e-05,5.1689505e-05,-0.049085703,5000,5000,0,0
27501000,27501000,1311004,1311004,-1.45187505e-05,2.9313529e-05,-3.4728487e-07,-7.199537e-05,4.1797743e-05,-0.04927172,5000,5000,0,0
28003000,28003000,1311004,1311004,-6.57534e-06,1.0556879e-06,-6.3708036e-08,-3.0328098e-05,-0.00013928638,-0.03907657,4000,4000,0,0
