timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
987000,987000,197644,0.27244562,-0.031488482,0.4692776,14.674995,0,0
1991000,1991000,197644,0.2732647,-0.03711494,0.47205362,14.675574,0,0
2987000,2987000,197644,0.27666527,-0.03201255,0.4696238,14.675147,0,0
3987000,3987000,197644,0.27277794,-0.032159243,0.47020495,14.675307,0,0
4992000,4992000,197644,0.27679485,-0.031534515,0.47164768,14.674755,0,0
5988000,5988000,197644,0.27465928,-0.03350783,0.4751031,14.676177,0,0
6987000,6987000,197644,0.27308613,-0.03355867,0.47614786,14.675928,0,0
7988000,7988000,197644,0.27278048,-0.033069286,0.47675055,14.675304,0,0
8985000,8985000,197644,0.27201352,-0.03400192,0.470763,14.67493,0,0
9992000,9992000,197644,0.2775413,-0.036713157,0.47412857,14.67513,0,0
10987000,10987000,197644,0.2753067,-0.030163964,0.47646615,14.675776,0,0
11991000,11991000,197644,0.27412227,-0.03675168,0.4729463,14.675273,0,0
12988000,12988000,197644,0.2730191,-0.032546442,0.47324467,14.676119,0,0
13992000,13992000,197644,0.27520496,-0.03413943,0.47625518,14.67483,0,0
14987000,14987000,197644,0.27636036,-0.030738853,0.47524077,14.674771,0,0
15987000,15987000,197644,0.27319854,-0.032801885,0.47134474,14.675724,0,0
16983000,16983000,197644,0.27383873,-0.035686973,0.47121036,14.675959,0,0
17988000,17988000,197644,0.27204427,-0.031465363,0.46956906,14.675511,0,0
18987000,18987000,197644,0.27650797,-0.03014308,0.4722412,14.675566,0,0
19988000,19988000,197644,0.2754516,-0.030183878,0.4703858,14.675314,0,0
20989000,20989000,197644,0.2733306,-0.030556632,0.47161216,14.675613,0,0
21992000,21992000,197644,0.27486512,-0.034845933,0.4690373,14.674124,0,0
22987000,22987000,197644,0.27522272,-0.03296381,0.47194535,14.672139,0,0
23987000,23987000,197644,0.27273363,-0.030654555,0.4732235,14.671296,0,0
24991000,24991000,197644,0.27577162,-0.031460363,0.4723048,14.671322,0,0
25987000,25987000,197644,0.27592203,-0.036382634,0.47678676,14.670538,0,0
26991000,26991000,197644,0.27955365,-0.03124621,0.4766429,14.671457,0,0
27992000,27992000,197644,0.27251795,-0.03592155,0.46984634,14.671461,0,0
28987000,28987000,197644,0.27569643,-0.037352193,0.47005618,14.670135,0,0
29987000,29987000,197644,0.27533877,-0.033708636,0.4708726,14.671289,0,0
30992000,30992000,197644,0.2715927,-0.03785383,0.4758777,14.670565,0,0
31992000,31992000,197644,0.27583346,-0.03253707,0.47557577,14.670039,0,0
32988000,32988000,197644,0.2705925,-0.032730304,0.4721015,14.670855,0,0
33988000,33988000,197644,0.27527434,-0.03928336,0.47664642,14.671233,0,0
34987000,34987000,197644,0.27562025,-0.037855208,0.47570723,14.670239,0,0
35992000,35992000,197644,0.27269417,-0.038505923,0.4728534,14.670428,0,0
36988000,36988000,197644,0.27276933,-0.031677812,0.47546598,14.670541,0,0
37988000,37988000,197644,0.27397546,-0.031956606,0.4744157,14.670706,0,0
38987000,38987000,197644,0.27448452,-0.03705183,0.47271052,14.670597,0,0
39985000,39985000,197644,0.27807295,-0.03126236,0.4756642,14.670127,0,0
40992000,40992000,197644,0.2722216,-0.03867743,0.47267583,14.670421,0,0
41991000,41991000,197644,0.27446607,-0.038075946,0.4692775,14.670688,0,0
42991000,42991000,197644,0.2752495,-0.037999142,0.47253495,14.670284,0,0
43987000,43987000,197644,0.2756868,-0.036119543,0.46950004,14.67013,0,0
44991000,44991000,197644,0.27509657,-0.0573132,0.4744428,14.671696,0,0
45988000,45988000,197644,0.27230206,-0.02550528,0.47459546,14.674209,0,0
46991000,46991000,197644,0.2778072,-0.027215028,0.4752915,14.676062,0,0
47989000,47989000,197644,0.27788815,-0.035297066,0.47690412,14.67524,0,0
48987000,48987000,197644,0.2762529,-0.033128224,0.47294596,14.675915,0,0
49985000,49985000,197644,0.27822462,-0.03424285,0.47246042,14.675167,0,0
50988000,50988000,197644,0.2724414,-0.028933147,0.47309512,14.675246,0,0
