timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
14745000,nan,nan,nan,-0.0014483312,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
14844000,nan,nan,nan,-0.001470017,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
14937000,nan,nan,nan,-0.0014394815,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
15043000,nan,nan,nan,-0.0015201899,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
15143000,nan,nan,nan,-0.0016600142,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
15244000,nan,nan,nan,-0.0016933811,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
15345000,nan,nan,nan,-0.0017149359,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
15447000,nan,nan,nan,-0.001705447,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
15544000,nan,nan,nan,-0.0016738515,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
15640000,nan,nan,nan,-0.0016389589,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
15737000,nan,nan,nan,-0.0016441753,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
15835000,nan,nan,nan,-0.0016804748,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
15948000,nan,nan,nan,-0.0017369281,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
16044000,nan,nan,nan,-0.00175894,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
16136000,nan,nan,nan,-0.0018189889,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
16244000,nan,nan,nan,-0.0018322965,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
16344000,nan,nan,nan,-0.0018248752,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
16444000,nan,nan,nan,-0.001808747,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
16544000,nan,nan,nan,-0.0017855064,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
16645000,nan,nan,nan,-0.0017410968,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
16745000,nan,nan,nan,-0.0017316765,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
16844000,nan,nan,nan,-0.001668335,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
16945000,nan,nan,nan,-0.0016647566,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
17048000,nan,nan,nan,-0.0016600981,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
17148000,nan,nan,nan,-0.0016243585,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
17236000,nan,nan,nan,-0.001598832,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
17340000,nan,nan,nan,-0.0015720213,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
17444000,nan,nan,nan,-0.0015678342,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
17544000,nan,nan,nan,-0.0015816598,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
17648000,nan,nan,nan,-0.0016179795,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
17752000,nan,nan,nan,-0.0016945867,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
17839000,nan,nan,nan,-0.0017218989,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
17951000,nan,nan,nan,-0.0017611741,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
18039000,nan,nan,nan,-0.0017643912,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
18144000,nan,nan,nan,-0.0018414394,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
18244000,nan,nan,nan,-0.0018749317,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
18344000,nan,nan,nan,-0.0018954494,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
18440000,nan,nan,nan,-0.0019059662,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
18536000,nan,nan,nan,-0.0019223945,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
18644000,nan,nan,nan,-0.0019185476,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
18740000,nan,nan,nan,-0.0019176087,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
18844000,nan,nan,nan,-0.0019367668,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
18945000,nan,nan,nan,-0.0019573043,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
19036000,nan,nan,nan,-0.002032221,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
19140000,nan,nan,nan,-0.0021064547,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
19245000,nan,nan,nan,-0.0021518576,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
19344000,nan,nan,nan,-0.002204961,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
19443000,nan,nan,nan,-0.0021764627,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
19548000,nan,nan,nan,-0.002124067,0.0,nan,nan,nan,0.0,0.0,100.0,0.0,0.0,0.0,-0.0,-0.0,-0.001
19644000,0.06881141,0.031932972,-1.0,0.0,0.0,-2.2685155e-05,-0.0011005414,2.3280916,0.00013140752,-0.002874149,9.596659,0.0,0.0,0.0,-0.0,-0.0,-0.0128479
19745000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.00042773373,-0.002336111,2.1445522,-0.0067777755,-0.0029813398,9.307099,0.0,0.0,0.0,-2.159941e-05,-9.500932e-06,-0.03056401
19847000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.00126804,-0.004060501,1.9591956,-0.004820346,-0.0033728704,8.981457,0.0,0.0,0.0,-2.8565159e-05,-1.9987483e-05,-0.050487816
19935000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.0017928634,-0.0050105667,1.7992802,-0.007286075,-0.0077125076,8.693422,0.0,0.0,0.0,-5.1068466e-05,-5.405735e-05,-0.068110585
20045000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.0027811292,-0.006131143,1.599386,-0.010277531,-0.012298212,8.271535,0.0,0.0,0.0,-9.972867e-05,-0.00011933647,-0.09392291
20136000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.0026420667,-0.007353391,1.4340189,-0.009974763,-0.01212658,7.8879714,0.0,0.0,0.0,-0.00011799082,-0.00014344453,-0.11739048
20248000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.0017756212,-0.009001412,1.2304902,-0.0067217443,-0.019027421,7.3900404,0.0,0.0,0.0,-0.00010202561,-0.00028880662,-0.1478554
20343000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.00020540506,-0.010596667,1.0578543,-0.0039597983,-0.023513595,6.906246,0.0,0.0,0.0,-7.1946815e-05,-0.0004272259,-0.17745537
20443000,0.06881141,0.031932972,-1.0,0.0,0.0,0.00046449713,-0.011744547,0.87613237,-0.00012375263,-0.02540431,6.3743434,0.0,0.0,0.0,-2.666565e-06,-0.00054740044,-0.20999876
20540000,0.06881141,0.031932972,-1.0,0.0,0.0,0.00076210796,-0.0127965575,0.69986224,-0.0009067305,-0.024942212,5.8277287,0.0,0.0,0.0,-2.2439097e-05,-0.00061725156,-0.24344227
20644000,0.06881141,0.031932972,-1.0,0.0,0.0,0.00035521202,-0.013769712,0.51087165,-0.002303794,-0.026821839,5.198884,0.0,0.0,0.0,-6.663866e-05,-0.00077583827,-0.28191686
20744000,0.06881141,0.031932972,-1.0,0.0,0.0,0.00056161504,-0.013466174,0.32914972,-0.0018156123,-0.025255237,4.5554714,0.0,0.0,0.0,-5.8989826e-05,-0.0008205508,-0.32128274
20849000,0.06881141,0.031932972,-1.0,0.0,0.0,0.0021466385,-0.013066904,0.13834143,0.0050886255,-0.025281107,3.8406663,0.0,0.0,0.0,0.00018775288,-0.0009327864,-0.36501664
20944000,0.06881141,0.031932972,-1.0,0.0,0.0,0.004229999,-0.013545448,-0.03429413,0.009877328,-0.027161183,3.1539817,0.0,0.0,0.0,0.0004046994,-0.0011128632,-0.40703005
21040000,0.06881141,0.031932972,-1.0,0.0,0.0,0.0064628306,-0.0133779105,-0.20874739,0.020810852,-0.023451513,2.4308386,0.0,0.0,0.0,0.00095905847,-0.0010807521,-0.4512741
21144000,0.06881141,0.031932972,-1.0,0.0,0.0,0.009307489,-0.01209806,-0.39773798,0.02417046,-0.020282492,1.6026337,0.0,0.0,0.0,0.0012311405,-0.0010331039,-0.50194615
21245000,0.06881141,0.031932972,-1.0,0.0,0.0,0.012215571,-0.010837244,-0.5812776,0.034570374,-0.016230103,0.77894473,0.0,0.0,0.0,0.0019530678,-0.0009169265,-0.5523419
21344000,0.06881141,0.031932972,-1.0,0.0,0.0,0.015279266,-0.010357968,-0.76118207,0.040160064,-0.012415995,-0.0736084,0.0,0.0,0.0,0.0024825642,-0.0007675164,-0.60450363
21444000,0.06881141,0.031932972,-1.0,0.0,0.0,0.017985282,-0.00983823,-0.942904,0.03840828,-0.006089354,-0.9447558,0.0,0.0,0.0,0.002586953,-0.0004101427,-0.657803
21536000,0.06881141,0.031932972,-1.0,0.0,0.0,0.020321691,-0.008226118,-0.98925173,0.03652015,0.006036044,-0.80545616,0.0,0.0,0.0,0.002412741,0.00039877745,-0.64928025
21644000,0.06881141,0.031932972,-1.0,0.0,0.0,0.02283343,-0.006007765,-0.95923287,0.033898547,0.01351807,-0.15387917,0.0,0.0,0.0,0.0020959103,0.0008358075,-0.6094148
21743000,0.06881141,0.031932972,-1.0,0.0,0.0,0.024362179,-0.005062314,-0.9191584,0.029032022,0.009818385,0.037853003,0.0,0.0,0.0,0.0017593629,0.0005950017,-0.5976841
21844000,0.06881141,0.031932972,-1.0,0.0,0.0,0.025333188,-0.0039451644,-0.8791324,0.022798022,0.011755493,-0.026857615,0.0,0.0,0.0,0.0013939145,0.0007187532,-0.60164326
21945000,0.06881141,0.031932972,-1.0,0.0,0.0,0.025017872,-0.002502714,-0.8451777,0.01443155,0.014345819,-0.13015556,0.0,0.0,0.0,0.0008932219,0.00088791567,-0.6079633
22048000,0.06881141,0.031932972,-1.0,0.0,0.0,0.022683984,-0.0018100418,-0.815667,0.00084094424,0.012929148,-0.16383743,0.0,0.0,0.0,5.2945437e-05,0.00081401283,-0.6100241
22149000,0.06881141,0.031932972,-1.0,0.0,0.0,0.01959193,-0.0013341702,-0.7882172,-0.008354603,0.0110770315,-0.15712404,0.0,0.0,0.0,-0.0005069677,0.00067216804,-0.60961336
22244000,0.06881141,0.031932972,-1.0,0.0,0.0,0.015570641,-0.00070800685,-0.7628817,-0.016220562,0.0106398845,-0.14437091,0.0,0.0,0.0,-0.0010097218,0.0006623274,-0.6088331
22337000,0.06881141,0.031932972,-1.0,0.0,0.0,0.01178159,-3.5836176e-05,-0.7380961,-0.023174899,0.0073791207,-0.13336647,0.0,0.0,0.0,-0.0014427992,0.00045940175,-0.6081598
22436000,0.06881141,0.031932972,-1.0,0.0,0.0,0.008026857,0.000917273,-0.712258,-0.026257103,0.01166413,-0.13894498,0.0,0.0,0.0,-0.0016178511,0.0007186941,-0.6085011
22544000,0.06881141,0.031932972,-1.0,0.0,0.0,0.0027457813,0.0013762333,-0.6848264,-0.037660904,0.008786386,-0.14054406,0.0,0.0,0.0,-0.0023331975,0.000544341,-0.60859895
22636000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.002280357,0.0010222228,-0.6616851,-0.04402103,0.0051236553,-0.1321007,0.0,0.0,0.0,-0.0027350367,0.00031833388,-0.60808235
22740000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.008055403,0.00020973683,-0.63599813,-0.054735877,0.0019471901,-0.12932813,0.0,0.0,0.0,-0.0033888083,0.000120554454,-0.6079127
22840000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.013879641,-0.00094597804,-0.6120813,-0.05894011,-0.002213269,-0.12946796,0.0,0.0,0.0,-0.0036510986,-0.00013710295,-0.60792124
22943000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.018433688,-0.0013177597,-0.58794075,-0.054741953,-0.0031385033,-0.12707841,0.0,0.0,0.0,-0.0033911034,-0.00019442107,-0.60777503
23037000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.020088635,-0.0009920491,-0.56679547,-0.04375912,0.0019853995,-0.121781945,0.0,0.0,0.0,-0.0027156742,0.00012321313,-0.607451
23144000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.02078302,-0.00013810695,-0.5433986,-0.038066108,0.004881509,-0.121684074,0.0,0.0,0.0,-0.0023627481,0.00030299329,-0.607445
23248000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.022267558,0.00014551412,-0.52105206,-0.03849419,-0.001453345,-0.11511183,0.0,0.0,0.0,-0.002378825,-8.9812354e-05,-0.6070429
23340000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.022804016,-0.0002796892,-0.5019659,-0.035532348,0.0004920822,-0.12390065,0.0,0.0,0.0,-0.0021999653,3.0466992e-05,-0.60758066
23440000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.02281678,-0.0007172331,-0.4820032,-0.026669757,0.0002875322,-0.12652028,0.0,0.0,0.0,-0.0016387563,1.7667773e-05,-0.60774094
23536000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.023931798,-0.00086324976,-0.46370882,-0.0338629,-0.0031821274,-0.1298005,0.0,0.0,0.0,-0.0021002474,-0.00019736215,-0.6079416
23636000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.02504381,-0.0008052912,-0.44470876,-0.030941982,-0.006312512,-0.122775555,0.0,0.0,0.0,-0.0019059253,-0.00038883014,-0.6075118
23737000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.024151366,-0.00045985746,-0.42586946,-0.018871933,0.00023450225,-0.12960386,0.0,0.0,0.0,-0.0011685742,1.4520678e-05,-0.6079296
23837000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.022351362,-0.00053545105,-0.40823263,-0.009682719,0.0035130605,-0.12254435,0.0,0.0,0.0,-0.0006235142,0.00022622189,-0.60749763
23944000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.019196156,3.2031723e-05,-0.39000142,-8.264789e-05,0.005529471,-0.12610513,0.0,0.0,0.0,-6.2716977e-06,0.00041960136,-0.6077155
24044000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.0148748085,0.0013268568,-0.37342262,0.0061481893,0.009406881,-0.12975287,0.0,0.0,0.0,0.00038086824,0.00058273785,-0.6079387
24144000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.00942611,0.0027034972,-0.35734445,0.019062638,0.010034559,-0.12628925,0.0,0.0,0.0,0.0011888973,0.0006258347,-0.60772675
24236000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.005225294,0.004034015,-0.34262323,0.022199051,0.012964431,-0.12128651,0.0,0.0,0.0,0.0013672821,0.00079850416,-0.6074207
24336000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.0025544262,0.0045841993,-0.3270982,0.026802314,0.011095099,-0.116564274,0.0,0.0,0.0,0.0016661322,0.0006897129,-0.6071318
24436000,0.06881141,0.031932972,-1.0,0.0,0.0,-0.0009293128,0.0037967642,-0.31199116,0.022423878,0.0061534066,-0.11052251,0.0,0.0,0.0,0.0013850265,0.00038006942,-0.6067621
24547000,0.06881141,0.031932972,-1.0,0.0,0.0,0.00046703816,0.0017054211,-0.29568243,0.017533962,-0.0025639809,-0.11902392,0.0,0.0,0.0,0.0010978194,-0.00016053347,-0.6072823
24644000,0.06809496,0.03092792,-0.70838195,0.0,0.0,-0.00025503634,-0.0020906953,0.00882107,0.0068901693,-0.013679333,1.0147008,0.0,0.0,0.0,0.0003828671,-0.0007601216,-0.5379176
24740000,0.06809496,0.03092792,-0.70838195,0.0,0.0,-0.0002587877,-0.004217105,0.010871053,0.0078034196,-0.01762183,0.33109534,0.0,0.0,0.0,0.00046558483,-0.0010513925,-0.5797426
24849000,0.06809496,0.03092792,-0.70838195,0.0,0.0,0.0009359803,-0.0053834864,-0.010337889,0.0066148876,-0.014326924,-0.33915564,0.0,0.0,0.0,0.0004117084,-0.00089170306,-0.62075055
24944000,0.06809496,0.03092792,-0.70838195,0.0,0.0,0.0016370966,-0.005531591,-0.036085784,0.0104214735,-0.009806674,-0.4542419,0.0,0.0,0.0,0.0006880744,-0.0006474825,-0.6277919
25036000,0.06809496,0.03092792,-0.70838195,0.0,0.0,0.0014644983,-0.005549332,-0.054400027,0.0067027863,-0.010307955,-0.33614215,0.0,0.0,0.0,0.0004370326,-0.0006720954,-0.6205662
25144000,0.06809496,0.03092792,-0.70838195,0.0,0.0,0.0013143446,-0.0059639574,-0.06615728,0.0047687357,-0.012956977,-0.20469508,0.0,0.0,0.0,0.0002921815,-0.0007938769,-0.61252385
25244000,0.06809496,0.03092792,-0.70838195,0.0,0.0,0.0010323621,-0.0061863745,-0.07094669,0.0036260178,-0.009203455,-0.16197294,0.0,0.0,0.0,0.00023157311,-0.00058777235,-0.60991
