timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
20396000,20396000,2.6779451,3.5801747,-2.5132742,-1.2566371,0.0,1.2566371,2.5132742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
20408000,20408000,2.782822,3.6257148,-2.5132747,-1.2566373,-2.7632387e-07,1.2566369,2.513274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
21396000,21396000,2.8743606,3.6833289,-2.5130758,-1.2564386,0.00020640666,1.2568488,2.5134816,-0.0021960523,0.00054289354,0.0007658611,-0.0018353029,-0.003665824,-0.00221265,-0.001557177,0.0012502951,0.0023298692,0.00018965153,0.20000221,0.199998,0.1999966,0.19999976,0.2000034
22394000,22394000,0.21887171,3.5755715,-2.5082371,-1.2496496,0.0044186763,1.2575179,2.5145361,-0.016239,-0.00010285899,0.008936631,-0.0015197992,-0.01710554,-0.010898233,-0.015183589,-0.0012055679,0.011733345,0.0057948637,0.19847313,0.20016284,0.20163219,0.20084155,0.19889027
23392000,23392000,0.16536132,3.5393944,-2.50777,-1.248148,0.0039052952,1.2547241,2.5123382,0.025358688,0.006081337,-0.007212762,0.003655177,0.023829378,0.008039763,0.015811432,-3.4557495e-05,-0.0176121,-0.012733439,0.19748637,0.20042045,0.20278631,0.20128873,0.19801809
24391000,24391000,0.12757908,3.491234,-2.5054011,-1.2434509,0.0040344372,1.2496976,2.5086594,0.006034833,-0.0034146002,-0.01027647,-0.005266292,0.00486106,0.0031901882,0.0073921345,-0.00020679095,-0.009120636,-0.0071355836,0.19524306,0.20100394,0.20542412,0.2022995,0.19602934
25391000,25391000,0.08374661,3.4778745,-2.504696,-1.2429678,0.0035904995,1.2488958,2.5085592,-0.015661802,-0.008355994,-0.0014559464,-0.00432075,-0.013127472,0.002433408,-0.0025096012,0.002838706,0.011077033,0.010932935,0.19508609,0.20131041,0.20577413,0.20220245,0.1956269
26391000,26391000,0.065766625,3.4703207,-2.5040953,-1.242292,0.0034809578,1.2482175,2.5083113,-0.005730517,-0.0042430228,0.000673171,0.0023055987,-0.0016261059,0.00021943718,-0.0045241225,-0.0045887963,4.524403e-05,0.0030781848,0.19483837,0.20149837,0.20614347,0.20223528,0.19528455
27391000,27391000,0.06369049,3.4680848,-2.5040555,-1.2421643,0.0033492502,1.247836,2.5080328,-0.014477607,-0.0040908842,-0.0031356555,-0.012766661,-0.019903537,-0.0073647294,-0.0049746004,0.005521588,0.009780966,0.0018843645,0.19472933,0.2015433,0.20628269,0.2022734,0.19517128
28396000,28396000,0.06892108,3.466971,-2.5041015,-1.2420542,0.0033300759,1.247582,2.5077586,-0.002031277,0.0029164343,0.008136026,0.0065550413,0.0002549658,0.00060513814,-0.0033285667,0.000106265885,0.006146036,0.0065409266,0.19462657,0.20153476,0.20638238,0.20234154,0.19511478
