timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
512000,inf,0,1,1,1,0,0,1,1,0,1
1516000,inf,0,1,1,1,0,0,1,0,0,1
2520000,inf,0,1,1,1,0,0,1,0,0,1
3520000,inf,0,1,1,1,0,0,1,0,0,1
4527000,inf,0,1,1,1,0,0,1,0,0,1
5531000,inf,0,1,1,1,0,0,1,0,0,1
6536000,inf,0,1,1,1,0,0,1,0,0,1
7536000,inf,0,1,1,1,0,0,1,0,0,1
8540000,inf,0,1,1,1,0,0,1,0,0,1
9547000,inf,0,1,1,1,0,0,1,0,0,1
10548000,inf,0,1,1,1,0,0,1,0,0,1
11071000,inf,0,1,1,1,1,1,1,0,0,1
12075000,inf,0,1,1,1,1,1,1,0,0,1
13080000,inf,0,1,1,1,1,1,1,0,0,1
14087000,inf,0,1,1,1,1,1,1,0,0,1
15091000,inf,0,1,1,1,1,1,1,0,0,1
16096000,inf,0,1,1,1,1,1,1,0,0,1
17096000,inf,0,1,1,1,1,1,1,0,0,1
17961000,inf,0,1,1,1,0,0,1,0,0,1
18964000,inf,0,1,1,1,0,0,1,0,0,1
19584000,inf,0,1,1,1,1,0,1,0,0,1
20324000,inf,0,1,0,0,1,0,1,0,0,1
20332000,inf,0,0,0,0,1,0,1,0,0,1
21336000,inf,0,0,0,0,1,0,0,0,0,1
22337000,inf,0,0,0,0,1,0,0,0,0,1
23340000,inf,0,0,0,0,1,0,0,0,0,1
24347000,inf,0,0,0,0,1,0,0,0,0,1
25324000,inf,0,0,0,0,0,0,0,0,0,1
26331000,inf,0,0,0,0,0,0,0,0,0,1
27337000,inf,0,0,0,0,0,0,0,0,0,1
28344000,inf,0,0,0,0,0,0,0,0,0,1
29348000,inf,0,0,0,0,0,0,0,0,0,1
30356000,inf,0,0,0,0,0,0,0,0,0,1
31356000,inf,0,0,0,0,0,0,0,0,0,1
32359000,inf,0,0,0,0,0,0,0,0,0,1
33368000,inf,0,0,0,0,0,0,0,0,0,1
34368000,inf,0,0,0,0,0,0,0,0,0,1
35372000,inf,0,0,0,0,0,0,0,0,0,1
36377000,inf,0,0,0,0,0,0,0,0,0,1
37380000,inf,0,0,0,0,0,0,0,0,0,1
38384000,inf,0,0,0,0,0,0,0,0,0,1
39392000,inf,0,0,0,0,0,0,0,0,0,1
40399000,inf,0,0,0,0,0,0,0,0,0,1
41404000,inf,0,0,0,0,0,0,0,0,0,1
42405000,inf,0,0,0,0,0,0,0,0,0,1
43416000,inf,0,0,0,0,0,0,0,0,0,1
44424000,inf,0,0,0,0,0,0,0,0,0,1
45319000,inf,0,0,0,0,1,1,0,1,0,1
46323000,inf,0,0,0,0,1,1,0,0,0,1
47328000,inf,0,0,0,0,1,1,1,0,0,1
47448000,inf,0,1,0,0,1,1,1,0,0,1
47804000,inf,0,1,1,0,1,1,1,0,0,1
48144000,inf,0,1,1,1,1,1,1,0,0,1
49144000,inf,0,1,1,1,1,1,1,0,0,1
50148000,inf,0,1,1,1,1,1,1,0,0,1
