timestamp,rtl_time_s,rtl_limit_fraction
12064000,0.005508749,6.1208325e-06
13072000,0.0055317157,6.146351e-06
14087000,0.010708885,1.1898763e-05
15097000,0.010022525,1.113614e-05
16107000,0.009608997,1.0676664e-05
17112000,0.013190671,1.4656302e-05
18120000,0.0026211808,2.9124233e-06
19132000,0.011982806,1.3314229e-05
20148000,0.014707513,1.6341683e-05
21168000,0.004481365,4.9792948e-06
22179000,0.2223313,0.0002470348
23195000,0.47057572,0.00052286196
24207000,0.6527288,0.00072525424
25236000,0.63438505,0.0007048723
26244000,0.6337127,0.00070412527
27255000,0.65307087,0.00072563434
28268000,0.6653207,0.00073924527
29268000,0.68632096,0.0007625789
30276000,0.69309783,0.0007701087
31276000,0.697147,0.0007746078
32300000,0.7035227,0.00078169187
33324000,0.7079499,0.000786611
34344000,0.70361763,0.00078179745
35364000,0.7052232,0.00078358134
36368000,0.7022601,0.000780289
37388000,0.70759404,0.00078621565
38408000,0.71226376,0.0007914042
39416000,0.7119263,0.00079102925
40435000,0.7077863,0.0007864293
41447000,0.7017304,0.00077970047
42452000,0.70550036,0.0007838893
43475000,0.7056197,0.0007840219
44476000,0.7069449,0.00078549434
45488000,0.31273392,0.00034748216
46504000,0.05263746,5.848607e-05
47508000,0.023334175,2.5926862e-05
48519000,0.022362355,2.4847064e-05
49525000,0.0106157055,1.1795229e-05
50552000,0.011195876,1.2439863e-05
