timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
967000,967000,1311004,0.00030249683,0.0019737848,-0.0016488647,14.674995,0,1
1976000,1976000,1311004,0.0010965976,3.5227007e-05,0.0018258868,14.675344,0,1
2972000,2972000,1311004,0.00042694696,-0.0011075966,-0.00072687253,14.675167,0,1
3971000,3971000,1311004,0.0012575382,0.0012844555,-0.00052398496,14.675202,0,1
4976000,4976000,1311004,-0.0013460421,0.0013022457,-0.00089415844,14.675256,0,1
5967000,5967000,1311004,-0.00066445535,-0.0012617738,0.00037847,14.674923,0,1
6969000,6969000,1311004,-0.00046351555,0.0017924289,-0.0019846759,14.67549,0,1
7968000,7968000,1311004,-0.001796816,0.00040186066,0.0005709536,14.676138,0,1
8967000,8967000,1311004,-0.0016056084,-0.0011750583,0.00129579,14.676149,0,1
9971000,9971000,1311004,-0.0011543916,0.0017195361,0.0010263044,14.674706,0,1
10972000,10972000,1311004,-0.00013255753,-0.00045502756,0.0012893698,14.674937,0,1
11976000,11976000,1311004,-0.0012372133,0.001140953,-0.00054074987,14.674943,0,1
12972000,12972000,1311004,0.0013899913,0.001586467,0.0013067205,14.675817,0,1
13976000,13976000,1311004,0.00023335041,0.0003218783,0.0016588542,14.6752,0,1
14972000,14972000,1311004,-0.00013378232,-0.0016472689,-0.0015593125,14.675889,0,1
15968000,15968000,1311004,0.0011204757,0.0015780843,0.0016155395,14.676041,0,1
16964000,16964000,1311004,-0.0008978882,0.0018915341,-0.0004965936,14.6756315,0,1
17972000,17972000,1311004,-0.00039550854,0.0019767338,-0.0019478627,14.675548,0,1
18972000,18972000,1311004,0.00065625616,0.0007028294,-8.602235e-05,14.675262,0,1
19967000,19967000,1311004,-0.0013171552,-0.0016170184,-0.0016236622,14.676217,0,1
20972000,20972000,1311004,-0.0026634305,-0.0003774112,0.0008117321,14.676044,0,1
21972000,21972000,1311004,0.007185052,0.007132674,0.001730771,14.67496,0,1
22967000,22967000,1311004,-0.003888479,0.005133741,-0.0008296652,14.67263,0,1
23972000,23972000,1311004,-0.00020607756,-0.007977388,0.0013733578,14.671308,0,1
24976000,24976000,1311004,0.003682863,-0.0034309141,0.0017037173,14.671027,0,1
25972000,25972000,1311004,0.0011046589,0.0022430737,0.0010780584,14.671288,0,1
26976000,26976000,1311004,0.00061475707,9.024721e-05,0.00085707085,14.670763,0,1
27976000,27976000,1311004,-0.0016552309,-2.3086654e-06,-0.0007910218,14.670413,0,1
28971000,28971000,1311004,-5.7709254e-05,0.0055424343,-0.0017359562,14.670627,0,1
29965000,29965000,1311004,0.0008936013,-0.004209351,-0.0015687472,14.670803,0,1
30975000,30975000,1311004,0.0024848687,0.0006031923,-0.00022639545,14.67088,0,1
31976000,31976000,1311004,9.181009e-05,-0.0038870263,0.00074623054,14.670865,0,1
32971000,32971000,1311004,0.00055962167,0.0024361818,-0.00029697432,14.670093,0,1
33972000,33972000,1311004,-0.0038843818,0.00404703,0.00017305254,14.67025,0,1
34968000,34968000,1311004,-0.0023913458,-0.00690131,-0.00052911596,14.670424,0,1
35971000,35971000,1311004,0.0022655649,0.00043565582,-0.0011795516,14.670227,0,1
36967000,36967000,1311004,-0.0029510178,-0.0034052117,-0.0020163709,14.671313,0,1
37971000,37971000,1311004,0.0036536225,0.00078858534,0.00036540703,14.670161,0,1
38967000,38967000,1311004,-0.0074614827,-0.006255088,-0.00045478527,14.670724,0,1
39968000,39968000,1311004,0.00061614625,-5.5832872e-05,0.0008978383,14.670088,0,1
40975000,40975000,1311004,-0.0018076056,-8.150986e-05,-0.0003259054,14.670527,0,1
41971000,41971000,1311004,0.0017948465,-0.00047525257,-0.00095672224,14.670933,0,1
42971000,42971000,1311004,-0.008650759,-0.0022966892,-0.00017173846,14.670014,0,1
43967000,43967000,1311004,0.008062093,0.0014150932,-0.0014623451,14.670788,0,1
44971000,44971000,1311004,-0.36763278,-0.03206652,0.26140177,14.670227,0,1
45972000,45972000,1311004,-0.019882368,0.0027855963,-0.020523792,14.673966,0,1
46976000,46976000,1311004,-8.040507e-05,-0.001838024,0.0027880962,14.675834,0,1
47972000,47972000,1311004,-0.0014340432,-0.003935468,0.0003445753,14.675872,0,1
48972000,48972000,1311004,0.0017600438,0.0009616459,-0.0017853839,14.675505,0,1
49968000,49968000,1311004,-0.0015586858,-0.0015975389,0.0014278893,14.6756525,0,1
50968000,50968000,1311004,0.0017067909,-0.00017572209,-0.0003574529,14.6757965,0,1
