timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
433000,1310988,1310988,1310996,1311004,0,0.0019135388,0.0012048571,0.0007165157,0.0,1310988,1310988,1310996,1311004,0,4.7832757e-05,2.7122487e-05,2.2065426e-05,0.0,1,1,1,0,1,1,1,0
440000,1310988,1310988,1310996,1311004,0,0.0017180658,0.001098848,0.0006242111,0.0,1310988,1310988,1310996,1311004,0,5.78423e-05,2.7239503e-05,3.1650343e-05,0.0,1,1,1,0,1,1,1,0
631000,1310988,1310988,1310996,1311004,0,0.0019140202,0.0009768693,0.0009367499,0.0,1310988,1310988,1310996,1311004,0,0.00015094226,7.5932534e-05,7.501064e-05,0.0,1,1,1,0,1,1,1,0
831000,1310988,1310988,1310996,1311004,0,0.0010643125,0.0005318172,0.0005318172,0.0,1310988,1310988,1310996,1311004,0,5.0884057e-05,2.5442016e-05,2.5442016e-05,0.0,1,1,1,0,1,1,1,0
1036000,1310988,1310988,1310996,1311004,0,0.0026883583,0.0013438013,0.0013438013,0.0,1310988,1310988,1310996,1311004,0,8.9108675e-05,4.4554326e-05,4.4554326e-05,0.0,1,1,1,0,1,1,1,0
1227000,1310988,1310988,1310996,1311004,0,0.0010768621,0.000544747,0.0010489831,0.0,1310988,1310988,1310996,1311004,0,0.00020794227,0.000111281275,0.00010392073,0.0,1,1,1,0,1,1,1,0
1431000,1310988,1310988,1310996,1311004,0,0.0017357167,0.0016471295,0.001066389,0.0,1310988,1310988,1310996,1311004,0,0.00013048742,7.449132e-05,6.342659e-05,0.0,1,1,1,0,1,1,1,0
1637000,1310988,1310988,1310996,1311004,0,0.0019223292,0.00047259068,0.0018450174,0.0,1310988,1310988,1310996,1311004,0,0.00016684191,9.8158715e-05,8.780572e-05,0.0,1,1,1,0,1,1,1,0
1836000,1310988,1310988,1310996,1311004,0,0.0014371631,0.0013553579,0.0019178862,0.0,1310988,1310988,1310996,1311004,0,0.00012270194,7.987134e-05,5.351267e-05,0.0,1,1,1,0,1,1,1,0
2036000,1310988,1310988,1310996,1311004,0,0.0012324457,0.00080019684,0.000607614,0.0,1310988,1310988,1310996,1311004,0,7.233491e-05,4.0136165e-05,7.9742254e-05,0.0,1,1,1,0,1,1,1,0
2231000,1310988,1310988,1310996,1311004,0,0.0022939742,0.0015617926,0.0007453966,0.0,1310988,1310988,1310996,1311004,0,8.558379e-05,4.237516e-05,6.4519205e-05,0.0,1,1,1,0,1,1,1,0
2436000,1310988,1310988,1310996,1311004,0,0.0010758437,0.00058979366,0.00069695024,0.0,1310988,1310988,1310996,1311004,0,0.00013387355,9.147827e-05,5.211535e-05,0.0,1,1,1,0,1,1,1,0
2637000,1310988,1310988,1310996,1311004,0,0.0010967045,0.0011291547,0.00015653593,0.0,1310988,1310988,1310996,1311004,0,5.0992756e-05,4.0945328e-05,3.5708763e-05,0.0,1,1,1,0,1,1,1,0
2832000,1310988,1310988,1310996,1311004,0,0.0019083794,0.0007350058,0.0015237035,0.0,1310988,1310988,1310996,1311004,0,7.5653144e-05,5.570166e-05,7.373481e-05,0.0,1,1,1,0,1,1,1,0
3035000,1310988,1310988,1310996,1311004,0,0.0009283942,0.0013469122,0.0018003219,0.0,1310988,1310988,1310996,1311004,0,8.271969e-05,5.7805966e-05,2.5542608e-05,0.0,1,1,1,0,1,1,1,0
3236000,1310988,1310988,1310996,1311004,0,0.0014555388,0.0007741128,0.0011282418,0.0,1310988,1310988,1310996,1311004,0,0.00012303196,9.571605e-05,4.3698856e-05,0.0,1,1,1,0,1,1,1,0
3437000,1310988,1310988,1310996,1311004,0,0.0014773867,0.0026048964,0.0014206963,0.0,1310988,1310988,1310996,1311004,0,7.5193e-05,3.7650618e-05,4.9628805e-05,0.0,1,1,1,0,1,1,1,0
3636000,1310988,1310988,1310996,1311004,0,0.0007309646,0.00038548306,0.00061074615,0.0,1310988,1310988,1310996,1311004,0,5.31357e-05,3.5829104e-05,7.054269e-05,0.0,1,1,1,0,1,1,1,0
3831000,1310988,1310988,1310996,1311004,0,0.0010128645,0.0010564541,0.0015376372,0.0,1310988,1310988,1310996,1311004,0,0.00015056497,3.764019e-05,0.00012384869,0.0,1,1,1,0,1,1,1,0
