timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
29908000,1731924209965000,0,401540300,1162594858,50763,50763,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,3,0,1,15
30907000,1731924210966000,0,401540297,1162594855,50582,50582,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.01,0.0,0,nan,nan,0,3,0,1,15
31905000,1731924211966000,0,401540299,1162594853,50615,50615,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,0.0,0,nan,nan,0,3,0,1,15
32912000,1731924212970000,0,401540296,1162594859,50620,50620,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.0,0.0,0.01,0.0,0,nan,nan,0,3,0,1,15
33916000,1731924213974000,0,401540303,1162594860,50564,50564,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.02,0.0,0,nan,nan,0,3,0,1,15
34913000,1731924214973000,0,401540296,1162594854,50740,50740,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.01,-0.01,0.0,0.02,0.0,0,nan,nan,0,3,0,1,15
35920000,1731924215977000,0,401540297,1162594859,50643,50643,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.0,-0.01,0.0,0.0,0,nan,nan,0,3,0,1,15
36917000,1731924216978000,0,401540295,1162594859,50574,50574,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.02,-0.01,-0.01,0.01,0.0,0,nan,nan,0,3,0,1,15
37925000,1731924217982000,0,401540299,1162594849,50564,50564,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.01,-0.01,0.0,-0.01,0.0,0,nan,nan,0,3,0,1,15
38929000,1731924218986000,0,401540298,1162594853,50602,50602,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.03,-0.02,0.01,-0.01,0.0,0,nan,nan,0,3,0,1,15
39928000,1731924219986000,0,401540297,1162594851,50609,50609,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.0,0.01,0.0,0.0,0,nan,nan,0,3,0,1,15
40936000,1731924220993000,0,401540301,1162594855,50746,50746,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.01,0.01,-0.01,0.0,0,nan,nan,0,3,0,1,15
41936000,1731924221994000,0,401540299,1162594859,50627,50627,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.01,-0.01,0.0,0.0,0,nan,nan,0,3,0,1,15
42937000,1731924222998000,0,401540297,1162594859,50646,50646,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.0,-0.01,0.01,0.0,0,nan,nan,0,3,0,1,15
43943000,1731924224002000,0,401540307,1162594863,50740,50740,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.0,-0.01,0.0,0.0,0,nan,nan,0,3,0,1,15
44943000,1731924225001000,0,401540298,1162594854,50610,50610,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.01,-0.01,0.01,0.21,0.0,0,nan,nan,0,3,0,1,15
45943000,1731924226002000,0,401540312,1162594852,50123,50123,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.59,0.0,0,nan,nan,0,3,0,1,15
46956000,1731924227013000,0,401540299,1162594857,49840,49840,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,3,0,1,15
47956000,1731924228014000,0,401540306,1162594852,50028,50028,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,0.0,0,nan,nan,0,3,0,1,15
48964000,1731924229022000,0,401540299,1162594855,49877,49877,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,3,0,1,15
49963000,1731924230022000,0,401540300,1162594854,49810,49810,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,nan,nan,0,3,0,1,15
50963000,1731924231022000,0,401540308,1162594861,49814,49814,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,0.0,0,nan,nan,0,3,0,1,15
