timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
424000,415400,197388,0.2758415,-0.033911895,0.47490215,0
444000,436250,197388,0.27520108,-0.03516052,0.4715674,0
464000,455400,197388,0.2762538,-0.035512276,0.4722453,0
484000,475400,197388,0.27579656,-0.03393751,0.47428343,0
504000,495600,197388,0.27597246,-0.03455858,0.47289371,0
524000,515800,197388,0.27492377,-0.035144202,0.4736363,0
544000,535600,197388,0.27683017,-0.03320935,0.47324434,0
564000,556000,197388,0.27608693,-0.034857042,0.4737873,0
584000,575600,197388,0.2737972,-0.034656096,0.47358236,0
607000,597500,197388,0.27477717,-0.034645274,0.47202203,0
628000,619800,197388,0.27540064,-0.033702597,0.47407588,0
651000,641333,197388,0.27705193,-0.03413744,0.47487658,0
671000,664500,197388,0.27658415,-0.03255179,0.4737854,0
691000,683000,197388,0.27571222,-0.033862673,0.47446308,0
712000,703600,197388,0.27362892,-0.034012403,0.47320327,0
735000,725500,197388,0.2750464,-0.03504136,0.4745528,0
755000,747400,197388,0.27650452,-0.032610346,0.47355294,0
775000,767400,197388,0.2762587,-0.034576528,0.47165257,0
795000,787600,197388,0.27437216,-0.033250403,0.47265086,0
816000,807000,197388,0.27460474,-0.033306975,0.47372323,0
839000,830600,197388,0.27441832,-0.03297819,0.4737477,0
860000,851400,197388,0.2753173,-0.03357139,0.47183448,0
880000,871800,197388,0.27432057,-0.034811117,0.4720427,0
903000,892400,197388,0.2742386,-0.032494895,0.4748795,0
924000,915800,197388,0.2740243,-0.03244586,0.47279367,0
945000,936000,197388,0.27552757,-0.033298504,0.47149202,0
967000,959400,197388,0.2738361,-0.03264608,0.47388777,0
987000,979500,197388,0.27243745,-0.032327622,0.4718124,0
1007000,999600,197388,0.27591094,-0.03302966,0.47361636,0
1028000,1019200,197388,0.27338874,-0.034501906,0.4735678,0
1048000,1040000,197388,0.2742903,-0.035106238,0.47136948,0
1068000,1059800,197388,0.27349502,-0.03316887,0.47303316,0
1092000,1083200,197388,0.2749724,-0.034954842,0.47325873,0
1112000,1103600,197388,0.2768014,-0.032485425,0.4714987,0
1137000,1125200,197388,0.27633795,-0.034564167,0.47459584,0
1159000,1151600,197388,0.2739699,-0.034198288,0.47285247,0
1180000,1171400,197388,0.2760174,-0.0332316,0.4726673,0
1203000,1193500,197388,0.27495828,-0.03418266,0.4749987,0
1223000,1214500,197388,0.27302977,-0.03285603,0.47274512,0
1245000,1236250,197388,0.27628672,-0.03426828,0.4716627,0
1265000,1257750,197388,0.27355102,-0.033703413,0.4731221,0
1285000,1278000,197388,0.27636766,-0.034367137,0.4725985,0
1308000,1299800,197388,0.27564222,-0.03384258,0.47393093,0
1331000,1321200,197388,0.27633762,-0.03308152,0.47386056,0
1352000,1343600,197388,0.27382046,-0.033548094,0.47380525,0
1372000,1363400,197388,0.27393985,-0.03599104,0.47465873,0
1392000,1384000,197388,0.27552885,-0.0332791,0.4727327,0
1412000,1403600,197388,0.27568728,-0.034297843,0.4726371,0
1435000,1425500,197388,0.27594063,-0.03517051,0.4724829,0
1455000,1447750,197388,0.2756957,-0.03361901,0.47271997,0
1476000,1467250,197388,0.27625415,-0.033777326,0.47202066,0
1496000,1487800,197388,0.2749382,-0.034380745,0.47047853,0
1516000,1507600,197388,0.27386257,-0.032843467,0.47214952,0
1537000,1528000,197388,0.2756494,-0.033873484,0.47318435,0
1557000,1549750,197388,0.27306333,-0.033313207,0.4725681,0
1579000,1571600,197388,0.27444392,-0.03505157,0.4728302,0
1599000,1591400,197388,0.2768621,-0.03440177,0.47211215,0
1623000,1612800,197388,0.27591068,-0.033319797,0.4726793,0
1645000,1636600,197388,0.27543366,-0.0332734,0.47381043,0
1667000,1660500,197388,0.2732489,-0.0343847,0.47249192,0
1688000,1679600,197388,0.2759674,-0.034893673,0.47468957,0
1711000,1701666,197388,0.27562135,-0.033845957,0.4731854,0
1732000,1722500,197388,0.27499127,-0.033676334,0.473472,0
1752000,1744000,197388,0.27304292,-0.03455889,0.47528377,0
1777000,1766000,197388,0.27534875,-0.034417566,0.47294542,0
1797000,1790000,197388,0.2751456,-0.03407079,0.47587004,0
1820000,1812000,197388,0.275243,-0.033231754,0.47482497,0
1840000,1832000,197388,0.2771824,-0.03512821,0.4734537,0
1863000,1854800,197388,0.27517715,-0.03334505,0.47294384,0
1883000,1875500,197388,0.27549186,-0.033729885,0.47499156,0
1904000,1895800,197388,0.27339178,-0.03445585,0.473195,0
1924000,1915400,197388,0.27550897,-0.03331058,0.47099814,0
1944000,1936000,197388,0.27330405,-0.03531669,0.47411212,0
1967000,1957000,197388,0.27408108,-0.03445052,0.47373205,0
1987000,1979600,197388,0.27484027,-0.03588366,0.47268268,0
2007000,1999200,197388,0.27516755,-0.033981733,0.47224876,0
2027000,2021000,197388,0.27535364,-0.034298174,0.4734578,0
2048000,2039400,197388,0.27451754,-0.0335638,0.47352934,0
2068000,2059600,197388,0.27357444,-0.03337672,0.4731315,0
2088000,2079800,197388,0.2755094,-0.035942614,0.47164938,0
2111000,2101666,197388,0.2745496,-0.033102788,0.47271633,0
2131000,2123800,197388,0.2752695,-0.032673486,0.47353217,0
2151000,2142000,197388,0.2738867,-0.03425011,0.4745394,0
2171000,2165000,197388,0.2749601,-0.033356734,0.47180822,0
2192000,2183400,197388,0.2746429,-0.033031963,0.47318965,0
2215000,2206800,197388,0.27749148,-0.035388496,0.47542262,0
2235000,2227400,197388,0.27357787,-0.03280088,0.47153875,0
2256000,2249250,197388,0.27834806,-0.033984512,0.47372085,0
