timestamp,saturation_status
1000000,1533
2003000,1533
2997000,1533
4001000,1533
4999000,1533
6000000,1533
7004000,1533
8000000,1533
8995000,1533
10003000,1533
11000000,1533
11999000,1529
13000000,1529
13999000,1529
15004000,1529
15997000,1529
17000000,1529
18001000,1529
19001000,1529
20000000,1
21003000,1
22004000,1
22996000,1
24003000,1
25003000,1
26001000,1
26999000,1
28003000,1
29000000,1
30000000,1
30999000,1
31999000,1
32996000,1
34000000,1
35000000,1
36003000,1
37000000,1
38000000,1
39003000,1
39996000,1
40999000,1
42005000,1
42999000,1
43996000,1
45004000,1
45996000,1
47004000,1
48003000,1
48996000,1533
50000000,1533
51000000,1529
