timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
739000,739000,1.6551273e-11,4.1146745e-06,0.0070983106,1.45821e-05,0.00044362777,2.9433058e-06,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
751000,751000,1.704702e-11,4.1563676e-06,0.007183318,1.5651129e-05,0.00078665174,9.294614e-06,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
939000,939000,1.8877922e-11,4.8219863e-06,0.007924461,3.8695496e-05,0.0004202813,0.0018390715,512,0,1.3943716,1.5657272,0.0,nan,nan,9.162872e-05,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1129000,1129000,2.1038003e-11,5.2178807e-06,0.008060773,1.4923731e-05,0.00029878426,0.005253601,512,0,1.2025341,1.240376,0.0,nan,nan,0.0007157357,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1339000,1339000,2.2849406e-11,5.4207308e-06,0.010198439,1.4661915e-06,0.00031659746,0.0037819569,512,0,0.9973048,1.0188311,0.0,nan,nan,0.00035146484,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1548000,1548000,2.2650326e-11,5.427022e-06,0.010022076,1.7870378e-06,0.0004686015,0.004676974,512,0,0.84190685,0.8926184,0.0,nan,nan,0.00059813017,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1732000,1732000,2.2169537e-11,5.53884e-06,0.010690507,1.4703666e-05,0.0007223955,0.004110682,512,0,0.70994824,0.809805,0.0,nan,nan,0.0002201449,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1933000,1933000,2.199146e-11,5.7660886e-06,0.011790347,4.0892082e-05,0.0009762527,0.0017671502,512,0,0.67152536,0.7582455,0.0,nan,nan,0.002298756,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2143000,2143000,2.2041662e-11,5.916044e-06,0.010560969,6.0838833e-05,0.0010996643,0.0027983289,512,0,0.68772304,0.7320406,0.0,nan,nan,0.0025259843,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2335000,2335000,2.508044e-11,6.257095e-06,0.011780536,9.541721e-05,0.00090626196,0.0007720824,512,0,0.67417264,0.7294412,0.0,nan,nan,0.000527427,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197644,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
