timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
11052000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
17847000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
44632000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
48164000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48215000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48265000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48323000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48363000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48413000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48467000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48519000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48573000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48623000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48664000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48720000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48772000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48817000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48872000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48924000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48968000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49016000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49067000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49116000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49168000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49173000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49224000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49276000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49327000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49376000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49427000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49476000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49525000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49574000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49624000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49659000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49717000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49759000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49816000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49859000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49917000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49968000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50016000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50060000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50116000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
