timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
424000,401333,6620172,49.922062,14.675952,100726.78,1.2189432
475000,452916,6620172,49.95962,14.675016,100726.36,1.2189387
527000,503692,6620172,49.945534,14.67493,100726.51,1.2189374
579000,555750,6620172,49.936146,14.675315,100726.62,1.2189357
631000,607615,6620172,49.96901,14.675363,100726.234,1.2189361
685000,659666,6620172,49.973705,14.674762,100726.195,1.2189366
735000,713500,6620172,49.95962,14.674735,100726.37,1.2189372
788000,763538,6620172,49.917366,14.675845,100726.88,1.2189401
839000,815181,6620172,49.945534,14.674799,100726.5,1.218937
891000,867538,6620172,49.94084,14.674833,100726.58,1.2189395
945000,921583,6620172,49.983097,14.67543,100726.08,1.2189348
996000,972909,6620172,49.964314,14.674715,100726.305,1.2189323
1048000,1023615,6620172,49.922062,14.6754055,100726.81,1.2189443
1099000,1075833,6620172,49.917366,14.674756,100726.85,1.2189395
1152000,1126545,6620172,49.917366,14.674872,100726.89,1.218939
1203000,1179461,6620172,49.936146,14.675286,100726.625,1.2189382
1255000,1231000,6620172,49.94084,14.674954,100726.58,1.2189356
1308000,1285000,6620172,49.94084,14.674687,100726.57,1.218939
1359000,1336583,6620172,49.898586,14.676174,100727.055,1.2189409
1412000,1387692,6620172,49.926754,14.674762,100726.75,1.2189424
1464000,1439000,6620172,49.94084,14.675942,100726.59,1.2189407
1516000,1493500,6620172,49.90328,14.6753435,100727.05,1.2189419
1568000,1542727,6620172,49.917366,14.675274,100726.88,1.2189394
1623000,1596000,6620172,49.936146,14.676106,100726.67,1.2189388
1676000,1652000,6620172,49.95962,14.675085,100726.39,1.218938
1732000,1703923,6620172,49.95962,14.67481,100726.39,1.2189366
1784000,1758333,6620172,49.93145,14.675075,100726.7,1.2189412
1836000,1811200,6620172,49.973705,14.675612,100726.19,1.2189364
1887000,1863909,6620172,49.96901,14.675209,100726.266,1.2189349
1940000,1914083,6620172,49.93145,14.676132,100726.734,1.2189393
1991000,1968166,6620172,49.922062,14.674949,100726.836,1.2189409
2043000,2019833,6620172,49.9784,14.674788,100726.15,1.2189323
2096000,2071769,6620172,49.91267,14.675483,100726.9,1.2189393
2151000,2123769,6620172,49.90328,14.675396,100726.99,1.2189412
2204000,2179818,6620172,49.94084,14.675576,100726.55,1.218939
2256000,2230583,6620172,49.917366,14.674889,100726.875,1.2189393
2307000,2283545,6620172,49.917366,14.675146,100726.86,1.2189385
2359000,2338636,6620172,49.936146,14.675376,100726.66,1.218938
2411000,2389333,6620172,49.954926,14.676197,100726.44,1.2189357
2469000,2439833,6620172,49.973705,14.675223,100726.21,1.218933
2520000,2497583,6620172,49.945534,14.674803,100726.484,1.2189382
2572000,2546090,6620172,49.93145,14.67532,100726.72,1.2189405
2624000,2598166,6620172,49.917366,14.674891,100726.86,1.2189429
2676000,2651454,6620172,49.95023,14.6747465,100726.47,1.218938
2728000,2702750,6620172,49.973705,14.674767,100726.22,1.2189366
2780000,2755692,6620172,49.945534,14.676092,100726.49,1.2189345
2832000,2807538,6620172,49.936146,14.675764,100726.625,1.2189375
2883000,2859384,6620172,49.945534,14.674982,100726.53,1.218938
2935000,2914000,6620172,49.94084,14.675405,100726.55,1.2189364
2987000,2963615,6620172,49.95023,14.675754,100726.48,1.2189384
3039000,3015090,6620172,49.94084,14.675674,100726.58,1.2189407
3092000,3067750,6620172,49.945534,14.675119,100726.49,1.21894
3144000,3120000,6620172,49.91267,14.675647,100726.92,1.2189445
3196000,3170500,6620172,49.926754,14.675922,100726.76,1.2189405
3247000,3222166,6620172,49.945534,14.675669,100726.54,1.2189373
3300000,3275615,6620172,49.954926,14.67581,100726.41,1.2189368
3352000,3327846,6620172,49.936146,14.675366,100726.63,1.2189372
3404000,3379461,6620172,49.94084,14.67593,100726.59,1.2189388
3455000,3431000,6620172,49.954926,14.675377,100726.44,1.218936
3508000,3483538,6620172,49.926754,14.674937,100726.766,1.2189375
3559000,3535538,6620172,49.922062,14.6752205,100726.8,1.2189393
3612000,3589583,6620172,49.964314,14.675238,100726.31,1.2189335
3663000,3639384,6620172,49.936146,14.675401,100726.63,1.218939
3716000,3690416,6620172,49.964314,14.675074,100726.29,1.2189355
3768000,3742333,6620172,49.94084,14.67585,100726.59,1.2189403
3820000,3795769,6620172,49.907974,14.675665,100726.984,1.2189437
3872000,3845454,6620172,49.922062,14.675095,100726.83,1.2189409
