timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
433000,0.0,0.0,0.0,0.0
440000,0.0,0.0,0.0,0.0
636000,0.0,0.0,0.0,0.0
835000,0.0,0.0,0.0,0.0
1036000,0.0,0.0,0.0,0.0
1233000,0.0,0.0,0.0,0.0
1431000,0.0,0.0,0.0,0.0
1637000,0.0,0.0,0.0,0.0
1836000,0.0,0.0,0.0,0.0
2036000,0.0,0.0,0.0,0.0
2235000,0.0,0.0,0.0,0.0
2436000,0.0,0.0,0.0,0.0
2637000,0.0,0.0,0.0,0.0
2836000,0.0,0.0,0.0,0.0
3035000,0.0,0.0,0.0,0.0
3236000,0.0,0.0,0.0,0.0
3437000,0.0,0.0,0.0,0.0
3636000,0.0,0.0,0.0,0.0
3835000,0.0,0.0,0.0,0.0
4036000,0.0,0.0,0.0,0.0
4259000,0.0,0.0,0.0,0.0
4436000,0.0,0.0,0.0,0.0
4635000,0.0,0.0,0.0,0.0
4836000,0.0,0.0,0.0,0.0
5034000,0.0,0.0,0.0,0.0
5235000,0.0,0.0,0.0,0.0
5437000,0.0,0.0,0.0,0.0
5607000,0.0,0.0,0.0,0.0
5832000,0.0,0.0,0.0,0.0
6036000,0.0,0.0,0.0,0.0
6212000,0.0,0.0,0.0,0.0
6436000,0.0,0.0,0.0,0.0
6635000,0.0,0.0,0.0,0.0
6835000,0.0,0.0,0.0,0.0
7036000,0.0,0.0,0.0,0.0
7236000,0.0,0.0,0.0,0.0
7437000,0.0,0.0,0.0,0.0
7636000,0.0,0.0,0.0,0.0
7836000,0.0,0.0,0.0,0.0
8036000,0.0,0.0,0.0,0.0
8236000,0.0,0.0,0.0,0.0
8436000,0.0,0.0,0.0,0.0
8635000,0.0,0.0,0.0,0.0
8836000,0.0,0.0,0.0,0.0
9035000,0.0,0.0,0.0,0.0
9236000,0.0,0.0,0.0,0.0
9436000,0.0,0.0,0.0,0.0
9631000,0.0,0.0,0.0,0.0
9835000,0.0,0.0,0.0,0.0
10035000,0.0,0.0,0.0,0.0
