timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
691000,691000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996000,996000,0.0,0.0,0.0,3.6994577e-05,0.00013310852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011440277,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1496000,1496000,0.0,0.0,0.0,-0.00026867553,0.0005285226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04384613,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999000,1999000,0.0,0.0,0.0,-0.0011548081,0.0006184271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035232544,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500000,2500000,0.0,0.0,0.0,-0.0010605952,0.00083539664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027076721,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2997000,2997000,0.0,0.0,0.0,6.627011e-05,0.00065973244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016757965,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3492000,3492000,0.0,0.0,0.0,0.00078676967,0.00012750039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013420105,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3997000,3997000,0.0,0.0,0.0,0.0009053368,-0.0013138494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004184723,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4497000,4484000,0.0,0.0,0.0,0.0006890413,-0.000872259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016223907,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4996000,4983000,0.0,0.0,0.0,0.0005035823,-0.0007048405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03326416,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5496000,5483000,0.0,0.0,0.0,-0.0012234076,-0.0010859892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014255524,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5994000,5988000,0.0,0.0,0.0,-0.0013640217,-0.0010722699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022281647,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6500000,6491000,0.0,0.0,0.0,-0.0006385926,-0.0012476193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032737732,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6997000,6997000,0.0,0.0,0.0,0.0004468832,0.0002041293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017017365,0.0,0.0,nan,0.0,0.0,0.0075615584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7496000,7496000,0.0,0.0,0.0,0.00044146364,0.0011539396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00091934204,0.0,0.0,nan,0.0,0.0,-0.0026291134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000000,8000000,0.0,0.0,0.0,0.00041666016,0.0009432776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010570526,0.0,0.0,nan,0.0,0.0,-0.0077350223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8500000,8500000,0.0,0.0,0.0,0.00028691426,0.0001808608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03885269,0.0,0.0,nan,0.0,0.0,0.0037119365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8995000,8995000,0.0,0.0,0.0,-0.0002162775,-0.0003726699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036632538,0.0,0.0,nan,0.0,0.0,0.0038249942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9504000,9504000,0.0,0.0,0.0,-0.00015664415,0.00033395074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008182526,0.0,0.0,nan,0.0,0.0,0.0008508137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10003000,10003000,0.0,0.0,0.0,-0.00038035793,0.0008490278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0110321045,0.0,0.0,nan,0.0,0.0,-0.00035329908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10496000,10496000,-0.0001737495,-0.00035799068,-0.00077275187,-0.0887115,0.021833556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011825562,0.0,0.0,nan,0.0,0.0,-0.0024823006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10992000,10992000,0.00028154842,0.0010589326,-6.0230483e-05,-0.0050802752,0.0014027096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010650635,0.0,0.0,nan,0.0,0.0,-0.0044710645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11504000,11504000,-0.00022970623,0.0021770182,0.01884747,0.02915544,0.075178325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03129196,0.0,0.0,nan,0.0,0.0,-0.001314082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
