timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
1792000,1792000,0,nan,nan,-0.0019361727,0.0008344874,0.02009956,0.0,0.0,0.0,-0.004228055,0.0024634236,0.017485494,0.025415758,-5.7867048e-05,1.3878525e-06,0.0,0.0014356972,-0.021720167,0.026376545,0.12448747,0.124535985,nan,0.1,0.572859,0.7830327,1.3175019,0.48599976,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1904000,1904000,0,nan,nan,-0.0020723168,0.00090986287,0.02239499,0.0,0.0,0.0,-0.0038472868,0.0023574838,0.015557318,0.022886775,-5.7867048e-05,1.3878525e-06,0.0,0.027776396,0.010208199,0.019174067,0.12451225,0.124535985,nan,0.1,0.69306743,0.7628793,1.4873741,0.49299473,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1991000,1991000,0,nan,nan,-0.0020003691,0.00095519505,0.023160456,0.0,0.0,0.0,-0.004187724,0.0023919612,0.016243793,0.022218097,-5.7867048e-05,1.3878525e-06,0.0,-0.009110119,-0.012754247,0.035834495,0.1245165,0.124535985,nan,0.1,0.56398493,0.7442223,1.3488864,0.49824587,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2100000,2100000,0,nan,nan,-0.002046654,0.001024536,0.024036566,0.0,0.0,0.0,-0.0045278533,0.002441007,0.016652685,0.021022512,-5.7867048e-05,1.3878525e-06,0.0,0.0014292138,0.004065885,-0.02399925,0.12450582,0.124535985,nan,0.1,0.6868826,0.73352695,1.5319003,0.50532615,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2197000,2197000,0,nan,nan,-0.0020812592,0.0010499246,0.024682706,0.0,0.0,0.0,-0.0047097052,0.0019975582,0.016420435,0.019506766,-5.7867048e-05,1.3878525e-06,0.0,-0.005103314,-0.006753385,0.034619123,0.12450127,0.124535985,nan,0.1,0.5596452,0.7221848,1.3827666,0.5102928,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2304000,2304000,0,nan,nan,-0.0020723175,0.001076518,0.025955029,0.0,0.0,0.0,-0.0037753738,0.0025853014,0.016349152,0.018683314,-5.7867048e-05,1.3878525e-06,0.0,-0.003354612,0.0015065739,0.03107105,0.12451703,0.124535985,nan,0.1,0.68822557,0.71855366,1.5983094,0.5171147,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2403000,2403000,0,nan,nan,-0.0019355745,0.0010902025,0.02746828,0.0,0.0,0.0,-0.002769027,0.0023411019,0.017341223,0.019301912,-5.7867048e-05,1.3878525e-06,0.0,0.011760831,0.019744458,0.001172535,0.12451807,0.124535985,nan,0.1,0.5684838,0.714998,1.4183551,0.5224348,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2500000,2500000,0,nan,nan,-0.001712975,0.001095075,0.029130753,0.0,0.0,0.0,-0.0019891993,0.0025964135,0.018219942,0.019882126,-5.7867048e-05,1.3878525e-06,0.0,0.010671387,-0.003913746,-0.01690909,0.12451729,0.124535985,nan,0.1,0.69034976,0.7134393,1.6110221,0.5272234,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2600000,2600000,0,nan,nan,-0.0014430907,0.001080959,0.030029282,0.0,0.0,0.0,-0.0016030974,0.0023228824,0.019761018,0.020253802,-5.7867048e-05,1.3878525e-06,0.0,-0.0069030756,0.014953493,-0.027881933,0.12451895,0.124535985,nan,0.1,0.57076573,0.7137423,1.4177173,0.5315887,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2696000,2696000,0,nan,nan,-0.0011688329,0.0011031227,0.030670494,0.0,0.0,0.0,-0.0006376306,0.002777856,0.019580489,0.018904824,-5.7867048e-05,1.3878525e-06,0.0,0.012261359,0.011102146,0.0020943582,0.12450614,0.124535985,nan,0.1,0.68125343,0.7275087,1.5817968,0.53854847,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2800000,2800000,0,nan,nan,-0.00071011775,0.0011034663,0.031667743,0.0,0.0,0.0,0.0012997573,0.0024401234,0.020935556,0.019257948,-5.7867048e-05,1.3878525e-06,0.0,-0.0014629868,-0.026271896,-0.021876395,0.12449204,0.124535985,nan,0.1,0.57277644,0.7338414,1.3970677,0.54340386,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2900000,2900000,0,nan,nan,-0.00018897108,0.001069536,0.031857427,0.0,0.0,0.0,0.0021228197,0.0024773462,0.020391483,0.017140051,-5.7867048e-05,1.3878525e-06,0.0,-0.00084992545,0.0023377878,0.024374573,0.124485664,0.124535985,nan,0.1,0.6965523,0.7378151,1.5653217,0.54642594,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3012000,3012000,0,nan,nan,0.0003829771,0.0010443147,0.03221282,0.0,0.0,0.0,0.0029865715,0.0020728842,0.018807683,0.014144394,-5.7867048e-05,1.3878525e-06,0.0,-0.0042400397,-0.0050246315,-0.0015750527,0.12449235,0.124535985,nan,0.1,0.57644373,0.74600744,1.341911,0.54998636,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3100000,3100000,0,nan,nan,0.0008195487,0.0009567291,0.032232285,0.0,0.0,0.0,0.00350595,0.001580928,0.019789921,0.013991454,-5.7867048e-05,1.3878525e-06,0.0,0.0019798698,-0.0072215847,0.044497658,0.12451395,0.124535985,nan,0.1,0.683639,0.74710053,1.4924775,0.55023915,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3200000,3200000,0,nan,nan,0.0012035437,0.0008007313,0.032297023,0.0,0.0,0.0,0.0031930981,0.00030461093,0.018638737,0.011675302,-5.7867048e-05,1.3878525e-06,0.0,-0.0025333727,-0.03136087,0.035876404,0.1245073,0.124535985,nan,0.1,0.5589409,0.75211865,1.2712235,0.5511242,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3304000,3304000,0,nan,nan,0.001507909,0.00051897473,0.032827538,0.0,0.0,0.0,0.0037827122,-0.00075784436,0.01903778,0.011486025,-5.7867048e-05,1.3878525e-06,0.0,0.011746364,-0.0023569448,0.045605,0.124485984,0.124535985,nan,0.1,0.67209136,0.7570872,1.4251472,0.5513041,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3400000,3400000,0,nan,nan,0.0017051843,0.00017500608,0.033188105,0.0,0.0,0.0,0.00347342,-0.0019409113,0.02066985,0.012515852,-5.7867048e-05,1.3878525e-06,0.0,-0.010630842,0.021041285,0.023779457,0.1245089,0.124535985,nan,0.1,0.55264723,0.7620442,1.2229792,0.55093104,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3500000,3500000,0,nan,nan,0.0018285406,-0.00022487668,0.03359328,0.0,0.0,0.0,0.0034628941,-0.0018885575,0.021266105,0.0123772845,-5.7867048e-05,1.3878525e-06,0.0,0.019432249,0.019595142,-0.041022893,0.12451425,0.124535985,nan,0.1,0.6611986,0.76648337,1.3612142,0.5497565,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
