timestamp,timestamp_sample,device_id,error_count,pressure,temperature
1000000,1000000,6620172,0,1007.26855,14.676074
2003000,2003000,6620172,0,1007.26984,14.674825
3001000,3001000,6620172,0,1007.259,14.67535
4001000,4001000,6620172,0,1007.253,14.67524
5003000,5003000,6620172,0,1007.2668,14.674897
6000000,6000000,6620172,0,1007.25446,14.676155
7004000,7004000,6620172,0,1007.25195,14.676118
8000000,8000000,6620172,0,1007.26715,14.674939
9000000,9000000,6620172,0,1007.2612,14.674772
10003000,10003000,6620172,0,1007.25793,14.675903
11000000,11000000,6620172,0,1007.2715,14.6754465
12003000,12003000,6620172,0,1007.2722,14.675985
13000000,13000000,6620172,0,1007.25964,14.675746
14003000,14003000,6620172,0,1007.26544,14.676082
15004000,15004000,6620172,0,1007.2604,14.675539
16004000,16004000,6620172,0,1007.26324,14.674731
17000000,17000000,6620172,0,1007.2792,14.675308
18001000,18001000,6620172,0,1007.2563,14.675218
19001000,19001000,6620172,0,1007.26514,14.675276
20000000,20000000,6620172,0,1007.2772,14.675859
21003000,21003000,6620172,0,1007.27826,14.675179
22004000,22004000,6620172,0,1007.2601,14.674778
23000000,23000000,6620172,0,1007.2159,14.672517
24003000,24003000,6620172,0,1007.1902,14.671956
25003000,25003000,6620172,0,1007.1731,14.670529
26001000,26001000,6620172,0,1007.17554,14.670603
27004000,27004000,6620172,0,1007.19995,14.670823
28003000,28003000,6620172,0,1007.1925,14.67132
29000000,29000000,6620172,0,1007.19147,14.670588
30000000,30000000,6620172,0,1007.1733,14.671199
31003000,31003000,6620172,0,1007.18945,14.671025
32004000,32004000,6620172,0,1007.16626,14.671248
33000000,33000000,6620172,0,1007.1816,14.670926
34000000,34000000,6620172,0,1007.1729,14.67069
35000000,35000000,6620172,0,1007.1675,14.67041
36003000,36003000,6620172,0,1007.1778,14.670572
37000000,37000000,6620172,0,1007.18555,14.670819
38000000,38000000,6620172,0,1007.1805,14.67142
39003000,39003000,6620172,0,1007.1796,14.670248
40000000,40000000,6620172,0,1007.172,14.67017
41003000,41003000,6620172,0,1007.17316,14.670923
42005000,42005000,6620172,0,1007.17316,14.670307
43004000,43004000,6620172,0,1007.1762,14.671309
44004000,44004000,6620172,0,1007.185,14.670655
45004000,45004000,6620172,0,1007.1857,14.671526
46000000,46000000,6620172,0,1007.26746,14.674845
47004000,47004000,6620172,0,1007.2735,14.675915
48003000,48003000,6620172,0,1007.2651,14.674783
49000000,49000000,6620172,0,1007.25867,14.674954
50000000,50000000,6620172,0,1007.2546,14.676102
51000000,51000000,6620172,0,1007.26587,14.674775
