timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
7675000,0.0,-0.0,-0.0017535347,0.0,0.99999964,0.0,-0.0,-0.0008767672,0.0,0.0,-0.0,0,0,0,0,0
7679000,0.0,-0.0,-0.0017592158,0.0,0.99999964,0.0,-0.0,-0.0008796078,0.0,0.0,-0.0,0,0,0,0,0
7727000,0.0,-0.0,-0.0018360479,0.0,0.9999996,0.0,-0.0,-0.0009180238,0.0,0.0,-0.0,0,0,0,0,0
7772000,0.0,-0.0,-0.0019206451,0.0,0.9999995,0.0,-0.0,-0.0009603224,0.0,0.0,-0.0,0,0,0,0,0
7823000,0.0,-0.0,-0.0020953012,0.0,0.99999946,0.0,-0.0,-0.0010476504,0.0,0.0,-0.0,0,0,0,0,0
7872000,0.0,-0.0,-0.0022566242,0.0,0.99999934,0.0,-0.0,-0.0011283119,0.0,0.0,-0.0,0,0,0,0,0
7927000,0.0,-0.0,-0.0024137136,0.0,0.9999993,0.0,-0.0,-0.0012068565,0.0,0.0,-0.0,0,0,0,0,0
7977000,0.0,-0.0,-0.0025511328,0.0,0.99999917,0.0,-0.0,-0.001275566,0.0,0.0,-0.0,0,0,0,0,0
8024000,0.0,-0.0,-0.002615676,0.0,0.99999917,0.0,-0.0,-0.0013078377,0.0,0.0,-0.0,0,0,0,0,0
8077000,0.0,-0.0,-0.0025972931,0.0,0.99999917,0.0,-0.0,-0.0012986462,0.0,0.0,-0.0,0,0,0,0,0
8124000,0.0,-0.0,-0.0025606938,0.0,0.99999917,0.0,-0.0,-0.0012803465,0.0,0.0,-0.0,0,0,0,0,0
8172000,0.0,-0.0,-0.0025483207,0.0,0.99999917,0.0,-0.0,-0.00127416,0.0,0.0,-0.0,0,0,0,0,0
8217000,0.0,-0.0,-0.0025227664,0.0,0.9999992,0.0,-0.0,-0.0012613828,0.0,0.0,-0.0,0,0,0,0,0
8271000,0.0,-0.0,-0.0024624667,0.0,0.9999992,0.0,-0.0,-0.001231233,0.0,0.0,-0.0,0,0,0,0,0
