timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
3375000,3375000,1311004,0.00020457985,8.5525724e-05,-3.5406764e-08,0.34906584,3.878076e-05,3.8780716e-05,1.3015748e-05,1311004,0.0,0.0,0.0010302134,0.4,0.00039150554,0.00039150554,0.00034938633,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
4056000,4056000,1311004,0.0001147046,1.6456064e-05,-3.7243108e-08,0.34906584,2.2928018e-05,2.292799e-05,7.1765403e-06,1311004,0.0,0.0,0.0021233528,0.4,0.0003967873,0.0003967873,0.0003066888,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
4707000,4695000,1311004,3.498669e-05,-3.3467786e-05,-3.9835424e-08,0.34906584,1.2737871e-05,1.2737881e-05,4.4079106e-06,1311004,0.0,0.0,0.003138831,0.4,0.0003983405,0.0003983405,0.0002580038,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
5340000,5328000,1311004,-1.1537552e-05,-2.3525788e-05,-3.7370846e-08,0.34906584,6.702729e-06,6.702765e-06,2.9014295e-06,1311004,0.0,0.0,0.0043611797,0.4,0.00039954533,0.00039954533,0.00021167712,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
8956000,8956000,1311004,-6.00309e-05,4.5864403e-05,3.945714e-05,0.34906584,4.9093273e-07,4.9095524e-07,1.2171909e-06,1311004,0.0,0.0,0.0053657363,0.4,0.00040426155,0.00040426155,0.00010669731,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
11444000,11444000,1311004,-2.7241746e-05,2.788822e-05,-6.0931387e-05,0.34906584,3.777362e-07,3.7774643e-07,8.2594823e-07,1311004,0.0,0.0,0.0065912576,0.4,0.0004049305,0.0004049305,8.326123e-05,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
12145000,12145000,1311004,-1.5621337e-05,1.00161105e-05,-8.859201e-05,0.34906584,2.7518948e-07,2.7519374e-07,6.9112446e-07,1311004,0.0,0.0,0.0054668873,0.4,0.00040157363,0.00040157363,6.2964624e-05,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
12448000,12448000,1311004,-3.320603e-05,1.4822325e-05,-9.865687e-05,0.34906584,2.4050618e-07,2.4050917e-07,6.368603e-07,1311004,0.0,0.0,0.0044588726,0.4,0.0004024122,0.0004024122,5.4825177e-05,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
15160000,15160000,1311004,-5.7597874e-05,3.9308383e-05,-3.6362773e-05,0.34906584,6.7483946e-08,6.748378e-08,3.0132955e-07,1311004,0.0,0.0,0.0034062685,0.4,0.00039926832,0.00039926832,1.4633402e-05,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
17972000,17972000,1311004,-2.472634e-05,6.061022e-06,-4.4132197e-05,0.34906584,1.858067e-08,1.8580513e-08,1.4965602e-07,1311004,0.0,0.0,0.004435711,0.4,0.00040253083,0.00040253083,5.583073e-06,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
20696000,20696000,1311004,-2.9209106e-05,-9.505305e-06,3.58516e-05,0.34906584,7.863729e-09,7.8637115e-09,8.316428e-08,1311004,0.0007077485,0.00085655856,0.004654939,0.4,0.0003688973,0.0003688973,5.0099393e-06,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
20989000,20989000,1311004,-2.975416e-05,-2.3239743e-05,5.069684e-05,0.34906584,7.516985e-09,7.516973e-09,7.8500804e-08,1311004,0.0020088875,0.0012073817,0.004535283,0.4,0.00029558782,0.00029558787,4.9954106e-06,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
21195000,21195000,1311004,-2.6233653e-05,-2.9138602e-05,4.6066634e-05,0.34906584,7.46768e-09,7.467668e-09,7.605952e-08,1311004,0.0008214548,0.0011677531,0.004465392,0.4,0.00024291163,0.00024291174,5.0242857e-06,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
21396000,21396000,1311004,-2.7878828e-05,-3.231354e-05,4.3615226e-05,0.34906584,7.417976e-09,7.417965e-09,7.287687e-08,1311004,-0.00067355484,0.00080639485,0.0045376564,0.4,0.00019644773,0.00019644789,5.0161393e-06,197388,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
