x,y,z,vx,vy,vz,ax,ay,az,DTMode
-0.019473113,-0.21664941,-0.8387122,-0.017017351,-0.00011001533,0.0049681645,0.648026,2.086195,0.2498162,2_7
-0.021549154,-0.2176563,-0.8377164,-0.017343642,-0.032646902,0.016917089,1.2020025,-3.1097906,1.7976211,2_7
-0.023625044,-0.22239476,-0.83330965,-0.018878942,-0.06635878,0.07217839,-0.9280349,-1.2275616,0.20000686,2_7
-0.02539062,-0.22886403,-0.82017237,-0.009778393,-0.073015444,0.18961509,-0.1204817,0.1752253,1.5495096,2_7
-0.026817162,-0.23734647,-0.79171246,-0.0058057006,-0.073476374,0.35431355,0.70334214,-0.8581267,2.7056499,2_7
-0.027946409,-0.24720933,-0.7460548,-0.0050441073,-0.10344082,0.5304212,0.53337914,-0.6932892,1.9459915,2_7
-0.02887238,-0.25793812,-0.682376,-0.003443642,-0.10197678,0.66452813,0.9030657,1.2363139,1.1172159,2_7
-0.029873312,-0.2697119,-0.5970047,-0.007993967,-0.09192158,0.7217798,-0.44653922,-1.1754018,-1.0580394,2_7
-0.030665046,-0.27906984,-0.5188836,-0.005330594,-0.08466437,0.74333537,1.0002307,0.14367527,0.5793368,2_7
-0.031626794,-0.2876441,-0.4366008,-0.012731642,-0.07819435,0.7167222,-0.50099397,-0.17747569,-1.1247102,2_7
-0.032926828,-0.2942694,-0.3586555,-0.015684055,-0.057160918,0.66212964,0.5030612,0.05173444,0.08926653,2_7
-0.034369096,-0.29892343,-0.28169227,-0.017997334,-0.04398167,0.6247276,-0.55001485,-1.6770749,-0.51531166,2_7
-0.03565005,-0.30085254,-0.22106667,-0.017015697,-0.02702345,0.60808516,0.47018155,-0.3575161,-0.021254495,2_7
-0.037156988,-0.30065686,-0.16205175,-0.016480532,-0.013272134,0.593153,0.03538985,0.1353735,0.013404855,2_7
-0.039249998,-0.29796726,-0.09987631,-0.019795002,0.0050817113,0.57530046,0.21082374,-0.46127844,-0.36668855,2_7
-0.041334055,-0.29491615,-0.053346753,-0.025289012,0.003103302,0.557993,-0.13974863,-0.9281444,0.26841646,2_7
-0.04467277,-0.29202643,-0.0058612805,-0.03221745,-0.029458523,0.495502,0.124934986,-0.4506872,-0.05696638,2_7
-0.047443304,-0.29152402,0.026791954,-0.022092659,-0.028659577,0.42481604,0.46860957,0.5818175,-0.8732691,2_7
-0.049587745,-0.29434544,0.033079136,-0.0042635994,-0.08688404,-0.1493944,1.0495187,-0.18499996,1.2577571,2_7
-0.050671335,-0.30090818,0.019037211,-0.01204121,-0.1010185,0.09075238,-0.03245343,0.22920342,2.518188,2_7
-0.05223596,-0.31087264,0.012157557,-0.005040225,-0.115037225,-0.09029552,0.3993528,1.4647512,2.0631082,2_7
-0.05258173,-0.3220582,-0.004491813,0.0061559086,-0.086697295,-0.08714745,-1.0494591,-0.51514965,2.9046173,2_7
-0.051599015,-0.3270675,-0.022740401,-0.020093072,0.0051545072,-0.03219154,-3.5914598,0.64046484,-4.863155,2_7
-0.051639114,-0.32900453,-0.042030055,-0.0031078632,-0.019965403,-0.06157944,1.2083378,0.16918723,-2.3504064,2_7
-0.050946776,-0.3295689,-0.059899267,0.0014460917,-0.020421002,-0.07016003,-0.22206783,0.79805696,-0.61299247,2_7
-0.0503379,-0.32930264,-0.07551889,0.0067629255,0.0027747722,-0.07658071,0.1413894,1.0730968,-0.21732603,2_7
-0.049734406,-0.32821932,-0.08865002,0.0045005586,0.009863793,-0.0826884,0.023629373,0.90906984,-0.3006552,2_7
-0.04915775,-0.32621545,-0.0997945,0.0042117652,-0.005589513,-0.08244166,-0.3302211,-1.202406,0.3631839,2_7
-0.048698816,-0.324279,-0.10711494,0.0038113063,-0.0035636039,-0.083288215,-0.25284714,-1.402179,0.37551656,2_7
-0.04836596,-0.32208088,-0.11265259,0.0032614837,-0.0058960877,-0.080915384,-0.509138,-1.2873664,0.26500362,2_7
-0.048202038,-0.3196637,-0.11583783,0.0043158215,0.019469291,-0.076488174,-0.012411183,1.6661389,0.11142885,2_7
-0.04828848,-0.31778932,-0.116786875,0.0009296589,0.010369074,-0.07005502,-0.3539976,0.14690751,0.2720417,2_7
-0.048549846,-0.3160877,-0.11571419,0.003944913,0.010690957,-0.06426301,0.3029743,0.11717013,0.03172843,2_7
-0.048781224,-0.31488737,-0.11310904,0.00013932683,0.0069251647,-0.057087306,-0.80357265,-0.8840429,-0.12535164,2_7
-0.049092595,-0.31422922,-0.10904956,0.0001489557,0.0058386493,-0.049539547,-0.6653709,-0.6857898,-0.103001215,2_7
-0.049290817,-0.3141597,-0.1046064,0.0020620443,0.0038875663,-0.041883882,-0.5034323,-0.39584327,-0.035948433,2_7
