timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
691000,691000,0,nan,nan,8.990297e-08,-1.344531e-06,4.2570062e-07,0.0,0.0,0.0,5.2573792e-05,-0.00026374625,0.00012082212,0.00012325577,-1.961858e-05,-0.00032365724,0.0,0.014880256,0.009765917,0.019453466,0.12031718,0.12031854,nan,0.100004345,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
996000,996000,0,nan,nan,-0.00016406813,-0.00012206152,-0.00075936335,0.0,0.0,0.0,-0.001561367,-0.00083545025,0.0038578755,0.0025923299,-1.961858e-05,-0.00032365724,0.0,-0.0036573866,-0.0022895024,-0.015158205,0.120242186,0.12031854,nan,0.1,0.8956748,1.3243526,4.380697,0.45340043,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1495000,1495000,0,nan,nan,-0.00089390844,-0.00043360854,-0.0025869152,0.0,0.0,0.0,-0.0009447701,0.00013581735,0.009988759,0.0053936513,-1.961858e-05,-0.00032365724,0.0,0.013028329,0.0041949083,0.04206411,0.120205835,0.12031854,nan,0.1,0.8250036,0.8917445,1.8803022,0.4701381,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1996000,1996000,0,nan,nan,-0.00031735518,2.267225e-05,-0.0024938039,0.0,0.0,0.0,-0.00070182106,0.0004476324,0.00960716,0.00333254,-1.961858e-05,-0.00032365724,0.0,0.021221621,0.018709382,-0.029750166,0.12028901,0.12031854,nan,0.1,0.54842466,0.7459544,1.2855268,0.49819648,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2501000,2501000,0,nan,nan,0.00026593718,0.0006302555,-0.003664049,0.0,0.0,0.0,0.0012766054,0.0024036067,0.01165936,0.0029669465,-1.961858e-05,-0.00032365724,0.0,0.0016403295,-0.003179737,0.05622208,0.120309964,0.12031854,nan,0.1,0.65097,0.7158701,1.5422353,0.52723736,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2996000,2996000,0,nan,nan,0.0013091399,0.0009255206,-0.0036744433,0.0,0.0,0.0,0.0030006096,6.1097395e-05,0.012457393,0.0032544406,-1.961858e-05,-0.00032365724,0.0,-0.0035197374,0.008106295,0.0043129544,0.120265484,0.12031854,nan,0.1,0.5249031,0.7442155,1.2678446,0.5483047,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3495000,3495000,0,nan,nan,0.0015589021,-0.0008398573,0.0026733011,0.0,0.0,0.0,0.003759552,-0.003890766,0.016355066,0.0099124005,-1.961858e-05,-0.00032365724,0.0,-0.0066769584,-0.0067874035,-0.06852205,0.12027233,0.12031854,nan,0.1,0.6094416,0.766897,1.2876135,0.54871106,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3996000,3996000,0,nan,nan,0.0009109543,-0.0016506392,0.0070246537,0.0,0.0,0.0,0.00093689736,-0.00200732,0.01764972,0.010809724,-1.961858e-05,-0.00032365724,0.0,0.0026721489,-0.005396677,-0.0106953075,0.12028458,0.12031854,nan,0.1,0.67841375,0.797815,1.2806708,0.5425869,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4496000,4492000,0,nan,nan,-0.00014532676,-0.0014008663,0.00880568,0.0,0.0,0.0,-0.0025194443,-0.003133602,0.017126787,0.007446018,-1.961858e-05,-0.00032365724,0.0,-0.0060063307,0.004838395,0.04251394,0.120345004,0.12031854,nan,0.1,0.542963,0.8025944,1.0370142,0.52179265,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
5000000,4996000,0,nan,nan,-0.0024958933,-0.0019041854,0.0068294047,0.0,0.0,0.0,-0.006864944,-0.004666756,0.013906994,0.0012809972,-1.961858e-05,-0.00032365724,0.0,-0.022225328,0.007895837,0.034238208,0.12043298,0.12031854,nan,0.1,0.60424507,0.8217592,1.0334245,0.50694114,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
5496000,5492000,0,nan,nan,-0.003476913,-0.002200595,0.006845965,0.0,0.0,0.0,-0.0055780523,-0.0046410346,0.01775748,0.0048054038,-1.961858e-05,-0.00032365724,0.0,0.020705799,-0.0039462135,0.01809839,0.12056862,0.12031854,nan,0.1,0.49604186,0.80828655,0.8386017,0.4807331,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
6000000,5996000,5596000,40.1540307,116.25948609999999,-0.0021528846,-0.0019625518,0.009255072,0.0,0.0,0.0,-0.0008807893,-0.0011173302,0.013975955,0.0022849792,-1.961858e-05,-0.00032365724,0.0,0.01289701,0.03341506,-0.017807817,0.120575175,0.12031854,49.844467,0.1,0.54901487,0.79181474,0.8404494,0.45555776,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
6500000,6496000,5596000,40.1540307,116.25948609999999,0.00052335596,0.0009866743,0.00891671,0.0,0.0,0.0,0.0032731686,0.005974149,0.011116042,-0.0011360195,-1.961858e-05,-0.00032365724,0.0,0.032508004,0.018523226,0.043839213,0.12062636,0.12031854,49.844467,0.1,0.4624806,0.79489547,0.68843347,0.43987092,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
6999000,6995000,5596000,40.1540307,116.25948609999999,0.0018950644,0.0048158355,0.004095004,0.0,0.0,0.0,0.0035236443,0.010370351,0.0050189323,-0.008646123,-1.961858e-05,-0.00032365724,0.0,0.020569282,0.021173697,0.0019408761,2.9911322e-05,-0.12147696,49.844467,0.1,0.48824227,0.7754467,0.5691621,0.41636965,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
7503000,7499000,5596000,40.1540307,116.25948609999999,0.0023460828,0.006095066,0.0027200114,0.0,0.0,0.0,0.0022220912,0.00849868,0.0028692211,-0.007742006,-1.961858e-05,-0.00032365724,0.0,-0.02254973,0.007534543,-0.02992153,-0.00029952137,-0.12147696,49.844467,0.10028296,0.49249235,0.7752042,0.5556381,0.4010426,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
8000000,7996000,5596000,40.1540307,116.25948609999999,0.002154749,0.0054949285,-0.0023011826,0.0,0.0,0.0,0.0025953914,0.007662407,0.0009534841,-0.010198783,-1.961858e-05,-0.00032365724,0.0,-0.006895473,0.013195102,-0.03208369,-0.00032932116,-0.12147696,49.844467,0.1,0.43158108,0.7561039,0.5775319,0.3795682,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
