timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
968000,968000,1310988,-0.021547815,-0.016759412,-9.763555,14.67484,0,0,0,0,1
1971000,1971000,1310988,0.0023942017,0.0,-9.821015,14.675728,0,0,0,0,1
2960000,2960000,1310988,-0.011971008,-0.007182605,-9.799467,14.676134,0,0,0,0,1
3965000,3965000,1310988,0.016759412,-0.009576807,-9.785102,14.675458,0,0,0,0,1
4967000,4967000,1310988,0.0023942017,0.0023942017,-9.809045,14.6758175,0,0,0,0,1
5972000,5972000,1310988,0.0,0.038307227,-9.787497,14.675279,0,0,0,0,1
6976000,6976000,1310988,-0.0023942017,-0.011971008,-9.742006,14.676221,0,0,0,0,1
7967000,7967000,1310988,-0.0023942017,0.021547815,-9.794679,14.67591,0,0,0,0,1
8971000,8971000,1310988,0.0047884034,0.011971008,-9.828198,14.674859,0,0,0,0,1
9975000,9975000,1310988,0.0023942017,0.0023942017,-9.787497,14.67535,0,0,0,0,1
10967000,10967000,1310988,0.016759412,0.0023942017,-9.811439,14.676037,0,0,0,0,1
11963000,11963000,1310988,0.0047884034,0.0,-9.878476,14.675864,0,0,0,0,1
12972000,12972000,1310988,-0.011971008,-0.007182605,-9.794679,14.67468,0,0,0,0,1
13968000,13968000,1310988,-0.019153614,0.01436521,-9.825804,14.676036,0,0,0,0,1
14976000,14976000,1310988,-0.023942016,0.007182605,-9.866506,14.67548,0,0,0,0,1
15975000,15975000,1310988,0.0,0.021547815,-9.7803135,14.67584,0,0,0,0,1
16968000,16968000,1310988,0.007182605,-0.009576807,-9.844957,14.675223,0,0,0,0,1
17968000,17968000,1310988,-0.007182605,-0.011971008,-9.801862,14.67606,0,0,0,0,1
18972000,18972000,1310988,-0.011971008,0.009576807,-9.7563715,14.675882,0,0,0,0,1
19972000,19972000,1310988,-0.011971008,-0.0047884034,-9.801862,14.675564,0,0,0,0,1
20963000,20963000,1310988,0.021547815,-0.007182605,-9.80665,14.675696,0,0,0,0,1
21971000,21971000,1310988,-0.009576807,-0.0047884034,-9.792285,14.675637,0,0,0,0,1
22965000,22965000,1310988,-0.011971008,0.011971008,-9.854534,14.673657,0,0,0,0,1
23973000,23973000,1310988,0.009576807,-0.009576807,-9.7324295,14.672853,0,0,0,0,1
24967000,24967000,1310988,0.007182605,-0.009576807,-9.751583,14.671582,0,0,0,0,1
25972000,25972000,1310988,-0.016759412,-0.0023942017,-10.307038,14.67142,0,0,0,0,1
26966000,26966000,1310988,0.0,-0.007182605,-9.828198,14.671329,0,0,0,0,1
27976000,27976000,1310988,0.009576807,0.0,-9.799467,14.671576,0,0,0,0,1
28963000,28963000,1310988,0.0,-0.0023942017,-9.773131,14.670389,0,0,0,0,1
29960000,29960000,1310988,0.0,0.019153614,-9.830592,14.671344,0,0,0,0,1
30967000,30967000,1310988,0.011971008,0.0,-9.753978,14.670714,0,0,0,0,1
31964000,31964000,1310988,-0.011971008,0.0023942017,-9.809045,14.670196,0,0,0,0,1
32965000,32965000,1310988,-0.021547815,-0.011971008,-9.828198,14.671722,0,0,0,0,1
33968000,33968000,1310988,-0.0023942017,0.033518825,-9.773131,14.671049,0,0,0,0,1
34965000,34965000,1310988,0.007182605,0.02873042,-9.816227,14.6701355,0,0,0,0,1
35972000,35972000,1310988,0.01436521,0.0,-9.856929,14.670367,0,0,0,0,1
36976000,36976000,1310988,0.011971008,-0.01436521,-9.775525,14.670211,0,0,0,0,1
37968000,37968000,1310988,0.0023942017,0.0,-9.856929,14.670144,0,0,0,0,1
38975000,38975000,1310988,-0.011971008,-0.0047884034,-9.82341,14.670393,0,0,0,0,1
39968000,39968000,1310988,-0.01436521,-0.007182605,-9.76116,14.670775,0,0,0,0,1
40960000,40960000,1310988,-0.050278235,-0.011971008,-9.718064,14.670908,0,0,0,0,1
41965000,41965000,1310988,-0.0047884034,0.009576807,-9.813833,14.671727,0,0,0,0,1
42964000,42964000,1310988,-0.021547815,-0.021547815,-9.825804,14.670527,0,0,0,0,1
43970000,43970000,1310988,0.007182605,0.02633622,-9.799467,14.670348,0,0,0,0,1
44967000,44967000,1310988,0.009576807,-0.0047884034,-9.768343,14.671005,0,0,0,0,1
45962000,45962000,1310988,-0.0047884034,-0.0047884034,-7.675811,14.671039,0,0,0,0,1
46976000,46976000,1310988,0.22744916,-0.36391866,-28.653807,14.675088,0,0,0,0,1
47963000,47963000,1310988,-0.0047884034,0.009576807,-9.80665,14.675196,0,0,0,0,1
48965000,48965000,1310988,-0.023942016,0.0047884034,-9.832987,14.675304,0,0,0,0,1
49958000,49958000,1310988,0.016759412,-0.021547815,-9.77792,14.674945,0,0,0,0,1
50964000,50964000,1310988,0.009576807,-0.0023942017,-9.821015,14.676176,0,0,0,0,1
