timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
17961000,0.0,0.0,33.0,4.0,3.0,0.0,0.0,176,1,0,0,0,0,1
18685000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
18792000,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,1,0,0,0,0,1
18900000,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,1,0,0,0,0,1
19408000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
19408000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
19408000,0.0,0.0,2.0,1.0,0.0,0.0,666.0,183,1,0,0,0,0,1
20427000,-1.0,0.0,2.0,3.0,-0.054707754,-0.049799103,666.0,183,1,0,0,0,0,1
25444000,0.0,0.0,2.0,3.0,0.0,0.0,777.0,183,1,0,0,0,0,1
25459000,0.0,0.0,2.0,6.0,0.0,0.0,666.0,183,1,0,0,0,0,1
45460000,0.0,0.0,2.0,6.0,0.0,0.0,777.0,183,1,0,0,0,0,1
45476000,40.154029846191406,116.25948333740234,0.0,0.0,0.0,0.0,49.874,21,1,0,0,0,0,1
45476000,0.0,0.0,2.0,7.0,0.0,0.0,666.0,183,1,0,0,0,0,1
50491000,0.0,0.0,2.0,7.0,0.0,0.0,777.0,183,1,0,0,0,0,1
