timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
996000,996000,0.9981924,-3.882597e-05,-9.3050785e-06,0.060099464,-0.00041298103,-7.731805e-06,0.0017759725,-3.3339216e-05,3.508314e-06,-0.0057097008,-4.905581e-11,4.4449822e-11,6.9791246e-15,0.0,0.0,2.2932891e-08,0.2770451,-1.0768417e-09,0.47281593,0.0,0.0,0.0,0.0,0.0,5.986103e-06,0.0026786888,0.0026786886,0.001651321,9.595252,9.595252,0.20557196,0.4011167,0.4011167,1.7539098,9.999993e-07,9.999993e-07,9.86923e-07,4.0000004e-06,4.0000004e-06,3.9999904e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
1996000,1996000,0.99819195,-1.634107e-05,-9.0072994e-05,0.060108285,-0.00072795345,-3.1012896e-05,0.00930237,-3.0510128e-05,2.5097099e-05,-0.005249801,-8.830522e-09,8.258616e-08,8.2369875e-12,0.0,0.0,1.0796907e-06,0.2770451,-1.0768417e-09,0.47281593,0.0,0.0,0.0,0.0,0.0,3.9098622e-06,0.00522662,0.005226619,0.001078239,0.82628936,0.8262896,0.24819975,0.1503848,0.1503848,0.556448,9.613059e-07,9.613059e-07,5.7418845e-07,4.0000004e-06,4.0000004e-06,3.9855e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2996000,2996000,0.9981925,-0.000114419716,-3.685582e-06,0.060099494,0.0017798047,0.0002172665,0.01305456,0.0003083516,0.0002396392,-0.003822372,6.422687e-07,-4.9116016e-07,-4.7903972e-11,0.0,0.0,5.6676395e-06,0.2770451,-1.0768417e-09,0.47281593,0.0,0.0,0.0,0.0,0.0,3.3103456e-06,0.003666869,0.0036668647,0.000913171,0.8037147,0.80371505,0.30063802,0.13776164,0.13776164,0.5538567,5.324285e-07,5.324289e-07,1.9309194e-07,4.0000004e-06,4.0000004e-06,3.7773996e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
3996000,3996000,0.9981921,-0.000109610904,0.00013965211,0.060104843,-0.00021092495,-0.0019101374,0.016230866,0.0003865168,-0.00072317786,0.00543442,-1.7895431e-07,-1.3832628e-06,-6.651697e-11,0.0,0.0,1.1554847e-05,0.2770451,-1.0768417e-09,0.47281593,0.0,0.0,0.0,0.0,0.0,2.5602133e-06,0.0025716163,0.0025716152,0.00070610445,0.82005835,0.82005924,0.29440057,0.23012258,0.23012266,0.6365088,2.6832288e-07,2.683234e-07,7.6046405e-08,4.0000004e-06,4.0000004e-06,3.1628608e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
5000000,4996000,0.99818784,-2.8938925e-05,0.00020788578,0.0601751,-0.0056113945,-0.004183406,0.011942081,-0.0011493245,-0.0009245598,0.003247637,-1.1260256e-06,-1.1944178e-06,-1.0357331e-10,0.0,0.0,2.996549e-05,0.2770451,-1.0768417e-09,0.47281593,0.0,0.0,0.0,0.0,0.0,2.0310201e-06,0.0013389966,0.0013389958,0.00055884215,0.53398305,0.5339832,0.2569893,0.18255602,0.18255603,0.6752882,9.99501e-08,9.99501e-08,3.5729972e-08,4.0000004e-06,4.0000004e-06,2.3858877e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
6000000,5996000,0.9981839,0.00014009452,1.0340413e-05,0.060240112,0.00013603077,-0.0020884578,0.01546903,-0.0009434543,-0.001197601,0.007310564,-2.1015662e-06,3.5511357e-07,-2.0619861e-10,0.0,0.0,4.065247e-05,0.2770451,-1.0768417e-09,0.47281593,0.0,0.0,0.0,0.0,0.0,1.6737871e-06,0.0006554009,0.0006553995,0.0004598702,0.35317746,0.35317773,0.20753287,0.15070868,0.15070869,0.6269706,3.4183184e-08,3.418312e-08,1.9480884e-08,4.0000004e-06,4.0000004e-06,1.6733651e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
6999000,6995000,1.0,0.00028736857,-2.650745e-06,-4.8853446e-05,0.0023904196,0.008695534,0.004621789,0.0007553925,0.002188098,0.0035284061,-1.9913575e-06,3.3900722e-07,6.504522e-09,0.0,0.0,5.3588472e-05,0.27556935,-0.034677368,0.4731511,0.0,0.0,0.0,0.0,0.0,1.3814577e-06,0.00034372185,0.00034372136,0.0010870383,0.1619726,0.16197287,0.17336367,0.11919023,0.11919028,0.6013176,1.1772263e-08,1.1772281e-08,1.35382825e-08,4.0000004e-06,4.0000004e-06,1.1650684e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
8000000,7996000,1.0,0.00023478614,3.3124576e-05,-0.00016069878,0.0022551066,0.005194965,0.0003484413,0.0009812431,0.0027397866,-0.0035250424,-1.1230354e-06,-7.7289656e-08,-2.017777e-08,0.0,0.0,6.184445e-05,0.27556935,-0.034677368,0.4731511,0.0,0.0,0.0,0.0,0.0,1.3310287e-06,0.00028624968,0.000286249,0.0003494021,0.16677144,0.16677159,0.14407201,0.093131095,0.09313113,0.57169306,6.2534427e-09,6.2534986e-09,1.33198235e-08,4.0000004e-06,4.0000004e-06,8.0083106e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
8996000,8992000,0.9999998,5.8590696e-05,0.0001437766,-0.000622788,-4.3730095e-05,0.0037507918,-0.0029457286,0.00031680494,0.0018300788,-0.0073635676,-8.7832603e-07,-1.7939263e-07,9.99871e-07,0.0,0.0,6.3986736e-05,0.27556935,-0.034677368,0.4731511,0.0,0.0,0.0,0.0,0.0,1.3240303e-06,0.00010907069,0.000109071654,0.00024418652,0.1449463,0.14494638,0.11889896,0.093956314,0.09395633,0.5384325,5.6443556e-09,5.6444116e-09,1.25065e-08,4.0000004e-06,4.0000004e-06,5.4972804e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
9999000,9995000,0.99999976,8.5103775e-06,8.312505e-05,-0.00076367304,-0.0044305134,-0.00072961644,-0.0059706867,-0.0010032816,0.0006265619,-0.012226551,-8.823516e-07,-1.6919438e-07,1.4027303e-06,0.0,0.0,6.330996e-05,0.27556935,-0.034677368,0.4731511,0.0,0.0,0.0,0.0,0.0,1.3228055e-06,5.223289e-05,5.2234318e-05,0.00022295468,0.07737081,0.077370405,0.098955,0.08154691,0.08154688,0.51600903,5.6374416e-09,5.637498e-09,1.0965888e-08,4.0000004e-06,4.0000004e-06,3.8004436e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
