timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature,device_id
1000000,0,-0.009818266,-0.009818266,14.675775,0
2000000,0,0.008186473,0.008186473,14.675115,0
3000000,0,-0.054101955,-0.054101955,14.674778,0
4003000,0,-0.015641605,-0.015641605,14.67561,0
5000000,0,0.04251546,0.04251546,14.676036,0
6000000,0,0.02293882,0.02293882,14.67519,0
7003000,0,-0.009913944,-0.009913944,14.675453,0
8000000,0,-0.0467228,-0.0467228,14.674763,0
9000000,0,0.027681444,0.027681444,14.674715,0
10004000,0,-0.0494838,-0.0494838,14.674769,0
11004000,0,-0.056855194,-0.056855194,14.674709,0
12003000,0,-0.013471946,-0.013471946,14.67611,0
13003000,0,0.057989795,0.057989795,14.675079,0
14008000,0,-0.022679837,-0.022679837,14.675072,0
14999000,0,-0.04051802,-0.04051802,14.6748085,0
16003000,0,-0.042043846,-0.042043846,14.675258,0
17003000,0,0.01477699,0.01477699,14.675834,0
18003000,0,-0.027010186,-0.027010186,14.675702,0
19000000,0,-0.018161017,-0.018161017,14.674696,0
20008000,0,-0.0068738293,-0.0068738293,14.675215,0
21000000,0,-0.024699172,-0.024699172,14.675779,0
22004000,0,-0.03881593,-0.03881593,14.675097,0
23000000,0,0.059835326,0.059835326,14.673597,0
24003000,0,0.065009825,0.065009825,14.673087,0
25003000,0,-0.008462778,-0.008462778,14.671609,0
26003000,0,-0.038939826,-0.038939826,14.671793,0
27000000,0,-0.019747633,-0.019747633,14.671414,0
28003000,0,0.05095627,0.05095627,14.67051,0
29000000,0,-0.006173334,-0.006173334,14.670491,0
30000000,0,-0.029424887,-0.029424887,14.670929,0
31000000,0,0.044983245,0.044983245,14.670965,0
32000000,0,-0.0006361031,-0.0006361031,14.670231,0
33000000,0,0.005275134,0.005275134,14.670944,0
34000000,0,0.035994574,0.035994574,14.671251,0
35000000,0,0.034774005,0.034774005,14.670668,0
36003000,0,-0.031697284,-0.031697284,14.670433,0
37008000,0,0.03219817,0.03219817,14.671402,0
38003000,0,-0.048262507,-0.048262507,14.670977,0
39003000,0,-0.05064119,-0.05064119,14.671469,0
40000000,0,0.0056645754,0.0056645754,14.670268,0
41000000,0,0.05468208,0.05468208,14.671352,0
42000000,0,0.0020643023,0.0020643023,14.671256,0
43000000,0,-0.04522723,-0.04522723,14.670531,0
44001000,0,-0.0072881724,-0.0072881724,14.6703005,0
45000000,0,0.030023947,0.030023947,14.671598,0
46000000,0,0.25089985,0.25089985,14.671874,0
47003000,0,-0.010742355,-0.010742355,14.676227,0
48000000,0,-0.044490628,-0.044490628,14.676089,0
49001000,0,0.056795113,0.056795113,14.67618,0
50003000,0,-0.030392878,-0.030392878,14.6757,0
51003000,0,0.010096548,0.010096548,14.675464,0
