timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
10498000,10495000,0.10870537,0.10870533,0.23104675,0.2882318,0.2882318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.644583,0.0,0.0,nan,0.0,0.0,0.09089553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10997000,10992000,0.10655951,0.10655935,0.22041437,0.27416778,0.27416778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.556867,0.0,0.0,nan,0.0,0.0,0.09089212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11500000,11493000,0.10845466,0.108454496,0.21653861,0.26924163,0.26924163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.504415,0.0,0.0,nan,0.0,0.0,0.09089975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11999000,11992000,0.10870942,0.108709306,0.21492289,0.267242,0.267242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.470966,0.0,0.0,nan,0.0,0.0,0.090897344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12499000,12495000,0.106894575,0.10689452,0.2142806,0.2663268,0.26632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.447047,0.0,0.0,nan,0.0,0.0,0.09088195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12999000,12995000,0.10506648,0.10506645,0.21399583,0.26562056,0.26562056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.429403,0.0,0.0,nan,0.0,0.0,0.090866625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13504000,13499000,0.103871725,0.1038717,0.21395215,0.26533675,0.26533675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.416359,0.0,0.0,nan,0.0,0.0,0.09084588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13999000,13996000,0.10301967,0.10301964,0.21389268,0.26519224,0.26519224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405936,0.0,0.0,nan,0.0,0.0,0.09082587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14503000,14499000,0.10223071,0.10223069,0.21378955,0.2650963,0.2650963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.398064,0.0,0.0,nan,0.0,0.0,0.090798356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14995000,14992000,0.10182941,0.10182939,0.21344854,0.26455352,0.26455352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.38996,0.0,0.0,nan,0.0,0.0,0.090769224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15496000,15492000,0.10120871,0.10120869,0.21334602,0.26478416,0.26478416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.385762,0.0,0.0,nan,0.0,0.0,0.09074992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15999000,15995000,0.10095951,0.10095949,0.21293975,0.2644995,0.2644995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.381094,0.0,0.0,nan,0.0,0.0,0.09073082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16498000,16491000,0.100363545,0.10036353,0.21131293,0.26376146,0.26376146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.377218,0.0,0.0,nan,0.0,0.0,0.09071989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17003000,16995000,0.10012722,0.1001272,0.20992458,0.26395375,0.26395375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.373794,0.0,0.0,nan,0.0,0.0,0.090701655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17500000,17492000,0.099782094,0.09978208,0.20965111,0.26516333,0.26516333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.373795,0.0,0.0,nan,0.0,0.0,0.090687424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17998000,17991000,0.09935974,0.099359736,0.20984009,0.26606977,0.26606977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.373947,0.0,0.0,nan,0.0,0.0,0.09067325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18499000,18487000,0.09875927,0.09875926,0.21009398,0.2658444,0.2658444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.372869,0.0,0.0,nan,0.0,0.0,0.0906489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18996000,18988000,0.0986206,0.098620586,0.21044251,0.26565006,0.2656501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.371356,0.0,0.0,nan,0.0,0.0,0.0906242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19503000,19495000,0.09837621,0.098376185,0.21093497,0.26584917,0.26584917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.370875,0.0,0.0,nan,0.0,0.0,0.09060514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19999000,19990000,0.09806505,0.09806503,0.21113704,0.26538506,0.26538506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.369309,0.0,0.0,nan,0.0,0.0,0.0905819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
