timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
11016000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
18696000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
45480000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
48808000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48862000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48916000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
48965000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49006000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49012000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49072000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49112000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49163000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49220000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49272000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49312000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49362000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49420000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49464000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49512000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49568000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49620000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49671000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49720000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49763000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49820000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49866000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49912000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
49968000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50016000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50068000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50116000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50172000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50225000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50263000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50319000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50372000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50422000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50467000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50502000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50557000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50612000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50652000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50707000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
50752000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
