timestamp,main_state_changes,main_state
43000,0,0
553000,0,0
1068000,0,0
1520000,0,0
2025000,0,0
2531000,0,0
3035000,0,0
3544000,0,0
4051000,0,0
4225000,0,0
4731000,0,0
5237000,0,0
5744000,0,0
6248000,0,0
6750000,0,0
7250000,0,0
7752000,0,0
8259000,0,0
8772000,0,0
9272000,0,0
9776000,0,0
10279000,0,0
10779000,0,0
11016000,1,4
11516000,1,4
12025000,1,4
12532000,1,4
13045000,1,4
13548000,1,4
14056000,1,4
14565000,1,4
15078000,1,4
15584000,1,4
16088000,1,4
16595000,1,4
17105000,1,4
17611000,1,4
17968000,1,4
18471000,1,4
18484000,1,4
18696000,1,4
18796000,2,7
18912000,2,7
19420000,2,7
19923000,2,7
20427000,2,7
20441000,2,7
20452000,2,7
20956000,2,7
21456000,2,7
21963000,2,7
22476000,2,7
22984000,2,7
23492000,2,7
24003000,2,7
24504000,2,7
25016000,2,7
25450000,2,7
25463000,2,7
25492000,2,7
25996000,2,7
26504000,2,7
27008000,2,7
27508000,2,7
28020000,2,7
28528000,2,7
29032000,2,7
29532000,2,7
30039000,2,7
30552000,2,7
31056000,2,7
31556000,2,7
32060000,2,7
32560000,2,7
33064000,2,7
33567000,2,7
34070000,2,7
34576000,2,7
35085000,2,7
35592000,2,7
36092000,2,7
36599000,2,7
37108000,2,7
37619000,2,7
38123000,2,7
38632000,2,7
39140000,2,7
39646000,2,7
40152000,2,7
40655000,2,7
41156000,2,7
41656000,2,7
42165000,2,7
42672000,2,7
43172000,2,7
43682000,2,7
44188000,2,7
44692000,2,7
45196000,2,7
45468000,2,7
45480000,3,11
45983000,3,11
46487000,3,11
46987000,3,11
47490000,3,11
48000000,3,11
48505000,3,11
49012000,3,11
49512000,3,11
50016000,3,11
50502000,3,11
50794000,3,11
51296000,3,11
