timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
3684000,3684000,2.5805684e-11,6.70314e-06,0.016512014,0.000111996116,0.0014164394,0.0012327239,512,0,0.59191376,0.78470325,0.0,nan,nan,0.0007898532,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3896000,3896000,2.5258785e-11,6.516329e-06,0.014630564,0.000121961166,0.0013277841,0.0010092121,512,0,0.5947415,0.7991873,0.0,nan,nan,0.00043216906,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4092000,4092000,2.593087e-11,6.4322776e-06,0.015885588,9.0271984e-05,0.0012452499,0.0009906226,512,0,0.5728385,0.7982937,0.0,nan,nan,0.0007759692,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4276000,4272000,2.3951185e-11,5.993018e-06,0.01456453,5.9446105e-05,0.0015330323,0.0020456526,512,0,0.55103344,0.79597276,0.0,nan,nan,0.0010810953,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4488000,4484000,2.6486723e-11,6.2042523e-06,0.015761038,5.028002e-05,0.002599677,0.0046303226,512,0,0.5511617,0.8002051,0.0,nan,nan,0.0017081423,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4692000,4688000,2.7235164e-11,6.245364e-06,0.012189649,6.146316e-05,0.0011195097,0.001678184,512,0,0.539976,0.79885626,0.0,nan,nan,0.00010484102,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
4892000,4885000,2.5690882e-11,6.18512e-06,0.01005688,9.8002485e-05,0.0013035705,0.0013264582,512,0,0.5279782,0.81745976,0.0,nan,nan,0.000386206,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5088000,5084000,2.579982e-11,6.2435743e-06,0.009874185,0.00013018149,0.0022583068,0.0031913535,512,0,0.5194444,0.8129416,0.0,nan,nan,0.0008148593,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5291000,5287000,2.6535269e-11,6.3788175e-06,0.009588906,0.00014679942,0.0021744028,0.002273994,512,0,0.5128926,0.80786735,0.0,nan,nan,0.0008766601,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
5488000,5483000,2.9737067e-11,6.773716e-06,0.010680492,0.00015507347,0.0022345253,0.0019169655,512,0,0.50413895,0.80240655,0.0,nan,nan,0.0003565544,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
