timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
419000,-40,32767,32767,-40,0,32767
423000,-40,32767,32767,32767,32767,32767
432000,-90,32767,32767,32767,32767,32767
436000,-40,32767,32767,32767,32767,32767
440000,-40,32767,32767,32767,32767,32767
445000,-50,32767,32767,32767,-50,32767
452000,-70,32767,32767,32767,32767,32767
456000,-40,32767,32767,32767,32767,32767
460000,-40,32767,32767,32767,32767,32767
464000,-40,32767,32767,32767,-40,32767
468000,-40,32767,32767,32767,32767,32767
472000,-40,32767,32767,-40,32767,32767
476000,-40,32767,32767,32767,32767,32767
480000,-40,32767,32767,32767,32767,32767
484000,-40,32767,32767,32767,-40,32767
488000,-40,32767,32767,32767,32767,32767
492000,-40,32767,32767,32767,32767,32767
496000,-40,32767,32767,32767,32767,32767
500000,-40,32767,32767,32767,32767,32767
504000,-40,32767,32767,32767,-40,32767
508000,-40,32767,32767,32767,32767,32767
511000,-30,32767,32767,32767,32767,32767
516000,-50,32767,32767,32767,32767,32767
520000,-40,32767,32767,32767,32767,32767
523000,-30,32767,32767,-30,-30,32767
527000,-40,32767,32767,32767,32767,32767
531000,-40,32767,32767,32767,32767,32767
535000,-40,32767,32767,32767,32767,32767
539000,-40,32767,32767,32767,32767,32767
543000,-40,32767,32767,32767,0,32767
548000,-50,32767,32767,32767,32767,32767
553000,-50,32767,32767,32767,32767,32767
560000,-70,32767,32767,32767,32767,32767
564000,-40,32767,32767,32767,0,32767
568000,-40,32767,32767,32767,32767,32767
572000,-40,32767,32767,32767,32767,32767
576000,-40,32767,32767,-40,32767,32767
580000,-40,32767,32767,32767,32767,32767
584000,-40,32767,32767,32767,32767,32767
591000,-70,32767,32767,32767,-70,32767
596000,-50,32767,32767,32767,32767,32767
600000,-40,32767,32767,32767,32767,32767
604000,-40,32767,32767,32767,32767,32767
610000,-60,32767,32767,32767,-60,32767
615000,-50,32767,32767,32767,32767,32767
619000,-40,32767,32767,32767,32767,32767
623000,-40,32767,32767,0,32767,32767
631000,-80,32767,32767,32767,32767,32767
636000,-50,32767,32767,32767,-50,32767
640000,-40,32767,32767,32767,32767,32767
645000,-50,32767,32767,32767,32767,32767
652000,-70,32767,32767,32767,0,32767
656000,-40,32767,32767,32767,32767,32767
660000,-40,32767,32767,32767,32767,32767
664000,-40,32767,32767,32767,32767,32767
