timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
500000,500000,1310988,1310988,-3.195794e-06,-1.0652655e-06,3.1957934e-06,9.576808e-06,1.4365894e-05,-0.03911647,4000,4000,0,0
1000000,1000000,1310988,1310988,2.130529e-06,1.0652652e-06,2.1305293e-06,-5.2672436e-05,-1.4364525e-05,-0.039308008,4000,4000,0,0
1500000,1500000,1310988,1310988,2.3641427e-13,-1.3315803e-06,2.663161e-06,4.189853e-05,2.3942872e-05,-0.048973396,5000,5000,0,0
2000000,2000000,1310988,1310988,4.2610586e-06,1.0652639e-06,1.065265e-06,4.7884034e-05,6.224993e-05,-0.039279275,4000,4000,0,0
2501000,2501000,1310988,1310988,-1.3315805e-06,1.3315805e-06,-1.3315805e-06,-5.9855042e-06,4.1899377e-05,-0.048680104,5000,5000,0,0
3000000,3000000,1310988,1310988,-1.8913143e-13,1.0652647e-06,1.0652647e-06,-2.3942017e-05,3.3519515e-05,-0.03921224,4000,4000,0,0
3500000,3500000,1310988,1310988,-1.3315811e-06,1.3315803e-06,1.3315799e-06,-1.19710085e-05,-1.795565e-05,-0.049362455,5000,5000,0,0
4003000,4003000,1310988,1310988,1.8642128e-06,9.278666e-13,3.7284256e-06,5.027823e-05,1.198547e-09,-0.06867169,7000,7000,0,0
4500000,4496000,1310988,1310988,-2.1305293e-06,-2.4490856e-13,3.1957939e-06,-9.576808e-06,9.577488e-06,-0.038977604,4000,4000,0,0
5000000,4996000,1310988,1310988,-4.2610586e-06,-2.1305289e-06,2.1305293e-06,-0.00015322893,1.362915e-09,-0.07808928,8000,8000,0,0
5500000,5496000,1310988,1310988,-2.1305298e-06,1.0652644e-06,-2.1305289e-06,7.6614466e-05,-1.43645275e-05,-0.039154775,4000,4000,0,0
6000000,5996000,1310988,1310988,0.0,-2.1305286e-06,2.13053e-06,6.703766e-05,5.746153e-05,-0.0392697,4000,4000,0,0
6500000,6496000,1310988,1310988,-4.261058e-06,-3.195794e-06,-1.0652656e-06,0.00013407532,-9.576126e-06,-0.03907816,4000,4000,0,0
7003000,6999000,1310988,1310988,-1.0652645e-06,1.0652647e-06,1.0652648e-06,9.097968e-05,1.91543e-05,-0.03914042,4000,4000,0,0
7503000,7499000,1310988,1310988,4.261058e-06,4.261059e-06,7.4369506e-14,-9.097968e-05,1.4365898e-05,-0.039375048,4000,4000,0,0
8000000,7996000,1310988,1310988,2.6631606e-06,1.3315808e-06,1.3315808e-06,-2.992752e-05,1.795737e-05,-0.049158946,5000,5000,0,0
8503000,8498000,1310988,1310988,-5.3263227e-07,1.0652648e-06,5.3263227e-07,1.9153616e-05,-2.393861e-06,-0.01953908,2000,2000,0,0
9000000,8996000,1310988,1310988,-1.0652655e-06,3.1957936e-06,-3.2248574e-13,-5.267244e-05,2.3942703e-05,-0.039293647,4000,4000,0,0
9503000,9498000,1310988,1310988,-5.326323e-07,5.326323e-07,-4.9807384e-14,-2.3942017e-05,-9.576465e-06,-0.019656397,2000,2000,0,0
10004000,9999000,1310988,1310988,1.0652644e-06,-5.116172e-13,-3.1957939e-06,-3.351883e-05,-9.097899e-05,-0.039331954,4000,4000,0,0
10503000,10498000,1310988,1310988,-8.865535e-14,-7.989485e-07,7.9894824e-07,-4.309563e-05,-0.00010414726,-0.029427132,3000,3000,0,0
11004000,10997000,1310988,1310988,-1.3315805e-06,-3.9947417e-06,-7.789642e-13,-0.000101753554,7.78124e-05,-0.049063176,5000,5000,0,0
11500000,11493000,1310988,1310988,5.3263216e-06,2.663159e-06,-5.3263234e-06,-7.182605e-05,3.5914734e-05,-0.09787496,10000,10000,0,0
12003000,11999000,1310988,1310988,1.8642131e-06,1.8642125e-06,-2.5707073e-13,0.0,5.0279432e-05,-0.06876387,7000,7000,0,0
12503000,12499000,1310988,1310988,2.1305286e-06,1.065265e-06,-3.1957943e-06,-3.351883e-05,-0.00011970942,-0.03907816,4000,4000,0,0
13003000,12999000,1310988,1310988,1.0652647e-06,-3.7826285e-13,3.7826285e-13,-2.3942017e-05,-5.2671756e-05,-0.03936547,4000,4000,0,0
13504000,13499000,1310988,1310988,-2.1305293e-06,-1.0652647e-06,-1.8592375e-14,-0.000114921684,-6.703698e-05,-0.0393511,4000,4000,0,0
14008000,13999000,1310988,1310988,1.5978974e-06,-1.5978965e-06,-1.5978965e-06,-6.464344e-05,2.154833e-05,-0.029531281,3000,3000,0,0
14503000,14499000,1310988,1310988,5.673943e-13,3.1957936e-06,-3.195794e-06,-6.2249244e-05,5.7461533e-05,-0.039494753,4000,4000,0,0
15003000,14999000,1310988,1310988,1.0652644e-06,-2.1305295e-06,1.0652644e-06,9.097968e-05,5.2673124e-05,-0.039059013,4000,4000,0,0
15500000,15496000,1310988,1310988,1.8913143e-13,1.065265e-06,-2.130529e-06,-3.351883e-05,7.182675e-05,-0.03919787,4000,4000,0,0
16003000,15999000,1310988,1310988,-9.456571e-14,1.0652647e-06,-1.0652647e-06,5.267244e-05,0.00010534556,-0.039207447,4000,4000,0,0
16503000,16495000,1310988,1310988,-1.8913143e-13,-1.0652639e-06,-2.1305298e-06,6.7037654e-05,-1.4364527e-05,-0.03920266,4000,4000,0,0
17003000,16995000,1310988,1310988,-3.3097998e-13,-3.7284256e-06,9.278666e-13,-2.5139117e-05,1.676062e-05,-0.069199614,7000,7000,0,0
17500000,17492000,1310988,1310988,-4.793689e-06,-4.793689e-06,7.6742557e-13,2.1547814e-05,-0.00023702442,-0.08804436,9000,9000,0,0
18003000,17995000,1310988,1310988,1.0652647e-06,3.3009662e-21,-1.8913143e-13,5.267244e-05,4.7890844e-06,-0.03898239,4000,4000,0,0
18503000,18494000,1310988,1310988,2.4823497e-13,-1.8642128e-06,9.1580836e-14,-0.0001508347,5.0279432e-05,-0.068571135,7000,7000,0,0
19000000,18992000,1310988,1310988,3.195794e-06,-2.077238e-13,1.0652639e-06,2.8730421e-05,6.7038345e-05,-0.039149992,4000,4000,0,0
19503000,19495000,1310988,1310988,-2.3968453e-06,-7.9894835e-07,-1.3806178e-13,1.7956514e-05,5.119707e-10,-0.02933376,3000,3000,0,0
20008000,19995000,1310988,1310988,-1.3315805e-06,2.663161e-06,-1.3315805e-06,8.379705e-05,2.9928375e-05,-0.04896741,5000,5000,0,0
20500000,20491000,1310988,1310988,3.1957948e-06,4.7936896e-06,1.5978961e-06,-1.4365211e-05,7.182708e-05,-0.059019476,6000,6000,0,0
21000000,21000000,1310988,1310988,-1.1820713e-13,-1.3315805e-06,-2.3240465e-14,5.9855042e-06,4.189938e-05,-0.04887164,5000,5000,0,0
21500000,21500000,1310988,1310988,-3.1957939e-06,-6.391588e-06,2.1305282e-06,9.576808e-06,-9.576126e-06,-0.039073378,4000,4000,0,0
22004000,22004000,1310988,1310988,4.793693e-06,-4.554005e-05,2.396841e-06,-0.00035553888,-0.000107737535,-0.08782889,9000,9000,0,0
22504000,22504000,1310988,1310988,-9.321075e-06,8.655275e-05,2.3968409e-05,9.576807e-05,9.34873e-10,-0.053564277,5000,5000,0,0
23000000,23000000,1310988,1310988,3.9414786e-05,1.3848434e-05,6.3915913e-06,-4.788404e-06,6.7038345e-05,-0.039394196,4000,4000,0,0
23500000,23500000,1310988,1310988,5.3263225e-06,-1.0652657e-06,-3.195793e-06,-5.7460842e-05,-5.7460165e-05,-0.038944084,4000,4000,0,0
24003000,24003000,1310988,1310988,-5.3263225e-06,-9.58738e-06,1.0652645e-06,1.9153616e-05,6.7794753e-10,-0.038843535,4000,4000,0,0
24500000,24500000,1310988,1310988,-2.556634e-05,5.3263237e-05,1.0652617e-05,-6.7037654e-05,-2.8729066e-05,-0.07772536,8000,8000,0,0
25003000,25003000,1310988,1310988,-1.49137e-05,-2.9827406e-05,-4.4923488e-12,3.3518823e-05,-0.000108934975,-0.06820243,7000,7000,0,0
25504000,25504000,1310988,1310988,3.4621098e-05,-1.1984219e-05,3.061334e-11,-0.00011372458,-5.386875e-05,-0.045178585,5000,5000,0,0
26003000,26003000,1310988,1310988,-7.9894835e-06,-3.7284255e-05,-3.960532e-12,-1.7956512e-05,1.7957404e-05,-0.051008467,5000,5000,0,0
26504000,26504000,1310988,1310988,-3.1158983e-05,-1.4381067e-05,7.4088236e-12,-0.00022625207,-1.07723545e-05,-0.08899246,9000,9000,0,0
27000000,27000000,1310988,1310988,1.3315785e-06,9.321064e-06,-1.3315803e-06,-0.00011372458,3.591388e-05,-0.04895544,5000,5000,0,0
27500000,27500000,1310988,1310988,-2.8762139e-05,3.3023207e-05,-1.0652498e-06,9.576808e-06,-1.4364526e-05,-0.039264914,4000,4000,0,0
28003000,28003000,1310988,1310988,-1.7021827e-12,-1.3848439e-05,5.326321e-06,3.8307233e-05,9.576876e-05,-0.03921224,4000,4000,0,0
28500000,28500000,1310988,1310988,2.1305293e-06,9.902899e-21,-5.6739433e-13,2.8730421e-05,6.224992e-05,-0.038910575,4000,4000,0,0
29000000,29000000,1310988,1310988,-1.0652639e-06,9.58738e-06,-1.629417e-12,-3.351883e-05,6.7038345e-05,-0.039135627,4000,4000,0,0
