timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
985000,985000,197388,0.27154565,-0.030752514,0.47488227,14.676121,0,0
1988000,1988000,197388,0.2729103,-0.03597303,0.47351384,14.675471,0,0
2983000,2983000,197388,0.27724457,-0.033292875,0.47341582,14.676116,0,0
3985000,3985000,197388,0.27179623,-0.035824105,0.4750535,14.67524,0,0
4984000,4984000,197388,0.2788434,-0.030698188,0.4750915,14.675341,0,0
5987000,5987000,197388,0.27830145,-0.03393763,0.47082123,14.6757965,0,0
6991000,6991000,197388,0.2753752,-0.03762849,0.47279513,14.675778,0,0
7987000,7987000,197388,0.2787524,-0.031523224,0.47721177,14.67529,0,0
8988000,8988000,197388,0.2766001,-0.03097689,0.47027832,14.675343,0,0
9991000,9991000,197388,0.27532488,-0.034879483,0.47011334,14.676199,0,0
10988000,10988000,197388,0.27151546,-0.030240847,0.4732455,14.675462,0,0
11985000,11985000,197388,0.2739099,-0.031217014,0.47346494,14.675314,0,0
12987000,12987000,197388,0.2757625,-0.03056834,0.47704428,14.675124,0,0
13992000,13992000,197388,0.2750959,-0.030782405,0.47339302,14.67571,0,0
14987000,14987000,197388,0.27226865,-0.03660168,0.4736487,14.676001,0,0
15991000,15991000,197388,0.2718515,-0.0321733,0.47354612,14.676108,0,0
16988000,16988000,197388,0.2782553,-0.03203117,0.47677562,14.675104,0,0
17991000,17991000,197388,0.27253792,-0.035415318,0.47557056,14.675658,0,0
18988000,18988000,197388,0.2786588,-0.037525333,0.47443315,14.675089,0,0
19990000,19990000,197388,0.2777445,-0.033875916,0.47685573,14.675454,0,0
20983000,20983000,197388,0.27176932,-0.035321295,0.4748392,14.67481,0,0
21987000,21987000,197388,0.27500552,-0.03231362,0.47134623,14.674983,0,0
22984000,22984000,197388,0.2734501,-0.038959943,0.47343633,14.673626,0,0
23990000,23990000,197388,0.27665174,-0.03487709,0.47253826,14.672919,0,0
24988000,24988000,197388,0.27695927,-0.03782289,0.4753255,14.6715975,0,0
25991000,25991000,197388,0.2786311,-0.03749453,0.47297975,14.671404,0,0
26983000,26983000,197388,0.2745816,-0.03807454,0.4718813,14.671395,0,0
27991000,27991000,197388,0.27077824,-0.035311222,0.47717905,14.671305,0,0
28985000,28985000,197388,0.27247354,-0.033812203,0.47341436,14.671158,0,0
29980000,29980000,197388,0.27401257,-0.03244462,0.47041386,14.671541,0,0
30983000,30983000,197388,0.27619722,-0.03500717,0.47305813,14.670651,0,0
31988000,31988000,197388,0.2758912,-0.038783424,0.47341937,14.671051,0,0
32988000,32988000,197388,0.2768656,-0.031131722,0.4714611,14.670965,0,0
33985000,33985000,197388,0.27317593,-0.036488578,0.4755676,14.670281,0,0
34988000,34988000,197388,0.2760469,-0.03986782,0.4703088,14.670469,0,0
35992000,35992000,197388,0.2764828,-0.03376764,0.4721086,14.670282,0,0
36991000,36991000,197388,0.2730207,-0.035780095,0.47356963,14.671106,0,0
37982000,37982000,197388,0.27540043,-0.037661795,0.4761628,14.671154,0,0
38991000,38991000,197388,0.27134678,-0.032731075,0.4751279,14.67146,0,0
39985000,39985000,197388,0.2721343,-0.039693877,0.47521824,14.671578,0,0
40985000,40985000,197388,0.277429,-0.038894795,0.4760353,14.67034,0,0
41985000,41985000,197388,0.27862763,-0.03578195,0.47340763,14.670423,0,0
42981000,42981000,197388,0.27698395,-0.033213515,0.4710654,14.67122,0,0
43986000,43986000,197388,0.27820858,-0.036205377,0.473067,14.671763,0,0
44984000,44984000,197388,0.27797353,-0.034254886,0.46967253,14.671479,0,0
45987000,45987000,197388,0.2682012,-0.067459434,0.47481513,14.67199,0,0
46991000,46991000,197388,0.27722076,-0.028379204,0.4706395,14.675858,0,0
47979000,47979000,197388,0.2776477,-0.033279654,0.4756722,14.674859,0,0
48984000,48984000,197388,0.2780012,-0.035029992,0.4748105,14.675882,0,0
49983000,49983000,197388,0.2790942,-0.03419497,0.4726856,14.676137,0,0
50985000,50985000,197388,0.2790087,-0.027950102,0.4742079,14.675325,0,0
