timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
740000,740000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996000,996000,0.0,0.0,0.0,2.7771406e-05,8.3063554e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018733978,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500000,1500000,0.0,0.0,0.0,-0.00036702372,0.00020893004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032001495,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996000,1996000,0.0,0.0,0.0,7.638834e-05,0.0008555135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036247253,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2501000,2501000,0.0,0.0,0.0,0.00013878242,0.0011786012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037879944,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2996000,2996000,0.0,0.0,0.0,0.00047665532,0.0011800344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031150818,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3495000,3495000,0.0,0.0,0.0,0.0005870773,-0.00051333156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027610779,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3996000,3996000,0.0,0.0,0.0,0.00060696347,-0.0013416987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011299133,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4496000,4492000,0.0,0.0,0.0,2.4221283e-05,-0.00126759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03081894,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4996000,4988000,0.0,0.0,0.0,-0.0011320334,-0.0016726974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016021729,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5496000,5492000,0.0,0.0,0.0,-0.0018586168,-0.0020503392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0062828064,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000000,5996000,0.0,0.0,0.0,-0.0014468716,-0.0021286935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040603638,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6492000,6488000,0.0,0.0,0.0,-0.00021791366,-0.0008189127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033638,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6999000,6995000,0.0,0.0,0.0,0.00085250847,0.0021895277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031597137,0.0,0.0,nan,0.0,0.0,0.00019905038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7503000,7499000,0.0,0.0,0.0,0.0011766878,0.003236903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008575439,0.0,0.0,nan,0.0,0.0,-0.0043326295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7996000,7991000,0.0,0.0,0.0,0.0011244486,0.003197597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0438385,0.0,0.0,nan,0.0,0.0,-0.002263937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8496000,8491000,0.0,0.0,0.0,0.0009846127,0.0026765973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016899109,0.0,0.0,nan,0.0,0.0,0.008426333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8996000,8992000,0.0,0.0,0.0,0.0005463663,0.0022537927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03881073,0.0,0.0,nan,0.0,0.0,-0.004607715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
