timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
21232000,21232000,2.6779451,3.5801747,-2.5132742,-1.2566371,0.0,1.2566371,2.5132742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
21245000,21245000,-2.782822,3.6257155,-2.5132725,-1.2566353,1.7608013e-06,1.2566389,2.513276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
22232000,22232000,1.1859775,3.5579972,-2.513144,-1.2564784,0.00016580166,1.2567786,2.513394,0.0002698391,-0.00017635652,-0.002382504,-0.0032997432,-0.0016605784,-0.0007803134,0.0013944268,0.0016420496,-0.00037953784,-0.0018766402,0.19998945,0.19999057,0.20000468,0.2000123,0.20000297
23232000,23232000,-1.1737356,3.5573227,-2.509692,-1.2533244,0.0030103263,1.2597302,2.516721,-0.0037038806,-0.0072329454,-0.006048451,-0.0017855875,-0.00033582374,0.0016510179,-0.00074247306,-0.0048386273,-0.0049785087,-0.0009663112,0.20003542,0.20015246,0.20005873,0.19988391,0.19986953
24232000,24232000,-0.15445144,3.5708237,-2.510355,-1.2535532,0.0021454452,1.2580374,2.515153,0.011025282,0.0018859602,-0.007070506,-0.0034820614,0.0077034254,-0.011080293,-0.0046264487,-0.011318212,-0.021905612,-0.021768074,0.19967838,0.20020615,0.20044915,0.20007123,0.19959515
25232000,25232000,-0.3336648,3.6496139,-2.5089293,-1.2523504,0.0018263699,1.2569983,2.5151923,0.0094696935,-0.0009830855,-0.0036275517,0.005171155,0.013289761,0.010952333,0.010327543,0.00021229911,-0.0054489486,0.0011837473,0.19936687,0.20067205,0.20104884,0.19997467,0.1989376
26231000,26231000,-0.089290485,3.5398903,-2.5091581,-1.2517596,0.0019002211,1.2559302,2.5139353,-0.0077438103,0.00027221482,0.0002472435,-0.007761823,-0.012726861,-0.009069976,-0.00642966,0.0019888456,0.0045888643,-0.0022397991,0.19887331,0.20058991,0.20149375,0.20032953,0.19871342
27232000,27232000,-0.14995684,3.5451517,-2.5083683,-1.2509395,0.0013078697,1.2544295,2.513286,-0.009412499,-0.002232226,-0.0012003267,-0.007711015,-0.012818389,-0.005529769,-0.004272378,0.0029178923,0.0061482997,0.00093777804,0.19847985,0.20095895,0.20211726,0.20034225,0.19810164
28230000,28230000,-0.09120171,3.530415,-2.5085278,-1.2507983,0.0015261692,1.2543957,2.5130177,-0.004303849,-0.00760536,-0.0070104473,-0.003351558,-0.0016610064,0.005576978,0.0038700495,0.00021529521,-0.0003633488,0.0029493803,0.19837049,0.20085727,0.20216464,0.20047282,0.19813484
29232000,29232000,-0.077034384,3.5217996,-2.5081546,-1.2501287,0.0013941029,1.2534688,2.5123992,0.00111171,-0.0095581,-0.006872018,0.005424714,0.010427887,0.019499864,0.013171885,0.0011156695,-0.00011365302,0.011248984,0.19802578,0.20099111,0.2025946,0.20060135,0.1977872
30232000,30232000,-0.005120422,3.5123343,-2.5083976,-1.2498074,0.0015529767,1.2529652,2.511644,0.0059649874,-0.0019412369,-0.0071203564,-0.0024958777,0.005619602,-0.0021375064,0.0007555996,-0.005828403,-0.012812626,-0.010575092,0.19773811,0.20088166,0.20281735,0.2008464,0.1977165
31230000,31230000,0.082142964,3.513711,-2.5084324,-1.2490082,0.0020989717,1.2525245,2.510839,0.012796803,0.01427318,0.0025945967,-0.006159153,8.28132e-05,-0.014952412,-0.0021170978,0.0032398114,-0.006158352,-0.017460836,0.1973095,0.20072322,0.20315227,0.20120867,0.19760633
32232000,32232000,0.072474614,3.4902391,-2.5067017,-1.246014,0.0023145615,1.2497536,2.508981,0.0036090375,0.010408876,0.008453002,0.0005003093,-0.002574766,-0.018770449,-0.014468816,-0.0067333095,-0.0061343675,-0.013563125,0.19600748,0.20112035,0.20471792,0.20175855,0.19639573
33232000,33232000,0.015198903,3.4808643,-2.5059228,-1.2455792,0.0017633317,1.2489251,2.50897,-0.0047741425,0.0022676042,0.0073701977,0.0036163998,-0.0039297715,-0.00057648064,-0.0036854802,0.0019854547,0.008625197,0.0071165496,0.195886,0.20147732,0.2050624,0.20160855,0.1959658
