timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
740000,740000,0,nan,nan,4.2937984e-07,-9.818436e-07,-1.517632e-07,0.0,0.0,0.0,0.00010849819,-0.00026800708,-4.3406886e-05,-4.476152e-05,0.00012812616,-0.00026895892,0.0,-0.0037685311,-0.0025742094,-0.0075474377,0.123398066,0.12340332,nan,0.1,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
996000,996000,0,nan,nan,-7.044722e-05,0.0001728572,0.0044651204,0.0,0.0,0.0,-0.0012238972,0.0008329064,0.0025792457,0.0065138023,0.00012812616,-0.00026895892,0.0,-0.0033272326,0.002276641,-0.015158205,0.12333442,0.12340332,nan,0.1,0.75678355,1.4298649,4.375681,0.45253122,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1500000,1500000,0,nan,nan,-0.00071494613,0.00065701944,0.005595735,0.0,0.0,0.0,-0.0004934609,0.003266105,0.009455574,0.010271971,0.00012812616,-0.00026895892,0.0,0.0072637214,0.011691368,-0.023305416,0.12329528,0.12340332,nan,0.1,0.7603308,0.9180869,1.8488681,0.46818826,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1996000,1996000,0,nan,nan,-0.00013026055,0.001564688,0.0060937144,0.0,0.0,0.0,-0.0003273991,0.0040999227,0.009391764,0.0065094526,0.00012812616,-0.00026895892,0.0,0.021498477,0.022900632,-0.02972409,0.123376906,0.12340332,nan,0.1,0.52765507,0.75319475,1.2511677,0.49517146,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2501000,2501000,0,nan,nan,0.00039750047,0.0022072867,0.0048861033,0.0,0.0,0.0,0.0014818548,0.005415208,0.0115956655,0.00488134,0.00012812616,-0.00026895892,0.0,0.001735963,-0.0011231357,0.05627498,0.12339787,0.12340332,nan,0.1,0.6248087,0.7155095,1.494205,0.52489555,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2996000,2996000,0,nan,nan,0.0013295693,0.0017010318,0.0049425396,0.0,0.0,0.0,0.0029839978,0.00089314266,0.012553539,0.0045789257,0.00012812616,-0.00026895892,0.0,-0.003710629,0.0074767764,0.004358589,0.12335342,0.12340332,nan,0.1,0.75326455,0.7410461,1.6468616,0.54726785,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3495000,3495000,0,nan,nan,0.0015052002,-0.001213898,0.011424169,0.0,0.0,0.0,0.0036089707,-0.005194075,0.016562767,0.010876193,0.00012812616,-0.00026895892,0.0,-0.0069069224,-0.0090977475,-0.06847455,0.123360224,0.12340332,nan,0.1,0.56875664,0.7629055,1.2266456,0.5486806,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3996000,3996000,0,nan,nan,0.0007461825,-0.0028066507,0.015847236,0.0,0.0,0.0,0.00063638086,-0.0044109654,0.017926207,0.011598034,0.00012812616,-0.00026895892,0.0,0.0024087182,-0.008128304,-0.010574236,0.12337243,0.12340332,nan,0.1,0.6453122,0.79836744,1.2519221,0.54460865,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4496000,4492000,0,nan,nan,-0.0002973972,-0.0028979918,0.017707812,0.0,0.0,0.0,-0.0027746025,-0.0058692987,0.017437894,0.008019093,0.00012812616,-0.00026895892,0.0,-0.0062668975,0.0022447987,0.04259217,0.12343277,0.12340332,nan,0.1,0.51396567,0.80331874,1.0004591,0.52388096,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4996000,4988000,0,nan,nan,-0.0025613997,-0.0032954034,0.01576825,0.0,0.0,0.0,-0.006872233,-0.007191095,0.014015716,0.0015276365,0.00012812616,-0.00026895892,0.0,-0.031870935,-0.012550256,0.046636906,0.123509206,0.12340332,nan,0.1,0.5693243,0.81896746,1.0007538,0.50794244,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
5496000,5492000,0,nan,nan,-0.0036430773,-0.0034771457,0.015828224,0.0,0.0,0.0,-0.0058070794,-0.006750744,0.018089177,0.0050902935,0.00012812616,-0.00026895892,0.0,0.020644413,-0.0054786494,0.018185003,0.12365612,0.12340332,nan,0.1,0.6231637,0.80600184,0.99693286,0.4817831,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
6000000,5996000,5596000,40.1540307,116.25948609999999,-0.0021613555,-0.0027966828,0.01810682,0.0,0.0,0.0,-0.0009179316,-0.002546824,0.014229347,0.0024551058,0.00012812616,-0.00026895892,0.0,0.0127284555,0.03227097,-0.017721204,0.12366257,0.12340332,49.85328,0.1,0.5140609,0.7936346,0.8092859,0.45774952,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
