timestamp,speed_xy,speed_up,speed_down,want_takeoff
11707000,3.0,3.0,1.0,0
11730000,3.0,3.0,1.0,0
12708000,3.0,3.0,1.0,0
13712000,3.0,3.0,1.0,0
14712000,3.0,3.0,1.0,0
15712000,3.0,3.0,1.0,0
16692000,3.0,3.0,1.0,0
17692000,3.0,3.0,1.0,0
18712000,3.0,3.0,1.0,0
18773000,3.0,3.0,1.0,0
45492000,3.0,3.0,1.0,0
45516000,3.0,3.0,1.0,0
46496000,3.0,3.0,1.0,0
47477000,3.0,3.0,1.0,0
48492000,3.0,3.0,1.0,0
49495000,3.0,3.0,1.0,0
50475000,3.0,3.0,1.0,0
51495000,3.0,3.0,1.0,0
