timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
500000,500000,1311004,1311004,-6.297516e-06,-2.2369038e-06,2.863539e-06,2.5771078e-05,-3.0794333e-06,-0.03915478,4000,4000,0,0
1000000,1000000,1311004,1311004,2.8546574e-06,3.361131e-06,3.7913583e-07,-0.00010682062,-3.261263e-05,-0.039349075,4000,4000,0,0
1500000,1500000,1311004,1311004,2.1389399e-06,-3.0067864e-07,1.7251685e-06,3.330579e-05,3.0040404e-05,-0.04914975,5000,5000,0,0
2000000,2000000,1311004,1311004,5.977788e-06,4.5677284e-06,1.3926161e-06,1.8039991e-05,6.933359e-05,-0.039237324,4000,4000,0,0
2501000,2501000,1311004,1311004,-6.1106516e-06,1.0621573e-06,-2.8451113e-08,-1.2924509e-06,-1.4649993e-05,-0.04874933,5000,5000,0,0
3000000,3000000,1311004,1311004,1.6181498e-06,1.70076e-06,5.841896e-07,-4.8143076e-05,3.678925e-05,-0.03923745,4000,4000,0,0
3500000,3500000,1311004,1311004,1.2432631e-06,5.994831e-06,-5.123552e-07,6.092e-06,-3.125466e-05,-0.049378265,5000,5000,0,0
4003000,4003000,1311004,1311004,5.4202665e-06,-2.4302149e-06,4.6108103e-06,9.982186e-05,-7.2928665e-06,-0.0686554,7000,7000,0,0
4500000,4496000,1311004,1311004,-4.441261e-06,3.0718067e-07,5.340481e-06,-2.7813481e-05,-4.2755737e-06,-0.038934633,4000,4000,0,0
5000000,4996000,1311004,1311004,-7.182968e-07,1.0448281e-06,1.150902e-05,-0.00012857208,8.6204636e-05,-0.0781645,8000,8000,0,0
5500000,5496000,1311004,1311004,-2.7164604e-06,1.1671347e-06,-3.8049882e-06,6.3462016e-05,6.7933513e-07,-0.03919037,4000,4000,0,0
6000000,5996000,1311004,1311004,2.3903694e-06,-4.343241e-06,4.9003725e-06,6.909288e-05,0.000115325136,-0.039280657,4000,4000,0,0
6500000,6496000,1311004,1311004,-6.261008e-06,-1.723065e-06,-2.5908446e-06,0.0001365879,3.8318787e-05,-0.039030775,4000,4000,0,0
7003000,6999000,1311004,1311004,-1.3909851e-06,1.9409129e-06,2.3683951e-06,0.00012744495,-2.6268248e-05,-0.039107185,4000,4000,0,0
7503000,7499000,1311004,1311004,7.420684e-06,6.0791585e-06,1.7811293e-06,-8.8688415e-05,3.1264342e-06,-0.03932313,4000,4000,0,0
8000000,7996000,1311004,1311004,1.5846401e-06,1.9258537e-06,7.502323e-07,-3.209018e-05,3.9224527e-05,-0.04916455,5000,5000,0,0
8503000,8498000,1311004,1311004,1.5463642e-07,1.0338985e-06,2.391591e-06,4.018279e-06,7.3294664e-06,-0.019529263,2000,2000,0,0
9000000,8996000,1311004,1311004,-7.3484654e-07,5.5878113e-06,-3.9749466e-06,-6.420698e-05,3.9576324e-05,-0.03930831,4000,4000,0,0
9503000,9498000,1311004,1311004,1.0830366e-08,1.5657329e-06,2.8352298e-07,-3.1302265e-05,-5.570543e-06,-0.019663934,2000,2000,0,0
10004000,9999000,1311004,1311004,4.016692e-06,2.5232084e-06,-3.927323e-06,-8.786894e-06,-0.00012995202,-0.039390955,4000,4000,0,0
10503000,10498000,1311004,1311004,-1.6785865e-06,-1.3006517e-06,2.470556e-06,-9.553258e-06,-0.00010833067,-0.029395217,3000,3000,0,0
11004000,10997000,1311004,1311004,-3.7096631e-06,-3.202706e-06,8.241839e-07,-0.00012405074,8.068271e-05,-0.04903921,5000,5000,0,0
11500000,11493000,1311004,1311004,1.3898968e-05,6.993574e-07,-8.313411e-06,-5.5750108e-05,0.000105449166,-0.09801421,10000,10000,0,0
12003000,11999000,1311004,1311004,-1.2588058e-06,-1.0790808e-06,6.3710436e-06,3.2324242e-05,7.912942e-05,-0.068715446,7000,7000,0,0
12503000,12499000,1311004,1311004,1.9581696e-06,-3.5278467e-07,-5.9894146e-06,-6.9167356e-05,-0.00013044076,-0.039131556,4000,4000,0,0
13003000,12999000,1311004,1311004,5.5681617e-06,3.7743582e-06,1.976293e-06,2.6593367e-05,-2.8561015e-05,-0.039408576,4000,4000,0,0
13504000,13499000,1311004,1311004,-3.2501778e-06,2.3351402e-07,1.0024518e-06,-0.00011062019,-6.818129e-05,-0.03935563,4000,4000,0,0
14008000,13999000,1311004,1311004,1.248996e-06,-3.6084273e-07,-4.175418e-07,-8.004096e-05,1.4275207e-05,-0.029559348,3000,3000,0,0
14503000,14499000,1311004,1311004,3.2126031e-06,7.6261886e-06,-2.863198e-06,-7.2387775e-05,9.272039e-05,-0.03953994,4000,4000,0,0
14999000,14995000,1311004,1311004,7.6315433e-07,-3.681016e-06,2.560447e-06,6.041558e-05,6.707206e-05,-0.029305778,3000,3000,0,0
15500000,15496000,1311004,1311004,-5.6259737e-06,3.7083607e-06,-2.4874755e-06,-3.864953e-05,8.109028e-05,-0.039223734,4000,4000,0,0
