timestamp,mag_inconsistency_angle
496000,4.636e-06
1000000,8.219423e-05
1500000,1.9229226e-05
2000000,2.3690204e-06
2501000,0.00013989575
3000000,0.00019098198
3500000,8.31178e-07
4003000,5.868867e-06
4500000,0.00029397014
5000000,8.934495e-07
5500000,3.608338e-05
6000000,7.8656856e-05
6500000,4.685217e-06
7003000,0.00033864184
7503000,0.00034190473
7996000,1.6487676e-06
8503000,5.0110223e-09
9000000,4.1598455e-06
9503000,6.969204e-05
10004000,2.4704664e-07
10498000,1.131767e-09
11004000,1.031058e-05
11493000,3.0606952e-05
12003000,0.00018447658
12503000,3.3984952e-06
13003000,0.00010738163
13504000,1.576947e-05
14008000,0.00013422612
14503000,1.152334e-06
14999000,0.0007810768
15500000,6.0557522e-06
16003000,0.00026649216
16503000,8.856803e-05
17003000,0.00013094966
17500000,0.00011806258
18003000,4.786384e-06
18503000,3.5020348e-05
18696000,7.762738e-05
50799000,7.3746014e-05
50803000,7.005871e-05
51300000,3.953469e-05
