timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
2000000,139.57617,88.28348,0,98,7201,1024000,0,3,255
3000000,185.78711,71.982605,0,180,7176,1024000,0,3,255
4003000,231.18066,64.50353,0,275,9197,1024000,0,3,255
5004000,287.1289,62.62353,0,375,418,1024000,0,3,255
6008000,336.62988,60.23079,0,469,484,1024000,0,3,255
7011000,389.21484,59.043514,0,553,390,1024000,0,3,255
8012000,441.6123,58.160454,0,653,831,1024000,0,3,255
9012000,496.25293,57.750835,0,725,605,1024000,0,3,255
10013000,549.21387,57.24556,0,822,150,1024000,0,3,255
11016000,603.1426,56.91635,0,905,694,1024000,0,3,255
12016000,659.42285,56.861504,0,969,453,1024000,0,3,255
13016000,716.12695,56.84901,0,1037,520,1024000,0,3,255
14016000,772.42285,56.80833,0,1116,333,1024000,0,3,255
15016000,827.35156,56.67956,0,1190,382,1024000,0,3,255
16016000,882.1826,56.561043,0,1266,493,1024000,0,3,255
17019000,933.0576,56.20829,0,1321,1336,1024000,0,3,255
18024000,988.9287,56.173172,0,1407,1616,1024000,0,3,255
19027000,1046.6699,56.248386,0,1479,1992,1024000,0,3,255
20027000,1102.7734,56.240993,0,1567,1474,1024000,0,3,255
21028000,1157.5547,56.167435,0,1647,1884,1024000,0,3,255
22031000,1215.3232,56.233727,0,1730,1905,1024000,0,3,255
23032000,1274.8818,56.37827,0,1808,1871,1024000,0,3,255
24035000,1333.5566,56.468353,0,1889,1883,1024000,0,3,255
25040000,1391.5703,56.51965,0,1974,1887,1024000,0,3,255
26044000,1450.0645,56.587883,0,2059,1995,1024000,0,3,255
27047000,1505.4082,56.534786,0,2136,2690,1024000,0,3,255
28048000,1562.1523,56.540314,0,2205,2570,1024000,0,3,255
29048000,1618.4277,56.531063,0,2280,2636,1024000,0,3,255
30050000,1674.2256,56.5025,0,2356,2711,1024000,0,3,255
31052000,1729.5166,56.459263,0,2437,2545,1024000,0,3,255
32052000,1785.4912,56.443943,0,2504,2678,1024000,0,3,255
33056000,1840.459,56.391796,0,2599,2661,1024000,0,3,255
34059000,1895.6191,56.350155,0,2669,2964,1024000,0,3,255
35060000,1951.3154,56.32965,0,2755,2894,1024000,0,3,255
36063000,2007.8652,56.331085,0,2830,2728,1024000,0,3,255
37065000,2063.4639,56.30802,0,2918,2649,1024000,0,3,255
38070000,2117.6982,56.245472,0,3019,3036,1024000,0,3,255
39072000,2172.837,56.213924,0,3103,2891,1024000,0,3,255
40072000,2227.835,56.18326,0,3203,3678,1024000,0,3,255
41072000,2282.3623,56.142532,0,3297,3283,1024000,0,3,255
42076000,2337.4248,56.111214,0,3381,3547,1024000,0,3,255
43080000,2392.5361,56.08251,0,3459,3859,1024000,0,3,255
44080000,2446.958,56.04448,0,3550,3684,1024000,0,3,255
45080000,2501.789,56.01731,0,3621,4278,1024000,0,3,255
46083000,2560.0605,56.062996,0,3706,4145,1024000,0,3,255
47083000,2620.2617,56.151672,0,3804,104,1024000,0,3,255
48083000,2670.9727,56.037525,0,3881,4031,1024000,0,3,255
49083000,2730.796,56.11532,0,3964,167,1024000,0,3,255
50083000,2788.8486,56.15433,0,4055,63,1024000,0,3,255
51083000,2841.0752,56.076805,0,4136,3717,1024000,0,3,255
