timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
419000,419000,-6.411701e-06,7.641298e-06,3.4488345e-05,0.0,0.0,0.0,0.0,-1.0
423000,423000,-5.9865533e-07,8.7274355e-05,8.402895e-05,0.0,0.0,0.0,0.0,-1.0
472000,472000,-1.6776965e-05,-0.00013001128,6.082097e-05,0.0,0.0,0.0,0.0,-1.0
520000,520000,-8.256943e-05,-6.147102e-05,-9.04627e-06,0.0,0.0,0.0,0.0,-1.0
572000,572000,-0.00010745229,0.00016199509,0.000113347014,0.0,0.0,0.0,0.0,-1.0
619000,619000,6.5583394e-05,-0.00016400483,2.9548484e-05,0.0,0.0,0.0,0.0,-1.0
676000,676000,-6.869126e-06,-0.00016459124,8.861631e-05,0.0,0.0,0.0,0.0,-1.0
720000,720000,-1.8898709e-05,0.00029623,-7.952968e-05,0.0,0.0,0.0,0.0,-1.0
772000,772000,-0.00011091899,-0.00016329065,-8.321059e-05,0.0,0.0,0.0,0.0,-1.0
820000,820000,2.0550717e-05,1.1692974e-05,-2.0651016e-05,0.0,0.0,0.0,0.0,-1.0
871000,871000,-0.00014011044,0.00037570886,-6.1083797e-06,0.0,0.0,0.0,0.0,-1.0
916000,916000,0.00014098544,-6.0232385e-05,5.4367596e-05,0.0,0.0,0.0,0.0,-1.0
972000,972000,0.0001799533,4.3025517e-05,5.7335863e-05,0.0,0.0,0.0,0.0,-1.0
1020000,1020000,-0.00027225606,0.00013012954,7.7416466e-05,0.0,0.0,0.0,0.0,-1.0
1072000,1072000,1.4931065e-05,-9.341452e-05,-8.7828215e-05,0.0,0.0,0.0,0.0,-1.0
1120000,1120000,-0.00021026691,-1.646295e-05,-2.1998907e-05,0.0,0.0,0.0,0.0,-1.0
1164000,1164000,0.000110776135,-0.00017995635,-8.50841e-05,0.0,0.0,0.0,0.0,-1.0
1220000,1220000,-0.00054039253,-7.15563e-05,9.072643e-05,0.0,0.0,0.0,0.0,-1.0
1271000,1271000,-9.011548e-05,-6.9945374e-05,4.764198e-05,0.0,0.0,0.0,0.0,-1.0
1325000,1325000,6.699927e-05,-0.00018208403,7.798447e-06,0.0,0.0,0.0,0.0,-1.0
