timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
25975000,25975000,0.9999988,0.00093501393,0.0012085622,-2.3001832e-05,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
26472000,26472000,0.9999988,0.0003455,0.0015314294,-0.00011091943,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
26977000,26977000,0.99999994,0.00014403996,0.0004312095,-0.00014679116,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
27475000,27475000,1.0,-5.2568275e-06,0.00022059334,-0.00012255559,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
27973000,27973000,0.9999999,1.5992842e-05,0.0006052388,-7.219921e-05,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
28472000,28472000,0.9999994,-0.00064896484,-0.00087698543,-3.7860933e-05,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
28980000,28980000,0.999998,-0.000101904625,-0.0020156705,-4.0245908e-05,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
29472000,29472000,0.99999815,0.00035098405,-0.001878001,1.2297733e-05,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
29971000,29971000,0.9999996,0.0009496344,-0.00024062068,-0.00012721865,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
30472000,30472000,0.99999994,0.00027802362,0.00021828395,-4.37495e-05,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
30977000,30977000,0.99999964,0.0002306186,-0.00090142514,0.00012450965,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
31472000,31472000,0.99999976,0.00026029214,0.00065930677,2.0066915e-05,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
31976000,31976000,0.9999995,3.648162e-05,0.00095269526,7.0334056e-05,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
32471000,32471000,0.9999989,-0.00032958874,0.001440305,0.00013563492,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
32976000,32976000,0.99999976,-0.0006547508,0.0004699054,0.00011551655,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
33475000,33475000,0.9999993,-0.001133603,-0.00027684734,8.083818e-05,0.9979609,-7.275958e-12,3.774403e-11,-0.063827835,2
