timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
6972000,6972000,0.99803454,-0.00015371182,0.00031575878,0.06266642,0.9980377,-2.9581664e-11,-3.0726765e-11,0.06261684,1
6977000,6977000,0.99803436,-0.00015365888,0.0003139936,0.062669195,0.9980377,-2.9581664e-11,-3.0726765e-11,0.06261684,1
7468000,7468000,0.9999991,-0.00014507727,0.00026197903,-0.0013167199,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
7975000,7975000,0.9999979,-0.0001788636,0.00024161563,-0.0020055592,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
8472000,8472000,0.9999984,-0.00013137319,0.00012746471,-0.0018194322,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
8972000,8972000,0.9999984,-6.373657e-05,-3.1284257e-05,-0.0018201522,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
9476000,9476000,0.999999,7.922519e-06,-0.00012997109,-0.0014756549,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
9968000,9968000,0.999999,1.894916e-05,-0.00016980717,-0.0014141653,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
10471000,10471000,0.9999992,1.5087915e-05,-0.00022058809,-0.0012095093,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
10975000,10975000,0.99999946,3.1561067e-05,-0.00017479555,-0.0010789093,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
11480000,11480000,0.99999934,8.164249e-05,-0.0003108764,-0.0010679191,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
11971000,11971000,0.99999934,0.00010501625,-0.00018381591,-0.0011359707,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
12475000,12475000,0.99999946,0.00026126194,-2.7191027e-05,-0.0010081492,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
12972000,12972000,0.9999996,0.00034432797,-0.00010016877,-0.00087355997,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
13472000,13472000,0.9999997,0.00033983245,-9.9672856e-05,-0.0007972774,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
13967000,13967000,0.9999997,5.142342e-05,8.8540626e-05,-0.00074806495,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
14472000,14472000,0.9999992,-0.00092508394,0.0005349527,-0.0006629834,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
14972000,14972000,1.0,-0.00022678528,0.00029577516,3.066858e-05,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
15472000,15472000,0.99999976,0.00018779786,-0.0003417356,0.0005708471,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
15972000,15972000,0.99999976,0.0007101953,0.00012651217,0.00016420001,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
16471000,16471000,0.99999976,0.00042842454,-0.00066350325,-0.00015023354,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
16964000,16964000,1.0,-0.00029428772,0.000119654425,-0.00019430325,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
17472000,17472000,0.9999999,2.3258997e-05,0.0006381389,-0.00018686065,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
17972000,17972000,0.9999994,0.00088835123,0.00057866,-0.00029739804,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
18472000,18472000,1.0,0.00036718408,0.00016628741,-0.000265972,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
18971000,18971000,0.9999995,-0.0007295289,0.00061417505,-0.0001872156,0.99796087,-1.27329276e-11,4.2746254e-11,-0.06382946,2
