timestamp,rtl_time_s,rtl_limit_fraction
11011000,0.0,0.0
12048000,0.011321651,1.2579612e-05
13080000,0.00940643,1.0451589e-05
14080000,0.0026361623,2.9290693e-06
15088000,0.12197467,0.00013552741
16101000,0.3952916,0.00043921292
17112000,0.59517646,0.0006613072
18132000,0.70830584,0.0007870065
19144000,0.6437573,0.0007152859
20200000,0.6610306,0.00073447847
21212000,0.67177445,0.0007464161
22259000,0.68753046,0.00076392276
23280000,0.6960149,0.0007733499
24283000,0.7169737,0.0007966375
25284000,0.7197699,0.0007997444
26296000,0.7246731,0.0008051924
27320000,0.7265965,0.00080732943
28324000,0.7217774,0.0008019749
29351000,0.7239612,0.00080440135
30360000,0.7214302,0.00080158917
31379000,0.71644604,0.0007960512
32380000,0.71842444,0.00079824944
33399000,0.7145144,0.0007939049
34452000,0.7156844,0.00079520495
35471000,0.7144308,0.00079381204
36479000,0.7180053,0.0007977837
37493000,0.71786624,0.0007976292
38532000,0.5142868,0.00057142985
39543000,0.03728373,4.142637e-05
40551000,0.021211661,2.3568515e-05
41563000,0.01311893,1.457659e-05
42572000,0.0129584875,1.439832e-05
43601000,0.009759315,1.0843684e-05
