timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
29620000,29620000,-0.04641227,3.4034142,-2.4971514,-1.2343924,0.0021871307,1.2401392,2.50522,-0.026956368,-0.008917035,0.0034485813,-0.0062809354,-0.025313083,-0.007768192,-0.015034822,-0.00047064343,0.01599357,0.011845524,0.19180615,0.20368491,0.21061355,0.2026852,0.19121014
30620000,30620000,-0.06960623,3.3897228,-2.495193,-1.2323983,0.001726646,1.2380666,2.5046103,-0.008696307,-0.0051518446,-0.010290686,-0.017070977,-0.016254196,-0.0055898638,0.0011199545,0.006498457,0.003412906,-0.0041493378,0.19108826,0.20433599,0.21175897,0.20269985,0.19011696
31621000,31621000,-0.07621659,3.390163,-2.494581,-1.2319462,0.002002674,1.2383864,2.50514,-0.0058816513,-0.004240392,-0.005882009,-0.008546784,-0.008613555,-0.0011458587,0.0011681716,0.0034130057,0.0026010172,-0.00024306496,0.1911078,0.20442958,0.2117962,0.2026281,0.19003841
32617000,32617000,-0.072939225,3.3795674,-2.4931846,-1.23012,0.0024778186,1.2375681,2.5048597,0.027441975,0.013888039,0.0034258538,0.00989144,0.024940338,0.009902367,0.01662963,0.0061321156,-0.0072355373,-0.005250218,0.19053134,0.20466904,0.21254328,0.20281981,0.18943645
33613000,33613000,-0.07562116,3.363615,-2.4916236,-1.2280762,0.002285628,1.2354536,2.5037808,0.011179223,0.003930807,0.0065987855,0.015392516,0.018486507,0.00715197,0.0018405605,-0.006525905,-0.006791924,0.0016738296,0.18967286,0.20513134,0.2137235,0.20303544,0.18843687
34619000,34619000,-0.063204154,3.3535318,-2.4907458,-1.2265263,0.0028678079,1.2347499,2.503224,0.00012097135,0.0035196408,0.008652484,0.008690753,0.0034077154,0.0081257615,0.0037195347,0.005495508,0.010935912,0.0127321,0.18909834,0.20519663,0.21436511,0.20333622,0.18800366
35621000,35621000,-0.058912776,3.346486,-2.4901268,-1.2255313,0.0030347425,1.2340131,2.5027394,0.012211034,0.011672552,0.0032103015,-0.0017857682,0.0036316514,-0.011226391,-0.0022547126,3.5122634e-05,-0.0071872016,-0.014391437,0.18869387,0.20530947,0.2148588,0.2035044,0.18763345
36616000,36616000,-0.058091488,3.3435597,-2.4895432,-1.2248316,0.0033732138,1.2340038,2.502871,0.003804368,0.015023204,0.016374875,0.0063654473,-0.0017454652,-0.010231942,-0.007921418,0.0031625978,0.008157261,2.1014555e-05,0.18853794,0.20537245,0.21506125,0.2035564,0.18747194
37620000,37620000,-0.059155043,3.3410325,-2.4891996,-1.2244364,0.00341565,1.2337642,2.502809,-0.0021736363,0.0049919593,0.00548749,-0.0011436987,-0.0061056158,-0.006589339,-0.004715393,0.0024863821,0.005371617,-0.00015643126,0.18841206,0.20545185,0.2152423,0.20357992,0.18731388
38620000,38620000,0.0019506938,3.3268375,-2.4159877,-1.1510545,0.07456306,1.3032837,2.5735497,0.005570908,0.0042868922,0.008249953,0.012094216,0.010568701,0.0096102785,0.0048773387,0.0022215974,0.0050636115,0.009742294,0.18767048,0.20600186,0.21636082,0.20366324,0.18630366
39612000,39612000,-0.107287124,3.309466,-2.4987178,-1.2339995,-0.01161188,1.2151978,2.487537,0.0030441857,-0.0022410993,-0.0040155826,-7.331441e-05,0.0044564633,0.01078379,0.010919213,0.0061019943,0.0027877344,0.0055687376,0.18683165,0.20693234,0.21781729,0.20355254,0.18486616
40612000,40612000,-0.09549582,3.3029745,-2.4962945,-1.2310585,-0.009116057,1.2168975,2.4891622,-0.0007459075,-0.005585566,-0.0017056179,0.0055364436,0.0064112125,0.007268378,0.001402673,-0.004873134,-0.0033529187,0.004237978,0.18647218,0.20689854,0.21817778,0.2037868,0.18466468
41468000,41468000,-0.0909481,3.3016214,-2.4959118,-1.2304897,-0.008562723,1.2172608,2.4894125,0.003122429,-0.001094506,-0.0027686306,0.00019960185,0.0039687273,0.012438766,0.012829863,0.009077493,0.006219412,0.008193948,0.18638623,0.2068474,0.21823771,0.20387097,0.18465765
