timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,accel_bias_valid,mag_bias_valid
16208000,16208000,1311004,1.8588948e-05,-8.3223e-05,-0.00011483746,0.34906584,1.06458494e-07,1.0645775e-07,2.343892e-07,1311004,-0.0011217018,0.0011691077,0.0061846073,0.4,0.000158533,0.00015853347,7.819256e-06,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
16808000,16808000,1311004,4.325475e-05,-7.917208e-05,-9.80132e-05,0.34906584,1.0117061e-07,1.0116998e-07,1.9992468e-07,1311004,-0.0013895625,0.0014162423,0.0050955685,0.4,0.00015606733,0.00015606786,6.62632e-06,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
17725000,17725000,1311004,4.7054553e-05,-0.00010592768,-3.525669e-05,0.34906584,8.399333e-08,8.399292e-08,1.5688168e-07,1311004,-0.0018496059,0.0020144624,0.004219181,0.4,0.00015018553,0.00015018598,5.1289794e-06,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
18016000,18016000,1311004,4.3018015e-05,-0.00010946503,-9.3872895e-06,0.34906584,7.7015905e-08,7.701557e-08,1.4688754e-07,1311004,-0.0017723722,0.0022954978,0.0029420825,0.4,0.00014739047,0.00014739088,4.918803e-06,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
18223000,18223000,1311004,4.2880976e-05,-0.00010648063,-1.7544317e-05,0.34906584,7.343614e-08,7.343584e-08,1.4190213e-07,1311004,-0.0018979046,0.0022632577,0.00188547,0.4,0.00014663977,0.00014664016,4.9686564e-06,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
18423000,18423000,1311004,4.9029157e-05,-9.665982e-05,-1.36177405e-05,0.34906584,6.857915e-08,6.8578885e-08,1.347019e-07,1311004,-0.002178771,0.0020637321,0.003362411,0.4,0.00014319978,0.00014320013,4.9530618e-06,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
19231000,19231000,1311004,4.8945923e-05,-9.289109e-05,1.0286409e-05,0.34906584,5.0278786e-08,5.027863e-08,1.1444768e-07,1311004,-0.0023838491,0.0018181145,0.0043126135,0.4,0.00012764984,0.0001276501,5.058444e-06,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
19628000,19628000,1311004,4.0437764e-05,-6.283943e-05,-4.904443e-06,0.34906584,4.1783426e-08,4.1783263e-08,1.05882e-07,1311004,-0.0015263339,0.0023959863,0.0045160926,0.4,0.00011716301,0.00011716331,5.0567323e-06,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
19921000,19921000,1311004,-7.9088653e-07,-7.2237555e-05,2.2223423e-06,0.34906584,3.5954425e-08,3.5954223e-08,9.86646e-08,1311004,-0.0015397812,0.004034881,0.004548781,0.4,0.00010854057,0.000108540975,5.0171843e-06,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
20228000,20228000,1311004,-2.1976672e-05,-3.3283322e-05,6.502671e-06,0.34906584,3.1096327e-08,3.109604e-08,9.277855e-08,1311004,0.0001204653,0.0050114156,0.00462591,0.4,0.00010101821,0.00010101878,5.0178623e-06,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
20328000,20328000,1311004,-3.2148062e-05,-4.2987313e-06,9.32557e-06,0.34906584,2.9708415e-08,2.9708094e-08,9.140711e-08,1311004,0.0011577948,0.0054418435,0.004629253,0.4,9.886843e-05,9.8869066e-05,5.0305975e-06,197644,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,1,0
