timestamp,main_state_changes,main_state
43000,0,0
548000,0,0
1052000,0,0
1519000,0,0
2019000,0,0
2527000,0,0
3031000,0,0
3532000,0,0
4035000,0,0
4303000,0,0
4803000,0,0
5307000,0,0
5813000,0,0
6320000,0,0
6820000,0,0
7323000,0,0
7833000,0,0
8335000,0,0
8837000,0,0
9340000,0,0
9853000,0,0
10361000,0,0
10393000,0,0
10899000,0,0
11011000,1,4
11023000,1,4
11112000,1,4
11223000,2,7
11331000,2,7
11833000,2,7
11848000,2,7
12348000,2,7
12857000,2,7
12871000,2,7
13376000,2,7
13877000,2,7
14383000,2,7
14883000,2,7
15391000,2,7
15895000,2,7
16403000,2,7
16911000,2,7
17416000,2,7
17883000,2,7
17907000,2,7
17919000,2,7
18428000,2,7
18939000,2,7
19441000,2,7
19943000,2,7
20452000,2,7
20952000,2,7
21453000,2,7
21959000,2,7
22468000,2,7
22979000,2,7
23483000,2,7
23983000,2,7
24483000,2,7
24983000,2,7
25491000,2,7
25997000,2,7
26508000,2,7
27013000,2,7
27523000,2,7
28027000,2,7
28537000,2,7
29044000,2,7
29556000,2,7
30064000,2,7
30576000,2,7
31080000,2,7
31581000,2,7
32083000,2,7
32588000,2,7
33095000,2,7
33601000,2,7
34103000,2,7
34608000,2,7
35113000,2,7
35627000,2,7
36128000,2,7
36640000,2,7
37147000,2,7
37647000,2,7
37916000,2,7
37928000,3,11
38435000,3,11
38939000,3,11
39443000,3,11
39943000,3,11
40444000,3,11
40955000,3,11
41458000,3,11
41968000,3,11
42476000,3,11
42941000,3,11
43452000,3,11
43492000,3,11
44003000,3,11
