timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],temperature_accel,temperature_gyro
983000,1311004,1311004,0,0,0,0,0,187.5,187.5,187.5,187.5,0.012405226,5.2143987e-06,1.9502141e-11,0.0018230262,-0.010743464,-9.782385,-4.5327157e-05,0.00014665992,0.00030291468,14.675523,14.675523
2003000,1311004,1311004,0,0,0,0,0,187.5,187.5,187.5,187.5,0.014049619,6.122405e-06,2.1901815e-11,0.00713435,-0.004102081,-9.797745,0.00017892808,0.00018269135,0.00025257346,14.6754465,14.6754465
2923000,1311004,1311004,0,0,0,0,0,187.5,187.5,187.5,187.5,0.013929285,6.696431e-06,2.7030309e-11,0.0018900911,-0.0054514604,-9.791364,-0.00029116846,0.0003248163,-3.4578028e-05,14.675339,14.675339
3941000,1311004,1311004,0,0,0,0,0,187.5,187.5,187.5,187.5,0.014988423,6.3740918e-06,2.329067e-11,0.006904752,-0.00026392832,-9.795752,0.00011730909,0.0002894751,-7.822447e-05,14.67527,14.67527
4941000,1311004,1311004,0,0,0,0,0,219.85243,219.85243,219.85243,219.85243,0.013913815,6.224062e-06,2.128049e-11,0.0022061393,-0.0020790398,-9.812284,0.00020311591,-0.000107236636,0.00032957274,14.675185,14.675185
5936000,1311004,1311004,0,0,0,0,0,219.51648,219.51648,219.51648,219.51648,0.016168006,6.4261944e-06,2.482391e-11,-0.000813736,-0.00043039734,-9.791698,-9.400009e-05,0.00022097747,-0.00032192108,14.675511,14.675511
6977000,1311004,1311004,0,0,0,0,0,218.68501,218.68501,218.68501,218.68501,0.016537698,6.456891e-06,2.5430576e-11,-0.00770397,0.008667935,-9.815686,-0.00047998584,6.205121e-05,-0.00010589814,14.675576,14.675576
7952000,1311004,1311004,0,0,0,0,0,217.26306,217.26306,217.26306,217.26306,0.015469504,6.4975325e-06,2.784977e-11,-0.013085102,-0.0014378316,-9.776625,-0.00046701147,8.4909865e-05,-0.00037306672,14.675411,14.675411
8923000,1311004,1311004,0,0,0,0,0,217.03928,217.03928,217.03928,217.03928,0.015424844,6.4151664e-06,2.5098335e-11,-0.0067737466,0.0072400835,-9.815279,-1.9825252e-06,3.546721e-05,-0.0001582968,14.675464,14.675464
9956000,1311004,1311004,0,0,0,0,0,217.0213,217.0213,217.0213,217.0213,0.015176648,6.5802433e-06,2.516168e-11,0.0002636223,-0.0023422944,-9.775942,-5.8191254e-05,-8.93793e-05,-0.00044872653,14.675429,14.675429
10975000,1311004,1311004,0,0,0,0,0,216.77087,216.77087,216.77087,216.77087,0.016682938,6.856135e-06,2.5571165e-11,-0.015249024,-0.003465916,-9.803402,-0.00011334268,0.00028255882,6.749997e-05,14.675487,14.675487
11948000,1311004,1311004,0,0,0,0,0,217.21877,217.21877,217.21877,217.21877,0.015028585,6.506244e-06,2.4994208e-11,0.0030464928,0.0012452052,-9.7937765,-9.22239e-05,0.00013654589,9.5052055e-05,14.67531,14.67531
12967000,1311004,1311004,0,0,0,0,0,217.21877,217.21877,217.21877,217.21877,0.014738998,6.781223e-06,2.7191756e-11,-0.0071955584,-0.0042836065,-9.79719,0.00032552294,0.00019271433,-0.00023419433,14.675485,14.675485
13937000,1311004,1311004,0,0,0,0,0,217.01021,217.01021,217.01021,217.01021,0.015679436,7.0938963e-06,3.6520977e-11,0.006355285,0.008565551,-9.786272,-0.0012539891,0.0013735624,3.31465e-05,14.675523,14.675523
14983000,1311004,1311004,0,0,0,0,0,217.24762,217.24762,217.24762,217.24762,0.01574706,1.3642254e-05,1.6574415e-10,-0.010465526,-0.0034624138,-10.71741,0.014011387,-0.0032945503,0.004718264,14.675171,14.675171
