timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
739000,-0.00026631617,-6.627619e-11,-0.00026631617,4000,0,0.0047884043,-0.010773739,-9.758768,4000,0
743000,2.3641427e-11,0.0002663161,-0.00053263234,4000,0,0.005985504,-0.02513895,-9.767147,4000,0
748000,-0.000266316,0.00079894846,-0.00053263217,5000,0,-0.003591302,-0.008379535,-9.782707,5000,0
753000,-0.0005326321,0.00079894846,-0.000266316,5000,0,-0.009576807,0.010774079,-9.813833,5000,0
757000,1.1820715e-10,0.00026631623,0.0002663161,4000,0,0.0071826046,-0.00239403,-9.842566,4000,0
764000,0.0005326322,0.00026631617,-4.263476e-11,7000,0,0.01675941,-0.020350542,-9.850943,7000,0
773000,-4.1372492e-11,0.0007989484,-0.00026631585,9000,0,0.008379705,-0.011970837,-9.838972,9000,0
777000,-0.000798948,0.0010652648,0.00026631664,4000,0,-0.0059855045,-0.0059853327,-9.813835,4000,0
783000,-0.0005326322,0.00079894846,0.0002663161,6000,0,-0.02394202,-0.01556214,-9.805453,6000,0
787000,0.0002663162,0.00053263246,0.0002663159,4000,0,-0.023942016,-0.01795634,-9.844959,4000,0
792000,0.0002663161,0.00079894834,0.0005326322,5000,0,-0.0071826056,-0.0071824323,-9.865309,5000,0
795000,-0.00026631617,0.00053263217,0.0002663163,3000,0,-0.001197101,-0.005985333,-9.827001,3000,0
800000,-0.0002663161,-1.7731068e-11,3.5462137e-11,5000,0,-0.011971008,-0.020350538,-9.781511,5000,0
803000,0.0,0.00026631617,0.00026631608,3000,0,-0.016759414,-0.031124452,-9.757568,3000,0
807000,1.7731074e-11,-4.6480935e-12,0.00026631617,4000,0,-0.01316811,-0.025138954,-9.759963,4000,0
813000,4.7282858e-11,-0.0005326322,-0.0002663161,6000,0,-0.009576808,-0.008379537,-9.788694,6000,0
820000,-0.00053263217,7.557237e-11,-0.00026631626,7000,0,-0.0047884034,-0.0047882325,-9.797073,7000,0
823000,-0.0005326322,0.00026631623,-7.8096904e-11,3000,0,-0.003591303,-0.0059853345,-9.762359,3000,0
831000,1.7731074e-11,-0.00026631614,0.0002663162,8000,0,0.0,0.001197271,-9.747993,8000,0
835000,-0.0002663161,-0.0005326324,0.0002663161,4000,0,0.0,0.0023943726,-9.764753,4000,0
840000,-0.000266316,-0.00026631614,-0.0002663161,5000,0,-0.010773908,-0.0011969301,-9.787497,5000,0
843000,5.910357e-11,0.0005326322,-4.9807377e-11,3000,0,-0.003591303,0.0047885757,-9.817426,3000,0
848000,3.5462137e-11,0.00079894834,0.0002663161,5000,0,0.017956514,0.017956683,-9.831789,5000,0
852000,-1.1820715e-10,0.00026631617,-0.00026631617,4000,0,0.016759416,0.016759584,-9.8198185,4000,0
856000,-7.0924294e-11,-0.00026631617,-0.00053263234,4000,0,0.0035913025,-0.0023940308,-9.807848,4000,0
859000,0.0002663161,-0.00026631617,-0.0005326322,3000,0,0.004788404,-0.020350544,-9.815031,3000,0
863000,0.0005326324,0.00026631614,-0.0005326323,4000,0,0.01316811,-0.01556214,-9.828198,4000,0
871000,0.00053263234,0.00026631617,-0.00053263234,8000,0,0.01316811,1.7184783e-07,-9.846155,8000,0
877000,0.0005326322,-8.9917615e-11,-0.00026631623,6000,0,0.002394202,-0.0011969291,-9.847351,6000,0
883000,0.0,7.5572375e-11,-0.0002663161,6000,0,-0.001197101,-0.010773736,-9.811439,6000,0
887000,-0.0007989484,0.0002663163,-0.00079894846,4000,0,0.005985504,-0.015562142,-9.791088,4000,0
892000,-0.0007989483,0.0005326322,-0.00079894846,5000,0,0.01316811,-0.021547645,-9.78989,5000,0
896000,2.955179e-11,0.00026631608,-0.00026631626,4000,0,0.020350713,-0.02633605,-9.7803135,4000,0
899000,0.00079894846,-7.092429e-11,-7.092429e-11,3000,0,0.015562311,-0.021547647,-9.767146,3000,0
903000,0.0010652647,0.0,0.0,4000,0,-0.002394202,-0.009576638,-9.747993,4000,0
908000,0.0010652645,0.000266316,0.0002663162,5000,0,-0.01556231,0.0035914727,-9.750386,5000,0
912000,0.0010652647,0.0005326321,0.0007989486,4000,0,-0.017956514,0.013168281,-9.7803135,4000,0
920000,0.00079894863,-1.8408239e-10,0.0010652646,8000,0,-0.01436521,0.017956687,-9.79827,8000,0
923000,0.00053263246,-0.00026631617,0.0007989482,3000,0,-0.005985505,0.014365383,-9.794679,3000,0
927000,0.00053263234,6.6276186e-11,0.0002663162,4000,0,0.0035913025,0.0059856754,-9.783907,4000,0
931000,0.00026631623,-0.00053263234,-1.03861905e-10,4000,0,0.0035913025,-0.0035911321,-9.776724,4000,0
935000,0.0,-0.00079894846,-8.486858e-11,4000,0,-0.0035913025,-0.011970838,-9.799467,4000,0
943000,7.0924294e-11,-0.00026631617,-0.00026631617,8000,0,-0.019153617,-0.010773738,-9.817425,8000,0
948000,-0.000266316,-0.00026631606,-0.00079894846,5000,0,-0.02633622,-0.011970838,-9.795876,5000,0
952000,-0.0007989486,-0.0005326321,-0.0005326324,4000,0,-0.0011971008,-0.011970839,-9.779117,4000,0
956000,-0.0007989486,-0.00026631597,0.0002663161,4000,0,0.02633622,1.7051063e-07,-9.76954,4000,0
959000,-0.00026631617,4.263476e-11,0.0002663161,3000,0,0.02753332,-0.002394031,-9.758766,3000,0
963000,-1.7731074e-11,0.00026631617,-1.3082978e-11,4000,0,0.015562311,-0.015562142,-9.758768,4000,0
967000,2.3641427e-11,0.00053263234,0.00026631617,4000,0,0.009576809,-0.016759245,-9.785105,4000,0
971000,-0.00026631606,0.00026631614,0.0007989485,4000,0,0.008379708,-0.013167939,-9.822214,4000,0
975000,-0.0005326322,-6.587523e-11,0.0010652647,4000,0,0.0047884043,-0.011970838,-9.813835,4000,0
980000,-0.0005326323,0.000266316,0.00053263217,5000,0,0.0,-0.01795634,-9.770737,5000,0
983000,-0.0007989485,0.00053263205,-2.0255603e-11,3000,0,-0.004788404,-0.031124452,-9.751583,3000,0
988000,-0.0007989483,0.0002663162,0.0005326322,5000,0,-0.005985504,-0.025138946,-9.776722,5000,0
992000,-0.0002663161,0.0002663164,0.0010652646,4000,0,-0.0047884043,0.0023943738,-9.809044,4000,0
996000,0.00026631606,0.0005326325,0.0007989484,4000,0,-0.009576809,0.022745091,-9.804258,4000,0
999000,0.0007989483,0.00026631635,-1.1355905e-10,3000,0,-0.01197101,0.033519,-9.776722,3000,0
1003000,0.0007989484,1.7352392e-10,-0.0007989485,4000,0,-0.010773908,0.033519,-9.764753,4000,0
1010000,0.0002663161,-9.697143e-12,-0.00079894846,3000,0,0.0059855054,-0.0119708385,-9.761161,3000,0
1015000,0.0002663161,-3.081404e-11,-0.0002663161,5000,0,0.016759412,-0.034715753,-9.7719345,5000,0
1023000,0.0,-0.0002663161,0.0002663161,3000,0,0.010773907,0.007182776,-9.775526,3000,0
1028000,-0.00026631608,-0.0005326322,0.00026631608,5000,0,0.01436521,0.022745088,-9.779117,5000,0
1032000,-0.00026631617,-2.9551788e-11,-5.9103576e-11,4000,0,0.011971009,0.015562482,-9.782707,4000,0
1039000,-2.3641429e-11,-0.0002663161,-0.0002663161,3000,0,0.014365212,-0.01675924,-9.83179,3000,0
1047000,0.00079894846,0.0002663161,0.00053263234,4000,0,0.008379707,-0.0011969301,-9.795877,4000,0
1052000,0.0010652645,1.8913142e-10,-9.456571e-11,5000,0,-0.010773908,0.008379878,-9.792285,5000,0
1058000,0.0002663162,-9.921381e-11,0.00026631614,2000,0,0.008379708,0.01197118,-9.787498,2000,0
1063000,2.3641427e-11,-0.0005326322,0.00026631608,5000,0,0.0035913025,0.0059856754,-9.8114395,5000,0
1068000,0.0,0.0,0.0,5000,0,-0.022744916,1.7109565e-07,-9.803059,5000,0
1072000,-0.00026631617,0.00079894846,1.3944281e-11,4000,0,-0.033518832,-0.008379535,-9.797075,4000,0
1076000,-0.00053263234,0.00053263234,1.03861905e-10,4000,0,-0.01316811,-0.005985333,-9.797075,4000,0
1079000,-0.00053263234,-0.00053263234,-0.00026631597,3000,0,0.01197101,0.009576978,-9.782709,3000,0
1092000,-0.0002663161,4.6480944e-12,-0.00026631623,8000,0,0.023942016,0.023942187,-9.800665,8000,0
1096000,0.0002663161,-0.00026631617,0.00026631623,4000,0,0.025139121,0.016759586,-9.8198185,4000,0
1101000,0.0007989483,-0.0002663161,0.00079894846,5000,0,0.020350715,0.014365382,-9.853337,5000,0
1108000,0.0005326323,-0.0002663161,0.0005326322,7000,0,0.0023942017,0.0083798785,-9.854534,7000,0
1112000,-0.00026631585,-0.00079894846,-0.0002663164,4000,0,-0.010773908,-0.008379536,-9.812637,4000,0
1116000,-0.0002663161,-0.0010652647,-0.00053263234,4000,0,-0.010773908,-0.023941847,-9.787498,4000,0
1119000,0.0,-0.0010652647,-0.00053263217,3000,0,-0.014365212,-0.031124452,-9.764751,3000,0
1127000,-0.00053263234,0.00026631623,-1.13559065e-10,4000,0,-0.005985504,-0.03351866,-9.753977,4000,0
1130000,-0.0005326322,-8.2524155e-19,4.7282858e-11,3000,0,0.0071826056,-0.017956344,-9.795876,3000,0
1136000,-0.0005326322,-0.00053263234,-0.00026631606,6000,0,0.015562311,-0.0071824337,-9.837775,6000,0
1143000,5.319321e-11,-3.924893e-11,-0.00079894846,4000,0,0.044292733,-0.0071824337,-9.848549,4000,0
1148000,0.0,4.648093e-12,-0.0002663161,5000,0,0.037110124,-0.010773736,-9.8198185,5000,0
1157000,-0.00026631608,0.0002663161,-0.0002663161,5000,0,0.01316811,-0.010773737,-9.757568,5000,0
1173000,-0.00026631608,0.0005326325,0.00079894834,8000,0,0.007182605,0.009576978,-9.787498,8000,0
1180000,-4.7282848e-11,0.00026631617,0.00026631608,7000,0,0.0023942017,0.008379877,-9.767145,7000,0
1183000,0.0002663163,-0.0005326322,0.00026631608,3000,0,0.003591303,0.0059856744,-9.736022,3000,0
1191000,0.00079894846,-0.0005326323,0.00026631623,8000,0,0.007182605,-0.0023940317,-9.755177,8000,0
1203000,-0.0005326322,-0.00026631623,0.00026631606,6000,0,0.011971011,-0.017956344,-9.835381,6000,0
1208000,-0.00079894834,-4.0110235e-11,0.000266316,5000,0,0.010773908,-0.009576635,-9.837774,5000,0
1212000,-0.0002663162,0.00026631614,-8.4007266e-11,4000,0,0.0011971011,0.009576979,-9.803061,4000,0
1216000,-2.3641427e-11,-0.0002663162,-0.00026631614,4000,0,0.0071826056,0.016759584,-9.759963,4000,0
1220000,2.3641427e-11,4.6480935e-12,-0.00026631617,4000,0,0.016759416,0.011971179,-9.750386,4000,0
1231000,-0.00053263234,0.00026631614,0.00026631623,8000,0,0.01436521,0.0035914734,-9.77433,8000,0
1239000,-0.00026631617,-0.00026631617,-0.0005326322,3000,0,-0.001197101,-0.016759241,-9.746796,3000,0
1243000,-0.00026631623,-0.00053263234,-0.00026631614,4000,0,-0.0047884043,-0.026336052,-9.730038,4000,0
1248000,0.000266316,-0.0005326322,0.0002663162,5000,0,-0.005985504,-0.019153444,-9.721656,5000,0
1252000,0.00026631608,-0.0002663162,0.0005326324,4000,0,-0.011971009,-0.005985334,-9.745598,4000,0
1260000,-0.0007989485,0.00026631608,-0.0002663161,4000,0,-0.02274492,0.003591474,-9.810242,4000,0
1263000,-0.00079894846,0.00026631606,-0.0005326322,3000,0,-0.015562311,-0.01436504,-9.801863,3000,0
1268000,-0.00026631606,0.0005326321,-0.0005326323,5000,0,-0.008379706,-0.03351865,-9.805452,5000,0
1271000,0.000266316,-1.0891094e-10,-0.00053263234,3000,0,-0.001197101,-0.028730249,-9.83179,3000,0
1275000,0.00079894834,-0.0007989486,-0.00026631623,4000,0,0.015562311,-0.013167939,-9.8281975,4000,0
1279000,0.00079894846,-0.00053263234,-0.0002663161,4000,0,0.027533323,0.004788575,-9.79827,4000,0
1283000,4.7282855e-11,7.557239e-11,-0.00026631617,4000,0,0.021547817,0.017956685,-9.781511,4000,0
1287000,-0.00026631623,-0.00053263234,0.00053263234,4000,0,0.009576809,0.016759584,-9.791088,4000,0
1292000,0.0002663161,-0.0007989483,0.00079894846,5000,0,-0.0011971008,0.0059856754,-9.816227,5000,0
1299000,-0.00053263234,0.0005326322,0.0002663161,3000,0,-0.014365212,-0.011970838,-9.799468,3000,0
1308000,0.00026631614,8.526953e-11,0.00053263217,5000,0,-0.0023942017,-0.017956343,-9.7719345,5000,0
1317000,-1.7731072e-11,0.00026631617,-0.00026631608,6000,0,0.003591303,1.7120011e-07,-9.809044,6000,0
1324000,-0.0010652647,-0.0002663161,-0.00026631597,3000,0,0.0,0.010774081,-9.862914,3000,0
1331000,-0.0005326322,-0.00026631623,-0.0005326322,7000,0,-0.0011971008,0.007182777,-9.854534,7000,0
1341000,0.0010652647,0.0005326321,-0.0002663161,6000,0,-0.010773907,0.0011972729,-9.854534,6000,0
1344000,0.0007989485,0.0002663159,0.00026631606,3000,0,0.004788404,0.013168282,-9.82341,3000,0
1355000,8.2745005e-11,-0.00026631626,0.0005326323,4000,0,-0.005985504,0.005985675,-9.759963,4000,0
1363000,2.9551785e-11,-0.0002663161,-4.648093e-12,3000,0,-0.023942022,0.009576978,-9.742007,3000,0
1368000,-0.0002663161,3.0946548e-19,-1.7731068e-11,5000,0,-0.0035913025,-0.004788233,-9.768343,5000,0
1371000,-0.00079894846,0.0,0.0,3000,0,0.002394202,-0.020350544,-9.829395,3000,0
1380000,-0.00026631608,0.00026631606,-0.00026631617,5000,0,0.0023942017,0.0035914737,-9.84017,5000,0
1388000,0.0002663161,0.0005326322,-2.6165951e-11,5000,0,0.0011971008,-0.0023940299,-9.841366,5000,0
1393000,0.00079894846,0.00053263217,0.000266316,5000,0,-0.0011971008,-0.008379535,-9.793482,5000,0
1403000,0.0,0.00026631606,0.00026631623,6000,0,-0.03232172,-0.0047882334,-9.755176,6000,0
1412000,1.1820715e-10,4.9807384e-11,0.00053263234,4000,0,-0.007182605,0.02633639,-9.77433,4000,0
1416000,-0.00026631603,-0.0007989485,-1.39442815e-11,4000,0,0.0011971011,0.037110306,-9.801862,4000,0
1419000,-0.00026631623,-0.0005326322,0.0002663161,3000,0,-0.010773907,0.032321893,-9.782709,3000,0
