timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
787000,787000,0,nan,nan,7.539373e-07,-1.8947583e-07,-5.0535743e-07,0.0,0.0,0.0,0.00017524422,-6.311672e-05,-0.00027042866,-0.0002684833,0.00024339164,-3.8152706e-05,0.0,-0.015198036,-0.006903281,-0.07249973,0.12596379,0.12596282,nan,0.10000178,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1003000,1003000,0,nan,nan,0.00010005546,9.352471e-05,0.00591933,0.0,0.0,0.0,0.0006554553,0.0009807259,0.003039781,0.008341338,0.00024339164,-3.8152706e-05,0.0,-0.014285047,0.037386045,0.038066875,0.125989,0.12596282,nan,0.101336144,0.66397136,1.5660043,4.372852,0.4519697,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1503000,1503000,0,nan,nan,0.00094147865,0.0010877305,0.013353495,0.0,0.0,0.0,0.0021123241,0.0046202946,0.00702301,0.013522864,0.00024339164,-3.8152706e-05,0.0,0.011001142,0.009804091,0.026089137,0.12602884,0.12596282,nan,0.1,0.7158675,0.94878876,1.7951821,0.4673624,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2003000,2003000,0,nan,nan,0.0010881416,0.0032621098,0.01908681,0.0,0.0,0.0,0.00338047,0.007956421,0.0116542615,0.016284317,0.00024339164,-3.8152706e-05,0.0,-0.022405874,-0.00953306,-0.022221357,0.12600186,0.12596282,nan,0.1,0.7230408,0.76391333,1.5105145,0.4938242,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2497000,2497000,0,nan,nan,0.0008550106,0.0031677333,0.0233179,0.0,0.0,0.0,0.00023118878,0.003924472,0.015494263,0.016186427,0.00024339164,-3.8152706e-05,0.0,0.016602734,0.016911807,0.009207985,0.12592055,0.12596282,nan,0.1,0.5828893,0.71152675,1.4623663,0.5213886,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3000000,3000000,0,nan,nan,-0.0009898188,0.00025023415,0.024666876,0.0,0.0,0.0,-0.003131927,-0.001859535,0.01688984,0.01203243,0.00024339164,-3.8152706e-05,0.0,-0.012524698,-0.0067003444,0.058520056,0.12596647,0.12596282,nan,0.1,0.70496446,0.73567784,1.5753671,0.54656833,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3500000,3500000,0,nan,nan,-0.0011360743,-0.0024637985,0.02672142,0.0,0.0,0.0,-0.00056667917,-0.0067891427,0.018312683,0.009984158,0.00024339164,-3.8152706e-05,0.0,0.025119217,-0.019277044,-0.016897172,0.12593868,0.12596282,nan,0.1,0.5454369,0.7594747,1.1905817,0.5504722,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3999000,3999000,0,nan,nan,0.0007039557,-0.0032488657,0.028792508,0.0,0.0,0.0,0.0039258245,-0.004378547,0.016291672,0.006288837,0.00024339164,-3.8152706e-05,0.0,0.018351963,0.041383456,-0.007254382,0.12590472,0.12596282,nan,0.1,0.62420523,0.8018613,1.2239908,0.54920614,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4497000,4484000,0,nan,nan,0.0023143732,-0.0008323404,0.024405126,0.0,0.0,0.0,0.0031442419,0.0028537337,0.01043177,-0.0034783976,0.00024339164,-3.8152706e-05,0.0,-0.00034680983,0.0151580395,-0.069798104,0.12595843,0.12596282,nan,0.1,0.676379,0.79921424,1.22718,0.525493,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
5003000,4988000,0,nan,nan,0.0011635374,0.0017503278,0.025048373,0.0,0.0,0.0,0.00064777787,0.0026144776,0.008093146,-0.0026202984,0.00024339164,-3.8152706e-05,0.0,0.016806833,0.016004944,0.06154403,0.12595385,0.12596282,nan,0.1,0.5452764,0.8206838,0.97964126,0.5111937,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
