timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
511000,inf,0,1,1,1,0,0,1,1,0,1
1512000,inf,0,1,1,1,0,0,1,0,0,1
2515000,inf,0,1,1,1,0,0,1,0,0,1
3516000,inf,0,1,1,1,0,0,1,0,0,1
4523000,inf,0,1,1,1,0,0,1,0,0,1
5523000,inf,0,1,1,1,0,0,1,0,0,1
6526000,inf,0,1,1,1,0,0,1,0,0,1
7531000,inf,0,1,1,1,0,0,1,0,0,1
8532000,inf,0,1,1,1,0,0,1,0,0,1
9540000,inf,0,1,1,1,0,0,1,0,0,1
10541000,inf,0,1,1,1,0,0,1,0,0,1
11038000,inf,0,1,1,1,1,1,1,0,0,1
11240000,inf,0,1,1,1,0,0,1,0,0,1
12243000,inf,0,1,1,1,0,0,1,0,0,1
12875000,inf,0,1,1,1,1,0,1,0,0,1
13611000,inf,0,1,0,0,1,0,1,0,0,1
13619000,inf,0,0,0,0,1,0,1,0,0,1
14623000,inf,0,0,0,0,1,0,0,0,0,1
15628000,inf,0,0,0,0,1,0,0,0,0,1
16636000,inf,0,0,0,0,1,0,0,0,0,1
17650000,inf,0,0,0,0,1,0,0,0,0,1
18619000,inf,0,0,0,0,0,0,0,0,0,1
19628000,inf,0,0,0,0,0,0,0,0,0,1
20628000,inf,0,0,0,0,0,0,0,0,0,1
21631000,inf,0,0,0,0,0,0,0,0,0,1
22633000,inf,0,0,0,0,0,0,0,0,0,1
23640000,inf,0,0,0,0,0,0,0,0,0,1
24651000,inf,0,0,0,0,0,0,0,0,0,1
25656000,inf,0,0,0,0,0,0,0,0,0,1
26656000,inf,0,0,0,0,0,0,0,0,0,1
27661000,inf,0,0,0,0,0,0,0,0,0,1
28663000,inf,0,0,0,0,0,0,0,0,0,1
29671000,inf,0,0,0,0,0,0,0,0,0,1
30681000,inf,0,0,0,0,0,0,0,0,0,1
31684000,inf,0,0,0,0,0,0,0,0,0,1
32688000,inf,0,0,0,0,0,0,0,0,0,1
33692000,inf,0,0,0,0,0,0,0,0,0,1
34692000,inf,0,0,0,0,0,0,0,0,0,1
35699000,inf,0,0,0,0,0,0,0,0,0,1
36708000,inf,0,0,0,0,0,0,0,0,0,1
37711000,inf,0,0,0,0,0,0,0,0,0,1
38583000,inf,0,0,0,0,1,1,0,1,0,1
39592000,inf,0,0,0,0,1,1,0,0,0,1
40592000,inf,0,0,0,0,1,1,1,0,0,1
40767000,inf,0,1,0,0,1,1,1,0,0,1
41128000,inf,0,1,1,0,1,1,1,0,0,1
41468000,inf,0,1,1,1,1,1,1,0,0,1
42476000,inf,0,1,1,1,1,1,1,0,0,1
43479000,inf,0,1,1,1,1,1,1,0,0,1
44487000,inf,0,1,1,1,1,1,1,0,0,1
