timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
2003000,135.14746,90.824905,0,123,8785,1024000,0,3,255
3003000,189.9668,76.35322,0,224,104,1024000,0,3,255
4004000,228.50879,65.494064,0,332,9047,1024000,0,3,255
5007000,284.83203,63.408733,0,438,25,1024000,0,3,255
6007000,333.73438,60.767365,0,550,25,1024000,0,3,255
7011000,383.042,58.965824,0,656,371,1024000,0,3,255
8011000,431.90625,57.61823,0,751,455,1024000,0,3,255
9012000,483.7246,56.92887,0,856,718,1024000,0,3,255
10012000,536.7207,56.514763,0,953,1721,1024000,0,3,255
11016000,589.37305,56.125423,0,1075,1927,1024000,0,3,255
12021000,647.17676,56.246895,0,1184,1397,1024000,0,3,255
13023000,702.3135,56.149143,0,1288,1594,1024000,0,3,255
14027000,759.01465,56.173374,0,1398,1655,1024000,0,3,255
15027000,818.6455,56.411625,0,1497,2364,1024000,0,3,255
16028000,877.29785,56.55243,0,1605,1508,1024000,0,3,255
17031000,934.6504,56.590603,0,1710,1675,1024000,0,3,255
18031000,990.7168,56.560677,0,1806,2395,1024000,0,3,255
19031000,1048.8037,56.643105,0,1897,2092,1024000,0,3,255
20032000,1107.2822,56.73424,0,1998,1894,1024000,0,3,255
21036000,1165.9463,56.817223,0,2107,2102,1024000,0,3,255
22041000,1223.1729,56.823044,0,2215,2181,1024000,0,3,255
23043000,1280.2539,56.829456,0,2323,2682,1024000,0,3,255
24043000,1337.5488,56.849236,0,2429,2426,1024000,0,3,255
25043000,1393.9824,56.83229,0,2538,2297,1024000,0,3,255
26044000,1449.793,56.790043,0,2646,2773,1024000,0,3,255
27051000,1507.2432,56.79994,0,2734,2972,1024000,0,3,255
28051000,1563.6318,56.785004,0,2840,3026,1024000,0,3,255
29052000,1618.5967,56.71923,0,2953,2906,1024000,0,3,255
30055000,1674.6279,56.69018,0,3055,2812,1024000,0,3,255
31057000,1730.6982,56.666172,0,3166,2985,1024000,0,3,255
32061000,1786.6094,56.635056,0,3256,2762,1024000,0,3,255
33063000,1841.418,56.57546,0,3365,3326,1024000,0,3,255
34068000,1896.3135,56.516956,0,3478,3093,1024000,0,3,255
35072000,1951.0674,56.459396,0,3590,3209,1024000,0,3,255
36079000,2005.877,56.401894,0,3681,3874,1024000,0,3,255
37079000,2062.045,56.395496,0,3785,3677,1024000,0,3,255
38080000,2121.9814,56.48826,0,3887,209,1024000,0,3,255
39083000,2180.6943,56.541546,0,3991,817,1024000,0,3,255
40083000,2232.7969,56.42936,0,4102,4080,1024000,0,3,255
41083000,2288.4248,56.409603,0,4197,4001,1024000,0,3,255
42083000,2345.5596,56.427048,0,4306,4252,1024000,0,3,255
43084000,2401.7744,56.42074,0,4420,4160,1024000,0,3,255
44087000,2458.1113,56.41493,0,4519,3903,1024000,0,3,255
