timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
503000,495600,197644,0.27612945,-0.03472663,0.47292504,0
983000,975200,197644,0.27663496,-0.034884583,0.47361118,0
1503000,1493333,197644,0.27489042,-0.031666026,0.4716688,0
1992000,1978800,197644,0.2760153,-0.03573866,0.4719142,0
2497000,2488200,197644,0.27445745,-0.0336754,0.47267434,0
3000000,2990750,197644,0.2763809,-0.037218243,0.47181356,0
3484000,3475250,197644,0.27585104,-0.035190195,0.47360122,0
4004000,3995400,197644,0.27540094,-0.035711702,0.47263786,0
4497000,4490000,197644,0.27655017,-0.033873703,0.47197682,0
5000000,4991800,197644,0.27570876,-0.034280404,0.47259662,0
5483000,5475800,197644,0.27569586,-0.03303519,0.47346708,0
6003000,5995600,197644,0.27600682,-0.03474283,0.47311854,0
6495000,6487250,197644,0.27551502,-0.033485442,0.4730348,0
6999000,6990200,197644,0.27496946,-0.033916093,0.47453448,0
7503000,7495600,197644,0.27401242,-0.033860754,0.47428122,0
7998000,7988200,197644,0.27369034,-0.033154026,0.4713069,0
8493000,8483800,197644,0.27454185,-0.034480643,0.47347975,0
8987000,8979250,197644,0.27696785,-0.03255203,0.4732836,0
9491000,9478166,197644,0.27419513,-0.03201102,0.4734847,0
9987000,9976200,197644,0.27713212,-0.036025483,0.47327977,0
10491000,10483600,197644,0.2757278,-0.032941706,0.47425753,0
10996000,10987500,197644,0.27624297,-0.033908825,0.4727682,0
11503000,11493166,197644,0.27562594,-0.03401202,0.4747709,0
12003000,11995400,197644,0.27356347,-0.03422749,0.4735652,0
12488000,12477500,197644,0.27627358,-0.035037,0.4728179,0
12988000,12979600,197644,0.27584478,-0.03397576,0.47333232,0
13493000,13482750,197644,0.27497548,-0.033474002,0.4726537,0
14001000,13992000,197644,0.27433294,-0.035405736,0.47285596,0
14487000,14478250,197644,0.27210853,-0.034052063,0.47488993,0
15000000,14989666,197644,0.27559224,-0.033203684,0.47342086,0
15503000,15495000,197644,0.27697006,-0.0345386,0.47332114,0
15992000,15982750,197644,0.27508718,-0.03469941,0.47095427,0
16500000,16492500,197644,0.27573648,-0.035803534,0.4740327,0
16988000,16979600,197644,0.2749564,-0.035756703,0.4716916,0
17496000,17487400,197644,0.27416232,-0.035814103,0.47366697,0
17988000,17980000,197644,0.2743752,-0.03387764,0.47344708,0
18484000,18475400,197644,0.27693635,-0.036225792,0.47281465,0
18984000,18975600,197644,0.27585718,-0.034705978,0.47160313,0
19495000,19485166,197644,0.27248347,-0.03526197,0.47271138,0
19992000,19981600,197644,0.27257487,-0.034266412,0.47454914,0
