timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,valid_lpos,manual_home
5619000,0.0,0.0,49.843285,0.0,0.0,0.0,0.0,1,0,0,0
11011000,40.15402994289061,116.25948589171563,49.83264,0.027008204,0.04178983,0.010641995,-0.0020927966,1,1,1,0
11112000,40.15402996785703,116.25948587404268,49.833076,0.029784342,0.040287845,0.0102078365,-0.0021143076,1,1,1,0
13623000,40.15403013145959,116.2594857606272,49.835346,0.047976118,0.030648913,0.007937565,-0.0016726522,1,1,1,0
