timestamp,mag_inconsistency_angle
515000,0.0
999000,0.0
1503000,0.0005431509
2003000,0.00013515272
2503000,0.00014661603
3000000,4.6877567e-06
3495000,0.0004433908
4004000,3.6475776e-05
4497000,0.00062219874
5003000,0.000224089
5500000,5.1517152e-05
6003000,0.00011691493
6504000,5.7104768e-05
6999000,0.00027297423
7503000,0.00019524335
8003000,0.00035572104
8504000,3.08802e-05
9001000,0.0003236863
9504000,2.1337853e-05
10003000,0.00019305163
10503000,4.8264377e-05
11000000,9.315216e-05
11107000,2.583943e-05
43492000,2.4547458e-05
43501000,2.215408e-05
43991000,1.3352363e-05
