timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
11112000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
37928000,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
41511000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
41563000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
41608000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
41667000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
41716000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
41767000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
41813000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
41861000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
41911000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
41968000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42020000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42072000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42119000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42171000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42219000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42272000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42323000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42371000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42427000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42476000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42523000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42572000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42628000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42668000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42723000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42771000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42828000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42868000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42928000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42941000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
42997000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43048000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43091000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43147000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43192000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43241000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43300000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43344000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43396000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43441000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
43452000,1,-1,0,0,0,0,0,0,1,0,0,0,0,0
