timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
787000,787000,0,nan,nan,7.5380837e-07,-1.8996293e-07,-5.053535e-07,0.0,0.0,0.0,0.00017520195,-6.322995e-05,-0.00027042805,-0.00026848263,0.00024336485,-3.8309954e-05,0.0,-0.015202348,-0.006893464,-0.07249973,0.12531662,0.12531564,nan,0.10000178,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1003000,1003000,0,nan,nan,0.00010012067,9.345935e-05,0.005919335,0.0,0.0,0.0,0.00065613,0.0009802964,0.003039791,0.008341349,0.00024336485,-3.8309954e-05,0.0,-0.014260702,0.03739526,0.038065944,0.12534185,0.12531564,nan,0.10133614,0.66397136,1.5660043,4.372852,0.4519697,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1503000,1503000,0,nan,nan,0.00094221346,0.0010871171,0.013353517,0.0,0.0,0.0,0.00211541,0.004618913,0.007023102,0.013522967,0.00024336485,-3.8309954e-05,0.0,0.011007635,0.009796946,0.026088206,0.12538165,0.12531564,nan,0.1,0.7158676,0.94878876,1.7951834,0.4673624,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1992000,1992000,0,nan,nan,0.0010698653,0.003206196,0.01894917,0.0,0.0,0.0,0.0036294959,0.008044224,0.011645359,0.01632102,0.00024336485,-3.8309954e-05,0.0,0.0074214027,0.016744155,-0.022792155,0.12533906,0.12531564,nan,0.1,0.71082366,0.7622016,1.4948045,0.49292734,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2497000,2497000,0,nan,nan,0.0008613513,0.0031767932,0.023327708,0.0,0.0,0.0,0.00024423318,0.003944666,0.015495591,0.01619639,0.00024336485,-3.8309954e-05,0.0,0.016626365,0.016927715,0.009207054,0.12527338,0.12531564,nan,0.1,0.58279115,0.7114286,1.4639053,0.52133715,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3000000,3000000,0,nan,nan,-0.0009847102,0.00025930122,0.02466841,0.0,0.0,0.0,-0.0031267211,-0.0018492321,0.01688885,0.012029515,0.00024336485,-3.8309954e-05,0.0,-0.012528625,-0.006693834,0.058522183,0.12531933,0.12531564,nan,0.1,0.705187,0.73558736,1.5764246,0.54654455,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3500000,3500000,0,nan,nan,-0.0011144681,-0.0024539463,0.026651528,0.0,0.0,0.0,-0.00054929085,-0.006783506,0.01828496,0.009963589,0.00024336485,-3.8309954e-05,0.0,0.025111085,-0.019297665,-0.016903132,0.12529151,0.12531564,nan,0.1,0.54945546,0.76334363,1.1854993,0.55174637,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3999000,3999000,0,nan,nan,0.0006975611,-0.0033015586,0.028912514,0.0,0.0,0.0,0.0039166077,-0.0044640563,0.016342299,0.0063722352,0.00024336485,-3.8309954e-05,0.0,0.018375752,0.041331835,-0.0072630746,0.12525758,0.12531564,nan,0.1,0.61893296,0.8001926,1.2202076,0.54822916,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4497000,4484000,0,nan,nan,0.002305981,-0.000842174,0.02433899,0.0,0.0,0.0,0.003123145,0.0028323326,0.0103960475,-0.00353612,0.00024336485,-3.8309954e-05,0.0,-0.00036518954,0.015155658,-0.06980875,0.1253113,0.12531564,nan,0.1,0.6861622,0.80104315,1.2379173,0.5255854,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
5003000,4988000,0,nan,nan,0.0011750198,0.001745778,0.025113048,0.0,0.0,0.0,0.0006500265,0.0026236062,0.00814106,-0.0025055245,0.00024336485,-3.8309954e-05,0.0,0.016823934,0.016032271,0.061560422,0.12530677,0.12531564,nan,0.1,0.5501947,0.8179697,0.99533266,0.5099498,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
5483000,5472000,0,nan,nan,-0.00032377028,0.00045887238,0.022528103,0.0,0.0,0.0,-0.0018728817,-0.0022939367,0.00985619,-0.0016918582,0.00024336485,-3.8309954e-05,0.0,-0.021514913,0.024724528,-0.04202127,0.12530588,0.12531564,nan,0.1,0.6082018,0.8022485,1.0007743,0.48278996,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
6003000,5992000,5584000,40.154029699999995,116.25948539999999,-0.0017556978,-0.0019841802,0.019780176,0.0,0.0,0.0,-0.003728215,-0.0058169668,0.00606004,-0.005819852,0.00024336485,-3.8309954e-05,0.0,-0.011106088,-0.005064918,0.002431683,0.12535188,0.12531564,49.8471,0.1,0.505251,0.7899175,0.8074983,0.45844308,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
6504000,6504000,5584000,40.154029699999995,116.25948539999999,-0.0030372136,-0.0032974537,0.01850546,0.0,0.0,0.0,-0.0061954265,-0.00554476,0.0011911194,-0.008399086,0.00024336485,-3.8309954e-05,0.0,-0.02890997,0.0030122173,-0.02226606,0.12545034,0.12531564,49.8471,0.10091397,0.5563598,0.7939795,0.80037445,0.44303235,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,0
6999000,6999000,5584000,40.154029699999995,116.25948539999999,-0.0035670304,-0.0022989025,0.019292748,0.0,0.0,0.0,-0.0073252926,-0.0022901727,-0.0005022064,-0.0054664626,0.00024336485,-3.8309954e-05,0.0,0.0064447136,-0.011694329,-0.004966433,-0.002286408,-0.12774576,49.8471,0.10336527,0.4682287,0.7771635,0.64236724,0.42066202,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
7496000,7496000,5584000,40.154029699999995,116.25948539999999,-0.004157444,-0.0013915356,0.019356674,0.0,0.0,0.0,-0.006783372,-0.0030703975,0.00010242699,-0.0032567417,0.00024336485,-3.8309954e-05,0.0,-0.007653432,-0.022028938,-0.0105826175,-0.0027398332,-0.12774576,49.8471,0.10114319,0.481448,0.76214683,0.517803,0.3994255,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
8003000,8003000,5584000,40.154029699999995,116.25948539999999,-0.005504391,-0.0019457961,0.019300772,0.0,0.0,0.0,-0.011303563,-0.0052486635,0.0024858294,9.570991e-06,0.00024336485,-3.8309954e-05,0.0,0.000771245,-0.017543899,-0.039100647,-0.004040655,-0.12774576,49.8471,0.10040688,0.4071671,0.76494575,0.5054193,0.38543555,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
8504000,8504000,5584000,40.154029699999995,116.25948539999999,-0.006724783,-0.0032199025,0.018625524,0.0,0.0,0.0,-0.009877634,-0.0062963953,0.0022555839,-0.0002359476,0.00024336485,-3.8309954e-05,0.0,-0.008869401,-0.008070804,0.028111786,-0.0036224546,-0.12774576,49.8471,0.10220386,0.44561997,0.7459935,0.5854413,0.36461675,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
8995000,8995000,5584000,40.154029699999995,116.25948539999999,-0.0054915533,-0.003468649,0.018710969,0.0,0.0,0.0,-0.0058183004,-0.004459611,0.00087358366,-0.0017182291,0.00024336485,-3.8309954e-05,0.0,-0.009913398,0.036169432,-0.05947053,-0.0035955512,-0.12774576,49.8471,0.10052684,0.49167234,0.73861307,0.6112103,0.3491185,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
9499000,9499000,5584000,40.154029699999995,116.25948539999999,-0.0025776275,-0.0022975367,0.017464876,0.0,0.0,0.0,-0.0006023967,-0.0016373746,-0.0006006399,-0.0035804783,0.00024336485,-3.8309954e-05,0.0,0.004349331,0.00749844,-0.004764646,-0.0029165475,-0.12774576,49.8471,0.10060513,0.43991414,0.72394854,0.5035681,0.33109173,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
9996000,9996000,5584000,40.154029699999995,116.25948539999999,0.0007148961,-0.00080707524,0.016349306,0.0,0.0,0.0,0.0038978893,-0.0009655932,-0.0028408307,-0.0041489424,0.00024336485,-3.8309954e-05,0.0,0.00079853274,-0.009246288,-0.01000911,-0.0028329194,-0.12774576,49.8471,0.101112336,0.4589506,0.7170727,0.46501657,0.31710368,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,0
10499000,10499000,5584000,40.154029699999995,116.25948539999999,0.022200035,0.04219299,0.017848253,-0.010717452,0.04340973,0.0,0.0038569164,-0.0003846052,4.942873e-05,-0.0008793219,-0.0028807186,0.0011525794,0.004538685,-0.016099745,-0.011911069,-0.012262723,-0.0023838351,-0.12774576,49.8471,0.100553945,0.26020205,0.6081698,0.18467335,0.15888284,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
11000000,11000000,5584000,40.154029699999995,116.25948539999999,0.027250784,0.04215835,0.015949467,-0.010717452,0.04340973,0.0,-0.0014405708,-0.0011697789,-0.0043198685,-0.0051854,-0.0028807186,0.0011525794,0.004538685,0.01240965,0.0013375587,0.03525242,-0.0021367515,-0.12774576,49.8471,0.10040444,0.21454193,0.54112566,0.1785463,0.12969922,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
11499000,11499000,5584000,40.154029699999995,116.25948539999999,0.040389724,0.037831407,0.014635393,-0.010717452,0.04340973,0.0,0.0059554833,-0.0025288637,-0.00718976,-0.0069366926,-0.0028807186,0.0011525794,0.004538685,-0.009388682,0.006252512,0.012433156,-0.002162523,-0.12774576,49.8471,0.10163045,0.19478725,0.4994734,0.18326014,0.116579,inf,inf,inf,inf,1,1,1,1,2,0,2,1,2,1,1,1,0
