timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
515000,-40,32767,32767,32767,32767,32767
521000,-60,32767,32767,32767,32767,32767
524000,-30,32767,32767,-30,32767,32767
532000,-80,32767,32767,32767,-80,32767
536000,-40,32767,32767,32767,32767,32767
541000,-50,32767,32767,32767,32767,32767
548000,-70,32767,32767,32767,32767,32767
552000,-40,32767,32767,32767,-40,32767
556000,-40,32767,32767,32767,32767,32767
561000,-50,32767,32767,32767,32767,32767
564000,-30,32767,32767,32767,32767,32767
572000,-80,32767,32767,32767,0,32767
576000,-40,32767,32767,-40,32767,32767
580000,-40,32767,32767,32767,32767,32767
584000,-40,32767,32767,32767,32767,32767
591000,-70,32767,32767,32767,32767,32767
595000,-40,32767,32767,32767,0,32767
600000,-50,32767,32767,32767,32767,32767
603000,-30,32767,32767,32767,32767,32767
607000,-40,32767,32767,32767,32767,32767
613000,-60,32767,32767,32767,32767,32767
619000,-60,32767,32767,32767,32767,32767
623000,32767,32767,32767,0,0,32767
628000,-50,32767,32767,32767,32767,32767
631000,-30,32767,32767,32767,32767,32767
635000,-40,32767,32767,32767,32767,32767
639000,-40,32767,32767,32767,32767,32767
643000,-40,32767,32767,32767,32767,32767
647000,-40,32767,32767,32767,-40,32767
652000,-50,32767,32767,32767,32767,32767
656000,-40,32767,32767,32767,32767,32767
659000,-30,32767,32767,32767,32767,32767
663000,-40,32767,32767,32767,32767,32767
667000,-40,32767,32767,32767,-40,32767
672000,-50,32767,32767,32767,32767,32767
676000,-40,32767,32767,32767,32767,32767
680000,-40,32767,32767,-40,32767,32767
683000,-30,32767,32767,32767,32767,32767
688000,-50,32767,32767,32767,-50,32767
692000,-40,32767,32767,32767,32767,32767
696000,-40,32767,32767,32767,32767,32767
701000,-50,32767,32767,32767,32767,32767
704000,-30,32767,32767,32767,32767,32767
712000,-80,32767,32767,32767,-80,32767
716000,-40,32767,32767,32767,32767,32767
720000,-40,32767,32767,32767,32767,32767
723000,-30,32767,32767,32767,32767,32767
728000,-50,32767,32767,0,0,32767
731000,-30,32767,32767,32767,32767,32767
735000,-40,32767,32767,32767,32767,32767
739000,-40,32767,32767,32767,32767,32767
743000,-40,32767,32767,32767,32767,32767
748000,-50,32767,32767,32767,0,32767
753000,-50,32767,32767,32767,32767,32767
757000,-40,32767,32767,32767,32767,32767
764000,-70,32767,32767,32767,32767,32767
773000,-90,32767,32767,32767,32767,32767
777000,-40,32767,32767,32767,-40,32767
783000,-60,32767,32767,32767,32767,32767
787000,-40,32767,32767,-40,32767,32767
792000,-50,32767,32767,32767,32767,32767
